row_off,col_off,split,block
87384,68517,test,5_4
67524,63552,train,4_4
82419,25818,test,5_1
51636,44685,val,3_2
80433,17874,test,5_1
26811,54615,test,1_3
7944,40713,train,0_2
84405,62559,test,5_4
91356,4965,train,6_0
90363,69510,val,6_4
60573,19860,val,4_1
32769,67524,val,2_4
16881,66531,train,1_4
96321,39720,test,6_2
78447,70503,test,5_4
55608,53622,val,3_3
8937,70503,train,0_4
68517,50643,train,4_3
29790,48657,test,1_3
102279,1986,train,6_0
28797,23832,test,1_1
66531,15888,val,4_1
20853,36741,train,1_2
13902,73482,train,0_4
52629,47664,val,3_3
41706,67524,val,2_4
34755,62559,val,2_4
79440,32769,val,5_2
7944,63552,train,0_4
993,55608,train,0_3
60573,15888,val,4_1
16881,47664,test,1_3
103272,22839,train,6_1
17874,21846,test,1_1
993,63552,train,0_4
55608,41706,val,3_2
46671,41706,val,3_2
17874,19860,test,1_1
45678,51636,val,3_3
79440,48657,test,5_3
5958,53622,train,0_3
47664,48657,val,3_3
83412,9930,train,5_0
7944,66531,train,0_4
3972,70503,train,0_4
18867,46671,test,1_3
94335,42699,test,6_2
5958,45678,train,0_3
3972,61566,train,0_4
67524,41706,train,4_2
77454,67524,test,5_4
76461,59580,test,5_3
97314,993,train,6_0
33762,36741,train,2_2
78447,45678,test,5_3
18867,27804,test,1_1
20853,55608,test,1_3
30783,19860,val,2_1
77454,29790,test,5_1
84405,63552,test,5_4
56601,41706,val,3_2
94335,53622,train,6_3
94335,70503,val,6_4
58587,71496,val,3_4
80433,70503,test,5_4
41706,73482,val,2_4
105258,21846,train,7_1
48657,34755,val,3_2
8937,63552,train,0_4
53622,70503,val,3_4
92349,71496,val,6_4
98307,33762,test,6_2
93342,67524,val,6_4
23832,57594,test,1_3
36741,34755,train,2_2
7944,61566,train,0_4
87384,8937,train,5_0
33762,60573,val,2_4
58587,60573,val,3_4
83412,68517,test,5_4
63552,28797,val,4_1
55608,42699,val,3_2
5958,60573,train,0_4
49650,37734,val,3_2
76461,15888,test,5_1
99300,25818,train,6_1
85398,54615,test,5_3
12909,65538,train,0_4
90363,8937,train,6_0
28797,59580,test,1_3
53622,47664,val,3_3
37734,50643,train,2_3
14895,38727,train,0_2
103272,20853,train,6_1
993,62559,train,0_4
88377,27804,test,5_1
97314,21846,train,6_1
17874,51636,test,1_3
8937,60573,train,0_4
2979,59580,train,0_3
2979,55608,train,0_3
14895,72489,train,0_4
993,68517,train,0_4
94335,35748,test,6_2
26811,19860,test,1_1
35748,71496,val,2_4
34755,65538,val,2_4
1986,58587,train,0_3
99300,72489,val,6_4
100293,62559,val,6_4
9930,60573,train,0_4
57594,41706,val,3_2
14895,65538,train,0_4
105258,55608,test,7_3
2979,51636,train,0_3
11916,62559,train,0_4
77454,16881,test,5_1
8937,68517,train,0_4
91356,6951,train,6_0
20853,48657,test,1_3
67524,6951,train,4_0
101286,4965,train,6_0
67524,62559,train,4_4
11916,61566,train,0_4
10923,58587,train,0_3
36741,64545,val,2_4
99300,34755,test,6_2
87384,23832,test,5_1
66531,42699,train,4_2
12909,61566,train,0_4
49650,30783,val,3_2
52629,36741,val,3_2
25818,46671,test,1_3
73482,23832,val,4_1
52629,44685,val,3_2
5958,62559,train,0_4
66531,70503,train,4_4
87384,24825,test,5_1
51636,40713,val,3_2
96321,15888,train,6_1
38727,71496,val,2_4
96321,72489,val,6_4
57594,43692,val,3_2
20853,58587,test,1_3
79440,5958,train,5_0
3972,52629,train,0_3
77454,20853,test,5_1
86391,15888,test,5_1
77454,19860,test,5_1
105258,13902,test,7_0
79440,23832,test,5_1
28797,38727,train,1_2
3972,55608,train,0_3
8937,67524,train,0_4
58587,36741,val,3_2
69510,58587,train,4_3
92349,35748,test,6_2
71496,25818,val,4_1
8937,59580,train,0_3
26811,38727,train,1_2
72489,16881,val,4_1
99300,38727,test,6_2
63552,16881,val,4_1
100293,68517,val,6_4
68517,6951,train,4_0
16881,37734,train,1_2
8937,71496,train,0_4
75468,46671,test,5_3
98307,54615,train,6_3
48657,54615,val,3_3
64545,50643,train,4_3
77454,71496,test,5_4
6951,59580,train,0_3
46671,31776,val,3_2
26811,49650,test,1_3
87384,37734,val,5_2
83412,23832,test,5_1
83412,49650,test,5_3
77454,62559,test,5_4
20853,64545,train,1_4
66531,62559,train,4_4
40713,28797,val,2_1
10923,69510,train,0_4
20853,56601,test,1_3
41706,65538,val,2_4
71496,39720,train,4_2
27804,39720,train,1_2
47664,34755,val,3_2
19860,58587,test,1_3
35748,47664,train,2_3
85398,9930,train,5_0
36741,28797,val,2_1
30783,28797,val,2_1
78447,15888,test,5_1
13902,20853,val,0_1
7944,52629,train,0_3
21846,28797,test,1_1
27804,23832,test,1_1
96321,54615,train,6_3
15888,71496,train,1_4
3972,67524,train,0_4
15888,27804,test,1_1
16881,16881,test,1_1
80433,73482,test,5_4
103272,60573,val,6_4
88377,25818,test,5_1
16881,21846,test,1_1
0,60573,train,0_4
17874,55608,test,1_3
16881,53622,test,1_3
45678,32769,val,3_2
94335,38727,test,6_2
47664,53622,val,3_3
12909,66531,train,0_4
17874,50643,test,1_3
6951,63552,train,0_4
68517,59580,train,4_3
59580,33762,val,3_2
88377,48657,test,5_3
81426,27804,test,5_1
84405,51636,test,5_3
84405,9930,train,5_0
86391,8937,train,5_0
91356,35748,test,6_2
10923,64545,train,0_4
8937,65538,train,0_4
57594,42699,val,3_2
13902,64545,train,0_4
39720,13902,val,2_0
88377,32769,val,5_2
58587,41706,val,3_2
80433,23832,test,5_1
57594,25818,train,3_1
48657,70503,val,3_4
69510,50643,train,4_3
24825,58587,test,1_3
29790,37734,train,1_2
12909,22839,val,0_1
84405,16881,test,5_1
55608,56601,val,3_3
3972,60573,train,0_4
77454,37734,val,5_2
92349,7944,train,6_0
84405,22839,test,5_1
28797,53622,test,1_3
75468,29790,test,5_1
22839,53622,test,1_3
9930,53622,train,0_3
83412,24825,test,5_1
48657,38727,val,3_2
69510,45678,train,4_3
78447,9930,train,5_0
52629,56601,val,3_3
49650,40713,val,3_2
81426,43692,val,5_2
99300,1986,train,6_0
79440,69510,test,5_4
80433,48657,test,5_3
59580,65538,val,3_4
98307,3972,train,6_0
86391,29790,test,5_1
91356,41706,test,6_2
68517,9930,train,4_0
29790,57594,test,1_3
12909,63552,train,0_4
48657,72489,val,3_4
88377,5958,train,5_0
8937,61566,train,0_4
95328,73482,val,6_4
89370,18867,test,5_1
90363,32769,test,6_2
94335,68517,val,6_4
35748,34755,train,2_2
82419,60573,test,5_4
96321,63552,val,6_4
17874,49650,test,1_3
53622,66531,val,3_4
90363,62559,val,6_4
27804,52629,test,1_3
993,66531,train,0_4
88377,60573,test,5_4
102279,68517,val,6_4
18867,58587,test,1_3
18867,29790,test,1_1
90363,30783,test,6_2
10923,52629,train,0_3
81426,63552,test,5_4
75468,9930,train,5_0
50643,3972,test,3_0
3972,39720,train,0_2
19860,57594,test,1_3
4965,60573,train,0_4
82419,16881,test,5_1
104265,25818,train,6_1
6951,52629,train,0_3
52629,13902,test,3_0
41706,63552,val,2_4
56601,48657,val,3_3
82419,68517,test,5_4
71496,16881,val,4_1
11916,60573,train,0_4
47664,0,test,3_0
88377,67524,test,5_4
101286,70503,val,6_4
29790,38727,train,1_2
75468,64545,test,5_4
26811,17874,test,1_1
50643,35748,val,3_2
25818,52629,test,1_3
53622,48657,val,3_3
44685,65538,val,2_4
94335,33762,test,6_2
100293,3972,train,6_0
71496,23832,val,4_1
98307,60573,val,6_4
45678,12909,test,3_0
15888,72489,train,1_4
40713,64545,val,2_4
47664,33762,val,3_2
1986,60573,train,0_4
80433,24825,test,5_1
32769,63552,val,2_4
98307,52629,train,6_3
3972,66531,train,0_4
66531,36741,train,4_2
6951,57594,train,0_3
10923,63552,train,0_4
89370,9930,train,5_0
2979,61566,train,0_4
45678,33762,val,3_2
72020,14813,train,neg
57211,15270,train,neg
72532,14813,train,neg
56699,15782,train,neg
72532,14301,train,neg
64451,56586,train,neg
64451,56074,train,neg
63295,31690,train,neg
63939,56586,train,neg
53084,8787,train,neg
52572,7763,train,neg
62783,31690,train,neg
56699,15270,train,neg
53084,7763,train,neg
63939,56074,train,neg
52572,8275,train,neg
62783,32202,train,neg
57211,15782,train,neg
52572,8787,train,neg
72020,14301,train,neg
63295,32202,train,neg
53084,8275,train,neg
