row_off,col_off,split,block
17766,9726,val,3_1
19559,9342,val,3_1
20366,12628,train,4_2
13188,13528,test,2_2
13571,13400,test,2_2
12931,13400,test,2_2
21263,12756,train,4_2
18703,12373,train,3_2
19430,9086,val,3_1
13955,13785,test,2_2
12803,15705,test,2_3
19175,9342,val,3_1
19303,9598,val,3_1
17895,8445,val,3_1
11651,14680,test,2_2
21135,15316,val,4_3
20110,13013,train,4_2
20110,15572,val,4_3
13315,14041,test,2_2
19430,8957,val,3_1
12164,14297,test,2_2
13315,15320,test,2_3
18702,12756,train,3_2
18062,12373,train,3_2
11907,13656,test,2_2
18535,9085,val,3_1
18831,12756,train,3_2
19983,14805,val,4_3
19303,8446,val,3_1
17511,8061,val,3_1
20878,14805,val,4_3
12035,15448,test,2_3
17126,8702,val,3_1
13572,14296,test,2_2
21262,14804,val,4_3
18022,8061,val,3_1
13443,15576,test,2_3
12804,14169,test,2_2
19046,8189,val,3_1
13956,14936,test,2_3
19854,12501,train,4_2
12164,14681,test,2_2
18702,12629,train,3_2
13188,14040,test,2_2
13444,13273,test,2_2
18919,9725,val,3_1
18319,12884,train,3_2
12548,13656,test,2_2
13828,15448,test,2_3
13955,14040,test,2_2
11779,15321,test,2_3
21007,12500,train,4_2
17127,8317,val,3_1
21390,12756,train,4_2
21390,15060,val,4_3
12291,14424,test,2_2
13188,15192,test,2_3
13315,13913,test,2_2
19855,12628,train,4_2
18447,12501,train,3_2
13828,15193,test,2_3
12932,15321,test,2_3
13572,14424,test,2_2
20750,14933,val,4_3
18958,12117,train,3_2
20622,12116,train,4_2
21135,15189,val,4_3
13444,14937,test,2_3
11779,14168,test,2_2
12420,15832,test,2_3
18406,8189,val,3_1
12164,15321,test,2_3
11908,15192,test,2_3
19343,12884,train,3_2
20110,12757,train,4_2
21134,15444,val,4_3
21518,14805,val,4_3
12035,14168,test,2_2
13444,14809,test,2_3
18318,12245,train,3_2
11652,15576,test,2_3
19687,8574,test,4_1
21007,15444,val,4_3
19559,8061,val,3_1
19215,12372,train,3_2
19687,9726,test,4_1
19686,9470,test,4_1
18446,12757,train,3_2
11523,15193,test,2_3
18662,8189,val,3_1
11907,13272,test,2_2
17511,8702,val,3_1
19599,12757,train,3_2
21134,12885,train,4_2
17511,8445,val,3_1
21390,14932,val,4_3
12931,13273,test,2_2
11907,15576,test,2_3
19983,13012,train,4_2
11779,14041,test,2_2
18534,9725,val,3_1
11780,13657,test,2_2
12420,13272,test,2_2
19855,15189,val,4_3
13316,15704,test,2_3
18535,8062,val,3_1
14211,14808,test,2_3
13955,13400,test,2_2
12932,14296,test,2_2
12291,15448,test,2_3
12292,13273,test,2_2
18919,8573,val,3_1
11651,14296,test,2_2
17383,9597,val,3_1
18791,9341,val,3_1
20878,15316,val,4_3
12932,15705,test,2_3
12291,14296,test,2_2
14083,13784,test,2_2
18918,9470,val,3_1
19087,13012,train,3_2
17638,8061,val,3_1
13315,14169,test,2_2
19854,13012,train,4_2
12803,14936,test,2_3
21391,13013,train,4_2
13187,14936,test,2_3
19854,14804,val,4_3
20111,12629,train,4_2
17255,8573,val,3_1
13827,14936,test,2_3
19214,13013,train,3_2
18150,8317,val,3_1
13700,13272,test,2_2
19982,12629,train,4_2
17126,9598,val,3_1
19174,8573,val,3_1
18919,8830,val,3_1
17639,9597,val,3_1
18790,8957,val,3_1
19431,9469,val,3_1
11780,14425,test,2_2
18023,9597,val,3_1
11524,14553,test,2_2
14083,15064,test,2_3
12932,14168,test,2_2
13828,15704,test,2_3
17255,8702,val,3_1
12931,14680,test,2_2
13444,13401,test,2_2
12676,13273,test,2_2
13699,14680,test,2_2
20111,12245,train,4_2
17127,9341,val,3_1
19558,9597,val,3_1
18662,9342,val,3_1
21262,12245,train,4_2
13316,14936,test,2_3
12420,14680,test,2_2
17895,9085,val,3_1
11524,14041,test,2_2
20879,12245,train,4_2
18150,8574,val,3_1
20494,15444,val,4_3
13700,14808,test,2_3
17766,8829,val,3_1
13827,13273,test,2_2
13699,13784,test,2_2
11779,15192,test,2_3
18151,8957,val,3_1
20879,12884,train,4_2
11524,15449,test,2_3
20623,14932,val,4_3
20751,14805,val,4_3
21390,15573,val,4_3
11524,15320,test,2_3
18959,12757,train,3_2
12675,14425,test,2_2
12932,15193,test,2_3
17510,9598,val,3_1
13059,14425,test,2_2
19727,12500,train,4_2
17639,8574,val,3_1
13444,13529,test,2_2
13699,13529,test,2_2
19686,9341,test,4_1
13828,15321,test,2_3
19470,12372,train,3_2
21391,14805,val,4_3
13572,15320,test,2_3
13443,13145,test,2_2
19430,8189,val,3_1
17382,8062,val,3_1
13828,14424,test,2_2
20367,13012,train,4_2
12548,13784,test,2_2
13828,13401,test,2_2
19175,8189,val,3_1
17254,9470,val,3_1
21518,15444,val,4_3
18663,9725,val,3_1
13955,13657,test,2_2
19087,12117,train,3_2
19854,14932,val,4_3
11651,14553,test,2_2
13059,13657,test,2_2
19343,12501,train,3_2
13188,14296,test,2_2
12547,13273,test,2_2
13699,15704,test,2_3
20494,14932,val,4_3
20111,12116,train,4_2
13187,13400,test,2_2
19983,15444,val,4_3
12675,14040,test,2_2
11780,13528,test,2_2
17510,9470,val,3_1
19983,15572,val,4_3
19430,8701,val,3_1
11908,15705,test,2_3
19727,14932,val,4_3
14083,14168,test,2_2
21007,12885,train,4_2
18063,12500,train,3_2
19175,9085,val,3_1
20366,15188,val,4_3
11907,14808,test,2_3
20623,12885,train,4_2
13060,14809,test,2_3
17255,8317,val,3_1
18022,9086,val,3_1
18663,8702,val,3_1
21135,12117,train,4_2
19047,9469,val,3_1
13699,14169,test,2_2
19982,12245,train,4_2
13188,14424,test,2_2
19727,14804,val,4_3
12676,15064,test,2_3
14212,15704,test,2_3
19302,9213,val,3_1
13572,15193,test,2_3
20238,12116,train,4_2
13700,15448,test,2_3
18830,13013,train,3_2
19343,12372,train,3_2
18574,13012,train,3_2
18958,12500,train,3_2
13828,13656,test,2_2
18022,9214,val,3_1
21390,12372,train,4_2
18959,12884,train,3_2
12803,15193,test,2_3
11908,14040,test,2_2
13699,15321,test,2_3
20622,14805,val,4_3
11651,13785,test,2_2
17638,9213,val,3_1
12164,13400,test,2_2
14083,13145,test,2_2
12163,15064,test,2_3
12164,15448,test,2_3
19175,9470,val,3_1
21006,12757,train,4_2
11524,13528,test,2_2
13955,14552,test,2_2
11651,14040,test,2_2
12547,13528,test,2_2
12675,14168,test,2_2
20750,15188,val,4_3
13059,15193,test,2_3
20751,15444,val,4_3
19726,15060,val,4_3
12804,15321,test,2_3
19559,8574,val,3_1
17766,8958,val,3_1
21262,12629,train,4_2
21519,15189,val,4_3
13059,14553,test,2_2
17638,9086,val,3_1
18535,8446,val,3_1
18535,9214,val,3_1
13443,15064,test,2_3
18279,8957,val,3_1
17511,8574,val,3_1
13828,14296,test,2_2
13315,14808,test,2_3
11652,13145,test,2_2
18535,8829,val,3_1
14084,14552,test,2_2
18790,8189,val,3_1
19174,8317,val,3_1
19175,8062,val,3_1
20878,15444,val,4_3
18959,13013,train,3_2
12548,14681,test,2_2
19303,8958,val,3_1
13955,15449,test,2_3
20622,12757,train,4_2
12803,13272,test,2_2
18278,8061,val,3_1
11780,13784,test,2_2
20751,12501,train,4_2
19854,15061,val,4_3
12676,15577,test,2_3
18918,9341,val,3_1
18319,12501,train,3_2
21391,12629,train,4_2
13059,13913,test,2_2
17127,9213,val,3_1
19559,8189,val,3_1
11907,14681,test,2_2
12164,14552,test,2_2
18535,9341,val,3_1
13187,15577,test,2_3
19215,12756,train,3_2
11523,15705,test,2_3
19559,8317,val,3_1
12419,14168,test,2_2
19559,9085,val,3_1
21262,12500,train,4_2
18406,8062,val,3_1
12035,13784,test,2_2
11908,13785,test,2_2
19470,12500,train,3_2
18790,8318,val,3_1
11652,15193,test,2_3
12932,13912,test,2_2
18406,8573,val,3_1
17767,9469,val,3_1
21134,12500,train,4_2
19471,12117,train,3_2
11651,13913,test,2_2
13060,15065,test,2_3
20238,12628,train,4_2
20751,15316,val,4_3
13316,15576,test,2_3
18150,9726,val,3_1
12675,15320,test,2_3
21007,12117,train,4_2
20623,15060,val,4_3
20110,12885,train,4_2
19046,8701,val,3_1
20878,12116,train,4_2
13316,15064,test,2_3
20622,12501,train,4_2
14212,15192,test,2_3
18062,12756,train,3_2
12675,14681,test,2_2
27669,8202,train,neg
28181,7946,train,neg
27797,7946,train,neg
27669,7946,train,neg
27925,8202,train,neg
28181,7818,train,neg
28181,8330,train,neg
28053,7818,train,neg
28053,8330,train,neg
27925,8074,train,neg
27797,8202,train,neg
21355,18709,train,neg
27925,8330,train,neg
27925,7818,train,neg
28181,8074,train,neg
27925,7946,train,neg
27669,8330,train,neg
27669,8074,train,neg
17306,2866,train,neg
28181,8202,train,neg
18711,5314,train,neg
28053,8202,train,neg
27669,7818,train,neg
28053,7946,train,neg
27797,7818,train,neg
27797,8330,train,neg
23738,4893,train,neg
28053,8074,train,neg
27797,8074,train,neg
20818,10682,train,neg
