acquisition,band,gain,offset,reference,fit_quality,n_targets,n_points,excluded_reason,note,resid_max,pre_rms,fit_x_min,fit_x_max,acq_spine_p50,ref_spine_p50,nir_floor_water_p1,fit_method,fit_targets,source,source_group,gsd_cm,native_file
2003s,G,0.891686,22.037262,2020s,18.446804,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2003s band G onto 2020s. Spine RMS residual 18.4 DN vs 20.1 DN uncorrected. VALID OVER DN [78, 234] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",28.927658,20.095605,78.0,234.0,165.5,153.5,,ols,neg_parking+school_k12,Snohomish Co.,snoh,30.5,2003_snoh_1ft_rgb.tif
2003s,B,1.053373,-3.685658,2020s,12.205201,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2003s band B onto 2020s. Spine RMS residual 12.2 DN vs 13.2 DN uncorrected. VALID OVER DN [69, 214] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",25.839882,13.178265,69.0,214.0,147.5,139.5,,ols,neg_parking+school_k12,Snohomish Co.,snoh,30.5,2003_snoh_1ft_rgb.tif
2005,R,1.121867,-4.495055,2020s,13.309494,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2005 band R onto 2020s. Spine RMS residual 13.3 DN vs 20.4 DN uncorrected. VALID OVER DN [81, 219] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",27.096669,20.355180,81.0,219.0,155.5,160.0,,ols,neg_parking+school_k12,King County,king,20.1,2005_king_rgb.tif
2005,G,1.205757,-24.632404,2020s,13.077064,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2005 band G onto 2020s. Spine RMS residual 13.1 DN vs 17.6 DN uncorrected. VALID OVER DN [85, 220] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",26.921279,17.649363,85.0,220.0,154.0,153.5,,ols,neg_parking+school_k12,King County,king,20.1,2005_king_rgb.tif
2005,B,1.252303,-26.278868,2020s,15.856047,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2005 band B onto 2020s. Spine RMS residual 15.9 DN vs 21.5 DN uncorrected. VALID OVER DN [71, 208] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",29.873497,21.513562,71.0,208.0,137.0,139.5,,ols,neg_parking+school_k12,King County,king,20.1,2005_king_rgb.tif
2006s,R,1.605596,-116.962746,2020s,12.225624,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2006s band R onto 2020s. Spine RMS residual 12.2 DN vs 24.9 DN uncorrected. VALID OVER DN [125, 213] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",18.594162,24.903146,125.0,213.0,183.0,160.0,,ols,neg_parking+school_k12,Snohomish Co. (1 m; likely NAIP 2006 republish),snoh,100.0,2006_snoh_1m_rgb.tif
2006s,G,1.775723,-134.358790,2020s,11.306197,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2006s band G onto 2020s. Spine RMS residual 11.3 DN vs 26.6 DN uncorrected. VALID OVER DN [120, 206] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",22.084007,26.561250,120.0,206.0,169.0,153.5,,ols,neg_parking+school_k12,Snohomish Co. (1 m; likely NAIP 2006 republish),snoh,100.0,2006_snoh_1m_rgb.tif
2006s,B,1.761552,-115.939135,2020s,11.540138,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2006s band B onto 2020s. Spine RMS residual 11.5 DN vs 27.8 DN uncorrected. VALID OVER DN [101, 192] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",24.008937,27.799880,101.0,192.0,150.5,139.5,,ols,neg_parking+school_k12,Snohomish Co. (1 m; likely NAIP 2006 republish),snoh,100.0,2006_snoh_1m_rgb.tif
2007,R,1.028394,13.888607,2020s,13.319967,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2007 band R onto 2020s. Spine RMS residual 13.3 DN vs 22.6 DN uncorrected. VALID OVER DN [60, 209] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",24.005766,22.572107,60.0,209.0,155.0,160.0,,ols,neg_parking+school_k12,King County,king,20.1,2007_king_rgb.tif
2007,G,1.098694,1.975526,2020s,13.047374,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2007 band G onto 2020s. Spine RMS residual 13.0 DN vs 21.6 DN uncorrected. VALID OVER DN [59, 208] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",20.595305,21.583172,59.0,208.0,148.5,153.5,,ols,neg_parking+school_k12,King County,king,20.1,2007_king_rgb.tif
2007,B,1.174178,-6.013033,2020s,14.227216,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2007 band B onto 2020s. Spine RMS residual 14.2 DN vs 23.6 DN uncorrected. VALID OVER DN [52, 197] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",18.660968,23.646705,52.0,197.0,131.5,139.5,,ols,neg_parking+school_k12,King County,king,20.1,2007_king_rgb.tif
2007s,R,0.871181,79.101703,2020s,12.966043,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2007s band R onto 2020s. Spine RMS residual 13.0 DN vs 67.5 DN uncorrected. VALID OVER DN [20, 178] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",21.121525,67.536410,20.0,178.0,103.5,160.0,,ols,neg_parking+school_k12,Snohomish Co.,snoh,30.5,2007_snoh_1ft_rgb.tif
2007s,G,0.919199,67.457204,2020s,13.909950,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2007s band G onto 2020s. Spine RMS residual 13.9 DN vs 60.8 DN uncorrected. VALID OVER DN [22, 179] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",23.259657,60.800219,22.0,179.0,105.5,153.5,,ols,neg_parking+school_k12,Snohomish Co.,snoh,30.5,2007_snoh_1ft_rgb.tif
2007s,B,1.064105,43.540403,2020s,9.161769,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2007s band B onto 2020s. Spine RMS residual 9.2 DN vs 50.8 DN uncorrected. VALID OVER DN [20, 169] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",18.181604,50.792060,20.0,169.0,95.0,139.5,,ols,neg_parking+school_k12,Snohomish Co.,snoh,30.5,2007_snoh_1ft_rgb.tif
2009,R,0.881064,38.729545,2020s,19.128165,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2009 band R onto 2020s. Spine RMS residual 19.1 DN vs 29.3 DN uncorrected. VALID OVER DN [72, 223] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",26.666397,29.317230,72.0,223.0,157.0,160.0,,ols,neg_parking+school_k12,King County,king,20.1,2009_king_rgb.tif
2009,G,0.948131,18.918723,2020s,18.980035,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2009 band G onto 2020s. Spine RMS residual 19.0 DN vs 22.1 DN uncorrected. VALID OVER DN [78, 226] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",28.749520,22.120880,78.0,226.0,159.0,153.5,,ols,neg_parking+school_k12,King County,king,20.1,2009_king_rgb.tif
2009,B,1.112863,-3.905792,2020s,10.374854,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2009 band B onto 2020s. Spine RMS residual 10.4 DN vs 16.6 DN uncorrected. VALID OVER DN [62, 207] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",16.461832,16.588148,62.0,207.0,138.5,139.5,,ols,neg_parking+school_k12,King County,king,20.1,2009_king_rgb.tif
2009s,R,1.036158,38.104695,2020s,18.086699,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2009s band R onto 2020s. Spine RMS residual 18.1 DN vs 46.4 DN uncorrected. VALID OVER DN [57, 184] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",24.364224,46.375281,57.0,184.0,137.0,160.0,,ols,neg_parking+school_k12,Snohomish Co. (Aerials Express),snoh,30.5,2009_snoh_1ft_rgb.tif
2009s,G,1.087360,28.471522,2020s,19.231033,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2009s band G onto 2020s. Spine RMS residual 19.2 DN vs 44.0 DN uncorrected. VALID OVER DN [59, 184] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",29.500610,43.981057,59.0,184.0,132.0,153.5,,ols,neg_parking+school_k12,Snohomish Co. (Aerials Express),snoh,30.5,2009_snoh_1ft_rgb.tif
2009s,B,1.165354,18.451463,2020s,12.286304,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2009s band B onto 2020s. Spine RMS residual 12.3 DN vs 39.7 DN uncorrected. VALID OVER DN [41, 175] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",19.091872,39.696767,41.0,175.0,117.0,139.5,,ols,neg_parking+school_k12,Snohomish Co. (Aerials Express),snoh,30.5,2009_snoh_1ft_rgb.tif
2011s,R,0.976461,22.689611,2020s,14.942189,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2011s band R onto 2020s. Spine RMS residual 14.9 DN vs 24.3 DN uncorrected. VALID OVER DN [69, 207] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",23.323591,24.334475,69.0,207.0,160.0,160.0,,ols,neg_parking+school_k12,Snohomish Co.,snoh,30.5,2011_snoh_1ft_rgb.tif
2011s,G,1.075705,-2.888343,2020s,14.618093,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2011s band G onto 2020s. Spine RMS residual 14.6 DN vs 17.5 DN uncorrected. VALID OVER DN [77, 210] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",24.391720,17.488091,77.0,210.0,162.0,153.5,,ols,neg_parking+school_k12,Snohomish Co.,snoh,30.5,2011_snoh_1ft_rgb.tif
2011s,B,1.288732,-42.517564,2020s,10.542427,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2011s band B onto 2020s. Spine RMS residual 10.5 DN vs 16.8 DN uncorrected. VALID OVER DN [80, 203] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",20.193664,16.827557,80.0,203.0,150.5,139.5,,ols,neg_parking+school_k12,Snohomish Co.,snoh,30.5,2011_snoh_1ft_rgb.tif
2012s,R,0.973652,51.670540,2020s,26.733378,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2012s band R onto 2020s. Spine RMS residual 26.7 DN vs 55.4 DN uncorrected. VALID OVER DN [58, 188] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",47.034519,55.394043,58.0,188.0,130.5,160.0,,ols,neg_parking+school_k12,Snohomish Co. (9-in),snoh,22.9,2012_snoh_9in_rgb.tif
2012s,G,1.040820,38.074383,2020s,27.235300,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2012s band G onto 2020s. Spine RMS residual 27.2 DN vs 50.9 DN uncorrected. VALID OVER DN [61, 187] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",45.585087,50.934599,61.0,187.0,129.0,153.5,,ols,neg_parking+school_k12,Snohomish Co. (9-in),snoh,22.9,2012_snoh_9in_rgb.tif
2012s,B,1.354906,-17.072751,2020s,21.703965,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2012s band B onto 2020s. Spine RMS residual 21.7 DN vs 37.0 DN uncorrected. VALID OVER DN [70, 181] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",41.419974,36.961692,70.0,181.0,126.5,139.5,,ols,neg_parking+school_k12,Snohomish Co. (9-in),snoh,22.9,2012_snoh_9in_rgb.tif
2013,R,1.163595,11.360077,2020s,12.530196,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2013 band R onto 2020s. Spine RMS residual 12.5 DN vs 36.5 DN uncorrected. VALID OVER DN [55, 185] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",22.463895,36.507990,55.0,185.0,139.0,160.0,,ols,neg_parking+school_k12,King County,king,10.0,2013_king_rgb.tif
2013,G,1.251650,0.535012,2020s,11.641123,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2013 band G onto 2020s. Spine RMS residual 11.6 DN vs 36.9 DN uncorrected. VALID OVER DN [53, 179] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",21.487903,36.945906,53.0,179.0,132.5,153.5,,ols,neg_parking+school_k12,King County,king,10.0,2013_king_rgb.tif
2013,B,1.278898,-3.123072,2020s,10.887324,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2013 band B onto 2020s. Spine RMS residual 10.9 DN vs 34.2 DN uncorrected. VALID OVER DN [50, 172] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",19.834567,34.222312,50.0,172.0,122.0,139.5,,ols,neg_parking+school_k12,King County,king,10.0,2013_king_rgb.tif
2013s,R,0.913484,35.007950,2020s,27.186964,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2013s band R onto 2020s. Spine RMS residual 27.2 DN vs 35.5 DN uncorrected. VALID OVER DN [68, 209] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",38.511430,35.454196,68.0,209.0,157.0,160.0,,ols,neg_parking+school_k12,Snohomish Co. (1 m),snoh,100.0,2013_snoh_1m_rgb.tif
2013s,G,1.002449,14.802974,2020s,31.275013,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2013s band G onto 2020s. Spine RMS residual 31.3 DN vs 34.8 DN uncorrected. VALID OVER DN [77, 211] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",44.067478,34.758692,77.0,211.0,152.5,153.5,,ols,neg_parking+school_k12,Snohomish Co. (1 m),snoh,100.0,2013_snoh_1m_rgb.tif
2013s,B,1.263403,-34.561772,2020s,25.048298,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2013s band B onto 2020s. Spine RMS residual 25.0 DN vs 27.7 DN uncorrected. VALID OVER DN [84, 210] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",33.421911,27.679716,84.0,210.0,140.0,139.5,,ols,neg_parking+school_k12,Snohomish Co. (1 m),snoh,100.0,2013_snoh_1m_rgb.tif
2015,R,0.698169,74.813280,2020s,23.987979,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2015 band R onto 2020s. Spine RMS residual 24.0 DN vs 46.6 DN uncorrected. VALID OVER DN [41, 217] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",32.629171,46.595779,41.0,217.0,158.5,160.0,,ols,neg_parking+school_k12,King County,king,10.0,2015_king_rgb.tif
2015,G,0.785449,59.594732,2020s,23.717020,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2015 band G onto 2020s. Spine RMS residual 23.7 DN vs 41.5 DN uncorrected. VALID OVER DN [41, 211] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",32.453629,41.478910,41.0,211.0,152.0,153.5,,ols,neg_parking+school_k12,King County,king,10.0,2015_king_rgb.tif
2015,B,1.034369,21.462202,2020s,17.223357,2,6,,"ols on 6 PIF-masked hardscape quantiles (p5/p50/p95 x 2 spine targets: neg_parking+school_k12; neg_water excluded - sun-glint) mapping 2015 band B onto 2020s. Spine RMS residual 17.2 DN vs 31.0 DN uncorrected. VALID OVER DN [43, 196] - outside that range this is EXTRAPOLATION (see --step validate [4]). Fitted on invariant ground ONLY - says nothing about vegetation, season, vignetting or within-scene gradient (see module header).",30.832557,30.967725,43.0,196.0,133.0,139.5,,ols,neg_parking+school_k12,King County,king,10.0,2015_king_rgb.tif
