doi,openalex_status,openalex_is_oa,openalex_pdf,openalex_n_pdf,crossref_status,crossref_pdf_link,crossref_license,s2_status,s2_pdf,landing_status,citation_pdf_url,landing_final_url,landing_note,unpaywall_url,unpaywall_note
10.1080/01621459.1969.10501049,200,False,,0,200,,,200,,403,,https://doi.org/10.1080/01621459.1969.10501049,,,unpaywall is_oa=False oa_status=closed
10.1088/0266-5611/19/6/059,200,False,,0,200,,,200,,200,https://iopscience.iop.org/article/10.1088/0266-5611/19/6/059/pdf,https://iopscience.iop.org/article/10.1088/0266-5611/19/6/059,,,unpaywall is_oa=False oa_status=closed
10.1093/biomet/asq010,200,False,,0,200,http://academic.oup.com/biomet/article-pdf/97/2/419/583997/asq010.pdf,,200,,403,,https://doi.org/10.1093/biomet/asq010,,,unpaywall is_oa=False oa_status=closed
10.1109/icip55913.2025.11084679,200,False,,0,200,,https://doi.org/10.15223/policy-029;https://doi.org/10.15223/policy-037,404,,202,,https://ieeexplore.ieee.org/document/11084679/,,,unpaywall is_oa=False oa_status=closed
10.1109/igarss.2019.8898071,200,False,,0,200,,https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html;https://doi.org/10.15223/policy-029,200,https://arxiv.org/pdf/1903.06529,202,,https://ieeexplore.ieee.org/document/8898071/,,,unpaywall is_oa=False oa_status=closed
10.1109/jcdl52503.2021.00029,200,False,,0,200,,https://doi.org/10.15223/policy-029;https://doi.org/10.15223/policy-037,200,http://arxiv.org/pdf/2103.07534,202,,https://ieeexplore.ieee.org/document/9651767/,,,unpaywall is_oa=False oa_status=closed
10.1109/tpami.2024.3498346,200,False,,0,200,,https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html;https://doi.org/10.15223/policy-029,200,,202,,https://ieeexplore.ieee.org/document/10752992/,,,unpaywall is_oa=False oa_status=closed
10.1111/ectj.12097,200,False,,0,200,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fectj.12097,http://doi.wiley.com/10.1002/tdm_license_1.1;http://onlinelibrary.wiley.com/termsAndConditions#am,404,,403,,https://doi.org/10.1111/ectj.12097,,,unpaywall is_oa=False oa_status=closed
10.1126/science.1148783,200,False,,0,200,,,200,,403,,https://doi.org/10.1126/science.1148783,,,unpaywall is_oa=False oa_status=closed
10.1137/1.9781611978032.28,200,False,,0,200,,,404,,403,,https://doi.org/10.1137/1.9781611978032.28,,,unpaywall is_oa=False oa_status=closed
10.1142/s2382626615500057,200,False,,0,200,,,200,https://arxiv.org/pdf/1502.04592,403,,https://doi.org/10.1142/s2382626615500057,,,unpaywall is_oa=False oa_status=closed
10.1145/3347146.3359068,200,False,,0,200,,https://www.acm.org/publications/policies/copyright_policy#Background,200,,403,,https://doi.org/10.1145/3347146.3359068,,,unpaywall is_oa=False oa_status=closed
10.1201/9781315374321,200,False,,0,200,,,200,,200,https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&amp;identifierValue=10.1201/9781315374321&amp;type=googlepdf,https://www.taylorfrancis.com/books/mono/10.1201/9781315374321/multi-state-survival-models-interval-censored-data-ardo-van-den-hout,,,unpaywall is_oa=False oa_status=closed
10.14778/1920841.1920904,200,False,,0,200,,,200,,403,,https://doi.org/10.14778/1920841.1920904,,,unpaywall is_oa=False oa_status=closed
10.14778/2994509.2994535,200,False,,0,200,,,200,,403,,https://doi.org/10.14778/2994509.2994535,,,unpaywall is_oa=False oa_status=closed
10.17863/cam.133934,200,True,,0,404,,,404,,200,,https://www.repository.cam.ac.uk/items/aaabf21f-7093-45c8-a3f7-9a1c9d9383ee,challenge,,unpaywall: no record
10.5067/doc/ceoswgcv/lpv/lc.001,200,True,https://pure.iiasa.ac.at/id/eprint/20873/1/CEOS_WGCV_LPV_Land_Cover_protocol_Sept2025_V1.pdf,3,404,,,404,,200,,https://lpvs.gsfc.nasa.gov/documents.html,,,unpaywall: no record
