attempt_id,work_key,route,identifier,year,at,workstream,http_codes,tried,detail_excerpt,bytes_recorded,sha256_recorded,bytes_kept,bytes_kept_path,bytes_kept_length,match_method,sub_status,basis,cause,free_to_fix,fix_grade,fix,reason,landing_pdf_pointer,work_has_file_now
01a0a7c6-dcd5-7513-ab22-54eb81b30df2,Hickey_2014_managing-ambiguity-viaf,open_access,10.1045/july2014-hickey,2014,2026-09-15T18:13:42.866069-07:00,linkage-review,[200],doi.org:200,,,,n,,,sibling:01a0a837-9e60-7cd9-a9d7-e7f8158a611c,html_response,inferred,html_is_the_work,n,,kind=html-doc capture (not built in S4.5; decision D12),"typed from the later attempt 01a0a837-9e60-7cd9-a9d7-e7f8158a611c's kept bytes (same work, route and hosts): the served HTML is the work itself",,n
01a0a837-9e60-7cd9-a9d7-e7f8158a611c,Hickey_2014_managing-ambiguity-viaf,open_access,10.1045/july2014-hickey,2014,2026-09-15T20:16:52.445128-07:00,linkage-review,[200],doi.org:200,,,,y,_quarantine/Hickey_2014_managing-ambiguity-viaf__staging-orphan__204ad8dc3c7c.download,44843,was+mtime,html_response,bytes,html_is_the_work,n,,kind=html-doc capture (not built in S4.5; decision D12),the served HTML is the work itself,n,n
01a0c71d-202c-7d7b-9528-333bd1e559fe,Liu_2021_change-detection-deep-learning,open_access,10.1016/j.rse.2021.112308,2021,2026-09-21T20:16:09.900275-07:00,ruled-hunts-1,[200],doi.org:200,the 2694 bytes served do not begin with %PDF-; they look like HTML,2694,7dbcee6c551fbcae70f7a79aeb817a4f09e78c8e83ddf2017206ff0d62221640,y,_quarantine/Liu_2021_change-detection-deep-learning__bad-file__7dbcee6c551f.pdf,2694,sha256+qp.attempt,html_response,bytes,landing_page,y,estimated,Stage C Elsevier rule: linkinghub PII -> /pdfft (survey §2; ESTIMATED: /pdfft may sit behind a challenge),"an Elsevier linkinghub 'Redirecting' page carrying the PII, no PDF link",n,y
01a0a85f-448a-70ff-afe0-2b9d94c21aad,Maragos_1989_pattern-spectrum-multiscale-shape,open_access,10.1109/34.192465,1989,2026-09-15T21:00:10.871623-07:00,held-queue,[202],doi.org:202,,,,n,,,none,,,misbooked,n,,blocked/challenge_or_bot_check,challenge_interstitial: HTTP 202 and no %PDF-: a WAF interstitial's shape (C7; bytes not kept),,n
01a0a071-bb1c-7909-8a1c-52de2f504388,Olofsson_2020_mitigating-effects-omission-errors,open_access,10.1016/j.rse.2019.111492,2020,2026-09-14T08:03:23.161911-07:00,litkb-p2-gate,"[403, 0]",www.sciencedirect.com:403 | hdl.handle.net:0,,,,n,,,none,,,misbooked,n,,blocked (identity or challenge),blocked_not_bad_file: 403 and a transport failure; no host answered 200,,y
01a0a7c6-61d8-7ba8-bcdf-e452fcd5aeac,Ortega_2024_indexation-retracted-literature-seven,open_access,10.1007/s11192-024-05034-y,2024,2026-09-15T18:13:11.381065-07:00,linkage-review,"[200, 200]",link.springer.com:200 | hdl.handle.net:200,,,,n,,,none,html_response,inferred,landing_page,y,inferred,Stage C on the landing page (INFERRED: the page was not kept),a host answered 200 with no %PDF-: the shape of a landing page (bytes not kept),,y
01a0a83a-10c7-7c34-90bd-136f34f69434,Ortega_2024_indexation-retracted-literature-seven,open_access,10.1007/s11192-024-05034-y,2024,2026-09-15T20:19:32.801146-07:00,linkage-review,"[200, 500]",link.springer.com:200 | hdl.handle.net:500,,,,n,,,none,html_response,inferred,landing_page,y,inferred,Stage C on the landing page (INFERRED: the page was not kept),a host answered 200 with no %PDF-: the shape of a landing page (bytes not kept),,y
01a0a7c6-f73a-747e-a644-fa50458ec553,Tkaczyk_2018_reference-matching-real-this,open_access,10.64000/e6ey2-wce96,2018,2026-09-15T18:13:49.623230-07:00,linkage-review,[200],doi.org:200,,,,n,,,sibling:01a0a838-15a7-7fcb-ba0a-3bbdc21c5a06,html_response,inferred,html_is_the_work,n,,kind=html-doc capture (not built in S4.5; decision D12),"typed from the later attempt 01a0a838-15a7-7fcb-ba0a-3bbdc21c5a06's kept bytes (same work, route and hosts): the served HTML is the work itself",,n
01a0a838-15a7-7fcb-ba0a-3bbdc21c5a06,Tkaczyk_2018_reference-matching-real-this,open_access,10.64000/e6ey2-wce96,2018,2026-09-15T20:17:22.980745-07:00,linkage-review,[200],doi.org:200,,,,y,_quarantine/Tkaczyk_2018_reference-matching-real-this__staging-orphan__60bd1df838dc.download,63698,was+mtime,html_response,bytes,html_is_the_work,n,,kind=html-doc capture (not built in S4.5; decision D12),the served HTML is the work itself,n,n
01a0a7c7-0497-7390-8e04-4055fde0aa12,Tkaczyk_2024_how-good-your-matching,open_access,10.13003/ief7aibi,2024,2026-09-15T18:13:53.043622-07:00,linkage-review,[200],doi.org:200,,,,n,,,sibling:01a0a83a-d8b8-7132-aaa0-1dcee45b9386,html_response,inferred,html_is_the_work,n,,kind=html-doc capture (not built in S4.5; decision D12),"typed from the later attempt 01a0a83a-d8b8-7132-aaa0-1dcee45b9386's kept bytes (same work, route and hosts): the served HTML is the work itself",,n
01a0a83a-d8b8-7132-aaa0-1dcee45b9386,Tkaczyk_2024_how-good-your-matching,open_access,10.13003/ief7aibi,2024,2026-09-15T20:20:23.987786-07:00,linkage-review,[200],doi.org:200,,,,y,_quarantine/Tkaczyk_2024_how-good-your-matching__staging-orphan__ee9ccbe47cdf.download,56824,was+mtime,html_response,bytes,html_is_the_work,n,,kind=html-doc capture (not built in S4.5; decision D12),the served HTML is the work itself,n,n
01a0a7c7-14c0-7276-99c9-a6ba0da40551,Tkaczyk_2025_metadata-matching-beyond-correctness,open_access,10.64000/vgpgj-j8126,2025,2026-09-15T18:13:57.179747-07:00,linkage-review,[200],doi.org:200,,,,n,,,sibling:01a0a83c-f398-765f-9180-4a91258a963b,html_response,inferred,html_is_the_work,n,,kind=html-doc capture (not built in S4.5; decision D12),"typed from the later attempt 01a0a83c-f398-765f-9180-4a91258a963b's kept bytes (same work, route and hosts): the served HTML is the work itself",,n
01a0a83c-f398-765f-9180-4a91258a963b,Tkaczyk_2025_metadata-matching-beyond-correctness,open_access,10.64000/vgpgj-j8126,2025,2026-09-15T20:22:41.938713-07:00,linkage-review,[200],doi.org:200,,,,y,_quarantine/Tkaczyk_2025_metadata-matching-beyond-correctness__staging-orphan__10f4e585f9c0.download,57870,was+mtime,html_response,bytes,html_is_the_work,n,,kind=html-doc capture (not built in S4.5; decision D12),the served HTML is the work itself,n,n
01a0a856-c19d-746d-9efc-5f8b10c640ca,Tuia_2011_active-learning-adapt-remote,open_access,10.1016/j.rse.2011.04.022,2011,2026-09-15T20:50:53.081584-07:00,held-queue,[200],research.wur.nl:200,,,,n,,,none,html_response,inferred,landing_page,y,inferred,Stage C on the landing page (INFERRED: the page was not kept),a host answered 200 with no %PDF-: the shape of a landing page (bytes not kept),,y
01a0a854-68d5-7e82-9883-62345a619185,Ventura_2024_individual-tree-detection-large,open_access,10.1016/j.jag.2024.103848,2024,2026-09-15T20:48:19.281966-07:00,held-queue,[200],doi.org:200,,,,n,,,none,html_response,inferred,landing_page,y,inferred,Stage C on the landing page (INFERRED: the page was not kept),a host answered 200 with no %PDF-: the shape of a landing page (bytes not kept),,n
01a0c71d-8d33-7db4-9c2f-10285916984d,Zhu_2026_scalable-sub-meter-mapping,open_access,10.1016/j.rse.2025.115091,2026,2026-09-21T20:16:37.811451-07:00,ruled-hunts-1,[200],doi.org:200,the 2747 bytes served do not begin with %PDF-; they look like HTML,2747,d2de2d417a1c7057221777423c8f662c755ff195b5fae8c92c65d5e6f6479215,y,_quarantine/Zhu_2026_scalable-sub-meter-mapping__bad-file__d2de2d417a1c.pdf,2747,sha256+qp.attempt,html_response,bytes,landing_page,y,estimated,Stage C Elsevier rule: linkinghub PII -> /pdfft (survey §2; ESTIMATED: /pdfft may sit behind a challenge),"an Elsevier linkinghub 'Redirecting' page carrying the PII, no PDF link",n,n
01a0a070-e66f-75b1-a5c6-a2217f487d06,VelasquezCamacho_2025_monitoring-temporal-changes-large,scihub,10.1371/journal.pone.0326562,2025,2026-09-14T08:02:28.719073-07:00,litkb-p2-gate,"[200, 522]",sci-hub.ru:200=no-pdf-link(11350B) | sci-hub.ren:522,,,,n,,,none,,,misbooked,n,,not-in-archive/not_in_corpus; the freeze gate refuses it before any request (post-2021),mirror_miss_page: the mirror answered a page with no PDF link (the tried token records it),,n
