key,doi,openalex_status,openalex,pmid,pmcid,mag,oa_type,issn_l,s2_status,s2_corpus,s2_arxiv,s2_pmid,s2_pmcid,s2_mag,s2_dblp,s2_acl,cr_status,cr_type,cr_isbn,cr_issn,cr_alt_id,cr_relation_types,cr_has_link
Burnicki_2007_simulating-error-propagation-land,10.1016/j.compenvurbsys.2006.07.005,200,W2001086267,,,2001086267,article,0198-9715,200,11568641,,,,2001086267,journals/urban/BurnickiBG07,,200,journal-article,,0198-9715,S0198971506000688,,1
Burnicki_2010_propagating-error-land-cover,10.1080/13658810903279008,200,W2010498201,,,2010498201,article,0269-3798,200,10902333,,,,2010498201,journals/gis/BurnickiBG10,,200,journal-article,,1365-8816;1362-3087,10.1080/13658810903279008,,1
Burnicki_2011_spatio-temporal-errors-land,10.1080/01431161.2010.524674,200,W1995990071,,,1995990071,article,0143-1161,200,129367454,,,,1995990071,,,200,journal-article,,0143-1161;1366-5901,10.1080/01431161.2010.524674,,1
Burnicki_2012_impact-error-landscape-pattern,10.1007/s10980-012-9719-2,200,W2053328483,,,2053328483,article,0921-2973,200,254743974,,,,,,,200,journal-article,,0921-2973;1572-9761,9719,,1
Cabo_1995_line-transects-covariance-functions,10.1017/s0001867800027063,200,W4233666511,,,,article,0001-8678,404,,,,,,,,200,journal-article,,0001-8678;1475-6064,S0001867800027063,,1
Cai_2014_enhancing-modis-land-cover,10.1016/j.rse.2014.03.012,200,W1989282982,,,1989282982,article,0034-4257,200,129821647,,,,1989282982,,,200,journal-article,,0034-4257,S0034425714000832,,1
Camara_2024_bayesian-inference-post-processing,10.3390/rs16234572,200,W4405120894,,,,article,2072-4292,200,274569214,,,,,journals/remotesensing/CamaraACSSCSRD24,,200,journal-article,,2072-4292,rs16234572,,1
Canty_2008_automatic-radiometric-normalization,10.1016/j.rse.2007.07.013,200,W2079740553,,,2079740553,article,0034-4257,200,18300910,,,,2079740553,,,200,journal-article,,0034-4257,S0034425707003495,,1
Capliez_2023_multisensor-temporal-unsupervised-domain,10.1109/tgrs.2023.3297077,200,W4385194684,,,,article,0196-2892,200,260150999,,,,,journals/tgrs/CapliezIGBHGC23,,200,journal-article,,0196-2892;1558-0644,,,1
Capliez_2023_temporal-domain-adaptation-satellite,10.1109/jstars.2023.3263755,200,W4361982209,,,,article,1939-1404,200,257881747,,,,,journals/staeors/CapliezIGBH23,,200,journal-article,,1939-1404;2151-1535,,,1
Caragea_2009_autologistic-models-interpretable-parameters,10.1198/jabes.2009.07032,200,W2002225225,,,2002225225,article,1085-7117,200,119721647,,,,2002225225,,,200,journal-article,,1085-7117;1537-2693,140300281,,1
Cardille_2016_bayesian-updating-land-cover,10.1016/j.rse.2016.08.021,200,W2515329145,,,2515329145,article,0034-4257,200,132602738,,,,2515329145,,,200,journal-article,,0034-4257,S0034425716303248,,1
Chakraborty_2017_effect-misclassification-due-measurement,10.12957/cadest.2017.25564,200,W2767474827,,,2767474827,article,1413-9022,200,125861743,,,,2767474827,,,200,journal-article,,2317-4536;1413-9022,,,
Chan_2005_aspects-total-variation-regularized,10.1137/040604297,200,W1998999283,,,1998999283,article,0036-1399,200,17821049,,,,1998999283,journals/siamam/ChanE05,,200,journal-article,,0036-1399;1095-712X,10.1137/040604297,,1
Chang_2019_domain-specific-batch-normalization,10.1109/cvpr.2019.00753,200,W2949813473,,,2949813473,conference-paper,,200,150369467,1906.03950,,,2948025812,journals/corr/abs-1906-03950,,200,proceedings-article,,,,,1
Charitos_2007_computing-short-interval-transition,10.1002/sim.2970,200,W2137923580,17579926,,2137923580,article,0277-6715,200,44947636,,17579926,,2137923580,,,200,journal-article,,0277-6715;1097-0258,10.1002/sim.2970,,1
Chaux_2008_nonlinear-stein-based-estimator,10.1109/tsp.2008.921757,200,W1968982346,,,1968982346,article,1053-587X,200,2886450,0712.2317,,,1968982346,journals/tsp/ChauxDBP08,,200,journal-article,,1053-587X,,,1
Chen_2014_assessment-image-misregistration-effects,10.1016/j.isprsjprs.2013.10.007,200,W2108262882,,,2108262882,article,0924-2716,200,52064187,,,,2108262882,,,200,journal-article,,0924-2716,S0924271613002293,,1
Chen_2014_true-orthophoto-generation-multi,10.5194/isprsarchives-xl-3-67-2014,200,W2000966632,,,2000966632,article,1682-1750,200,55835730,,,,2000966632,,,200,journal-article,,2194-9034,,,1
Chen_2018_semantic-segmentation-aerial-imagery,10.5194/isprs-annals-iv-1-29-2018,200,W2894369069,,,2894369069,article,2194-9042,200,53954649,,,,2894369069,,,200,journal-article,,2194-9050,,,1
Chen_2020_deep-siamese-domain-adaptation,10.48550/arxiv.2004.05745,200,W3016197181,,,3016197181,preprint,2331-8422,404,,,,,,,,404,,,,,,
Chen_2022_new-p-control-chart,10.48550/arxiv.2203.03384,200,W4221140186,,,,preprint,2331-8422,404,,,,,,,,404,,,,,,
Chen_2023_radiometric-normalization-pseudo-invariant,10.3390/app13042525,200,W4321097771,,,,article,2076-3417,200,256975165,,,,,,,200,journal-article,,2076-3417,app13042525,,1
Chen_2023_urban-tree-canopy-mapping,10.3390/rs15030765,200,W4318483042,,,,article,2072-4292,200,256450201,,,,,journals/remotesensing/ChenCZMWB23,,200,journal-article,,2072-4292,rs15030765,,1
Chen_2024_coarse-fine-semantic-segmentation,10.1016/j.isprsjprs.2024.07.028,200,W4401630084,,,,article,0924-2716,200,272036988,,,,,,,200,journal-article,,0924-2716,S0924271624002958,,1
Cheng_2020_novel-post-processing-method,10.3390/s20195500,200,W3087926930,32992816,,3087926930,article,1424-8220,200,222168226,,32992816,7582749,3087926930,journals/sensors/ChengL20,,200,journal-article,,1424-8220,s20195500,,1
Chernozhukov_2018_double-debiased-machine-learning,10.1111/ectj.12097,200,W3123436326,,,3123436326,article,1368-4221,404,,,,,,,,200,journal-article,,1368-4221;1368-423X,,,1
Clark_2023_pre-processing-training-data,10.3390/land12071268,200,W4381683769,,,,article,2073-445X,404,,,,,,,,200,journal-article,,2073-445X,land12071268,,1
Cohen_2010_detecting-trends-forest-disturbance,10.1016/j.rse.2010.07.010,200,W2118364838,,,2118364838,article,0034-4257,200,54961095,,,,2118364838,,,200,journal-article,,0034-4257,S0034425710002269,,1
Cohen_2018_landtrendr-multispectral-ensemble-forest,10.1016/j.rse.2017.11.015,200,W2769358239,,,2769358239,article,0034-4257,200,133656100,,,,2769358239,,,200,journal-article,,0034-4257,S0034425717305576,,1
Conley_1999_gmm-estimation-cross-sectional,10.1016/s0304-4076(98)00084-0,200,W1970448118,,,1970448118,article,0304-4076,200,120829129,,,,1970448118,,,200,journal-article,,0304-4076,S0304407698000840,,1
Conley_2007_spatial-correlation-robust-inference,10.1016/j.jeconom.2006.09.003,200,W2164468176,,,2164468176,article,0304-4076,200,14713985,,,,2164468176,,,200,journal-article,,0304-4076,S0304407606002247,,1
Conway_2022_private-tree-law-s,10.48044/jauf.2022.002,200,W4206340858,,,,article,1935-5297,200,245723612,,,,,,,200,journal-article,,1935-5297;2155-0778,,,
Cosarinsky_2026_confic-rca-statistically-grounded,10.1109/tmi.2026.3679618,200,W7147452949,41915520,,,article,0278-0062,200,276813454,2503.04522,41915520,,,journals/tmi/CosarinskyBMJGFTF26,,200,journal-article,,0278-0062;1558-254X,,,1
Costa_2018_supervised-methods-image-segmentation,10.1016/j.rse.2017.11.024,200,W2771766796,,,2771766796,article,0034-4257,200,59945971,,,,2771766796,,,200,journal-article,,0034-4257,S0034425717305734,,1
Coulter_2008_assessment-spatial-co-registration,10.3390/s8042161,200,W2111355994,27879815,,2111355994,article,1424-8220,200,5660391,,27879815,3673411,2111355994,,,200,journal-article,,1424-8220,s8042161,,1
Coupland_2022_combining-aerial-photos-lidar,10.1371/journal.pone.0273487,200,W4295708845,36103468,,,article,1932-6203,200,252221015,,36103468,9473407,,,,200,journal-article,,1932-6203,,,1
Couprie_2011_power-watershed-unifying-graph,10.1109/tpami.2010.200,200,W2171147867,21079274,,2171147867,article,0162-8828,200,3016320,,21079274,,2171147867,journals/pami/CouprieGNT11,,200,journal-article,,0162-8828,,,1
Crowder_2017_introduction-bernoulli-cusum,10.1109/ram.2017.7889762,200,W2603457032,,,2603457032,conference-paper,,200,7331710,,,,2603457032,,,200,proceedings-article,,,,,1
Culbert_2025_reference-coverage-analysis-openalex,10.1007/s11192-025-05293-3,200,W4409343438,,,,article,0138-9130,200,267312566,2401.16359,,,,journals/corr/abs-2401-16359,,200,journal-article,,0138-9130;1588-2861,5293,,1
Dai_1998_hierarchical-methodology-framework-multisource,10.1080/014311698213911,200,W2100528098,,,2100528098,article,0143-1161,200,129888771,,,,2100528098,,,200,journal-article,,0143-1161;1366-5901,10.1080/014311698213911,,1
DAngelo_2004_inferred-causes-tree-mortality,10.1017/s0266467403001032,200,W2089199086,,,2089199086,article,0266-4674,200,42525996,,,,2089199086,,,200,journal-article,,0266-4674;1469-7831,S0266467403001032,,1
Dawid_1979_maximum-likelihood-estimation-observer,10.2307/2346806,200,W9014458,,,9014458,article,0035-9254,200,45813168,,,,9014458,,,200,journal-article,,0035-9254,,,
DelgadoQuiros_2025_research-entity-information-coverage,10.31235/osf.io/cxp4q,200,W4406399934,,,,preprint,,404,,,,,,,,200,posted-content,,,,,
Deng_2026_semiparametric-analysis-interval-censored,10.1214/25-aoas2134,200,W7138852364,41867349,,,article,1932-6157,200,284648098,2601.07044,41867349,13004487,,,,200,journal-article,,1932-6157,,,
Dietenberger_2023_tree-stem-detection-crown,10.3390/rs15184366,200,W4386461316,,,,article,2072-4292,200,261571857,,,,,journals/remotesensing/DietenbergerMBNZMHKHDT23,,200,journal-article,,2072-4292,rs15184366,,1
Dihkan_2026_investigating-class-granularity-historical,10.1080/01431161.2026.2660253,200,W7155397976,,,,article,0143-1161,200,287762505,,,,,,,200,journal-article,,0143-1161;1366-5901,10.1080/01431161.2026.2660253,,1
Ding_2021_local-temperature-scaling-probability,10.1109/iccv48922.2021.00681,200,W3048873595,,,3048873595,conference-paper,,200,221103858,2008.05105,,,3048873595,conf/iccv/DingHLN21,,200,proceedings-article,,,,,1
Dionelis_2024_learning-unlabelled-data-transformers,10.48550/arxiv.2404.11299,200,W4394948544,,,,preprint,2331-8422,404,,,,,,,,404,,,,,,
Duval_2009_tvl1-model-geometric-point,10.1137/090757083,200,W2105880637,,,2105880637,article,1540-3459,200,7237251,,,,2340110323,journals/mmas/DuvalAG09,,200,journal-article,,1540-3459;1540-3467,10.1137/090757083,,1
Efron_1986_how-biased-apparent-error,10.1080/01621459.1986.10478291,200,W2154415584,,,2154415584,article,0162-1459,200,31129752,,,,2154415584,,,200,journal-article,,0162-1459;1537-274X,10.1080/01621459.1986.10478291,,1
Efron_2004_estimation-prediction-error,10.1198/016214504000000692,200,W1502338185,,,1502338185,article,0162-1459,200,18327998,,,,1502338185,,,200,journal-article,,0162-1459;1537-274X,10.1198/016214504000000692,is-referenced-by,1
Efron_2021_resampling-plans-estimation-prediction,10.3390/stats4040063,200,W4200296238,,,,article,2571-905X,200,245010790,,,,,,,200,journal-article,,2571-905X,stats4040063,,1
Eldar_2009_generalized-sure-exponential-families,10.1109/tsp.2008.2008212,200,W2113920645,,,2113920645,article,1053-587X,200,437354,0804.3010,,,2113920645,journals/tsp/Eldar09,,200,journal-article,,1053-587X;1941-0476,,,1
Enamorado_2019_probabilistic-model-assist-merging,10.1017/s0003055418000783,200,W2908287046,,,2908287046,article,0003-0554,200,149856338,,,,2908287046,,,200,journal-article,,0003-0554;1537-5943,S0003055418000783,,1
Fang_2020_rethinking-importance-weighting-deep,10.48550/arxiv.2006.04662,200,W3033035102,,,3033035102,preprint,2331-8422,404,,,,,,,,404,,,,,,
Fellegi_1969_theory-record-linkage,10.1080/01621459.1969.10501049,200,W2073471108,,,2073471108,article,0162-1459,200,17349112,,,,2073471108,,,200,journal-article,,0162-1459;1537-274X,10.1080/01621459.1969.10501049,,1
Ferraz_2016_lidar-detection-individual-tree,10.1016/j.rse.2016.05.028,200,W2466959383,,,2466959383,article,0034-4257,200,52085909,,,,2466959383,,,200,journal-article,,0034-4257,S0034425716302292,,1
Ferreira_2025_data-augmentation-resolution-enhancement,10.48550/arxiv.2505.15077,200,W4415328387,,,,preprint,2331-8422,200,278782078,2505.15077,,,,journals/corr/abs-2505-15077,,404,,,,,,
Fleming_2025_aerial-imagery-tool-monitoring,10.48044/jauf.2025.022,200,W4411554412,,,,article,1935-5297,200,279836580,,,,,,,200,journal-article,,1935-5297;2155-0778,10.48044/jauf.2025.022,,1
Foody_2010_assessing-accuracy-land-cover,10.1016/j.rse.2010.05.003,200,W2111743232,,,2111743232,article,0034-4257,200,16156943,,,,2111743232,,,200,journal-article,,0034-4257,S0034425710001434,,1
Foody_2013_ground-reference-data-error,10.1080/2150704x.2013.798708,200,W1964899460,,,1964899460,article,2150-704X,200,119755845,,,,1964899460,,,200,journal-article,,2150-704X;2150-7058,10.1080/2150704X.2013.798708,,1
Foody_2022_global-local-assessment-image,10.3390/rs14215380,200,W4307703616,,,,article,2072-4292,200,253212654,,,,,journals/remotesensing/Foody22,,200,journal-article,,2072-4292,rs14215380,,1
Frayer_1967_area-change-estimates-sampling,10.1093/forestscience/13.1.72,200,W4414911529,,,,article,0015-749X,200,281936613,,,,,,,200,journal-article,,0015-749X;1938-3738,,,
Freudenberg_2022_individual-tree-crown-delineation,10.1007/s00521-022-07640-4,200,W4291950012,,,,article,0941-0643,200,251638704,,,,,journals/nca/FreudenbergMN22,,200,journal-article,,0941-0643;1433-3058,7640,,1
Galerne_2011_computation-perimeter-measurable-sets,10.5566/ias.v30.p39-51,200,W2032941740,,,2032941740,article,1580-3139,200,27213232,,,,2032941740,,,200,journal-article,,1854-5165;1580-3139,,,1
Gallagher_1981_theoretical-analysis-properties-median,10.1109/tassp.1981.1163708,200,W2168932899,,,2168932899,article,0096-3518,200,124799922,,,,2168932899,,,200,journal-article,,0096-3518,,,1
Gan_2023_tree-crown-detection-delineation,10.3390/rs15030778,200,W4318484044,,,,article,2072-4292,200,256442485,,,,,journals/remotesensing/GanWI23,,200,journal-article,,2072-4292,rs15030778,,1
Gao_2017_novel-unsupervised-segmentation-quality,10.3390/s17102427,200,W2767045712,29064416,,2767045712,article,1424-8220,200,3495853,,29064416,5677362,2767045712,journals/sensors/GaoTJLD17,,200,journal-article,,1424-8220,s17102427,,1
Gasparrini_2010_distributed-lag-non-linear,10.1002/sim.3940,200,W2006203329,20812303,,2006203329,article,0277-6715,200,2639997,,20812303,2998707,2006203329,,,200,journal-article,,0277-6715;1097-0258,10.1002/sim.3940,is-referenced-by,1
Gasparrini_2011_distributed-lag-linear-non,10.18637/jss.v043.i08,200,W4294826717,,,,article,1548-7660,200,264673660,,22003319,3191524,1950609946,,,200,journal-article,,1548-7660,10.18637/jss.v043.i08,,
Gasparrini_2013_modeling-exposure-lag-response,10.1002/sim.5963,200,W2139348997,24027094,,2139348997,article,0277-6715,200,823045,,24027094,4098103,2139348997,,,200,journal-article,,0277-6715;1097-0258,10.1002/sim.5963,,1
Gasparrini_2017_penalized-framework-distributed-lag,10.1111/biom.12645,200,W2582643776,28134978,,2582643776,article,0006-341X,200,262333846,,28134978,,2582643776,,,200,journal-article,,0006-341X;1541-0420,,correction,1
Geirhos_2018_imagenet-trained-cnns-biased,10.48550/arxiv.1811.12231,200,W2902617128,,,2902617128,preprint,2331-8422,404,,,,,,,,404,,,,,,
Geyer_1992_constrained-monte-carlo-maximum,10.1111/j.2517-6161.1992.tb01443.x,200,W107938046,,,107938046,article,1369-7412,200,117634170,,,,107938046,,,200,journal-article,,1369-7412;1467-9868,,,1
Gharibi_2018_true-orthophoto-generation-aerial,10.3390/rs10040581,200,W2797257533,,,2797257533,article,2072-4292,200,19125250,,,,2797257533,journals/remotesensing/GharibiH18,,200,journal-article,,2072-4292,rs10040581,,1
Girard_2019_aligning-updating-cadaster-maps,10.1007/978-3-030-20873-8_43,200,W2900765460,,,2900765460,conference-paper,0302-9743,200,70241701,,,,2900765460,conf/accv/GirardCT18,,200,book-chapter,9783030208721;9783030208738,0302-9743;1611-3349,,,1
Girard_2019_noisy-supervision-correcting-misaligned,10.1109/igarss.2019.8898071,200,W2987910054,,,2987910054,conference-paper,,200,80628306,1903.06529,,,2987910054,journals/corr/abs-1903-06529,,200,proceedings-article,,,,,1
Gong_2017_hidden-markov-model-improving,10.3390/ijgi6100292,200,W2759193912,,,2759193912,article,2220-9964,200,35708581,,,,2759193912,journals/ijgi/GongFYG17,,200,journal-article,,2220-9964,ijgi6100292,,1
Gong_2026_crossearth-geospatial-vision-foundation,10.1109/tpami.2025.3649001,200,W7117464204,41460898,,,article,0162-8828,200,273695628,2410.22629,41460898,,,journals/corr/abs-2410-22629,,200,journal-article,,0162-8828;2160-9292;1939-3539,,,1
Goodchild_1997_simple-positional-accuracy-measure,10.1080/136588197242419,200,W2047185150,,,2047185150,article,0269-3798,200,205795198,,,,2047185150,journals/gis/GoodchildH97,,200,journal-article,,1365-8816;1362-3087,10.1080/136588197242419,,1
Goodchild_2004_general-framework-error-analysis,10.1007/s10109-004-0140-5,200,W2049213025,,,2049213025,article,1435-5930,200,2769609,,,,2049213025,journals/jgs/Goodchild04,,200,journal-article,,1435-5930;1435-5949,140,,1
Graler_2016_spatio-temporal-interpolation-gstat,10.32614/rj-2016-014,200,W2606716674,,,2606716674,article,2073-4859,200,195948536,,,,2606716674,journals/rjour/GralerPH16,,200,journal-article,,2073-4859,10.32614/RJ-2016-014,,
Gros_2021_softseg-advantages-soft-versus,10.1016/j.media.2021.102038,200,W3098535516,33784599,,3098535516,article,1361-8415,200,227011945,2011.09041,33784599,,3098535516,journals/mia/GrosLC21,,200,journal-article,,1361-8415,S1361841521000840,,1
Gulrajani_2020_search-lost-domain-generalization,10.48550/arxiv.2007.01434,200,W3039431315,,,3039431315,preprint,2331-8422,404,,,,,,,,404,,,,,,
