row_id,ref,ref_scheme,mode,source,state,reason,attempts_written,wall_seconds,traceback,started_at,message
L039,10.1080/01621459.1969.10501049,doi,measure,no-oa-copy,measured,measured,24,162.83,0,2026-09-24T10:43:49Z,"[[""eartharxiv"", ""no-oa-copy""], [""publisher-url"", ""blocked""], [""open_access"", ""no-oa-copy""], [""opencitations"", ""no-oa-copy""], [""crossref-link"", ""blocked""], [""openalex"", ""no-oa-copy""], [""doaj"", ""unresolved""], [""openaire"", ""no-oa-copy""], [""hal"", ""unresolved""], [""osf"", ""skipped""], [""datacite"", ""skipped""], [""zenodo"", ""skipped""], [""figshare"", ""skipped""], [""ncbi-idconv"", ""no-oa-copy""], [""s2"", ""no-oa-copy"
L040,10.1088/0266-5611/19/6/059,doi,hunt,no-oa-copy;bad-file;bban,blocked,challenge,24,147.67,0,2026-09-24T10:46:32Z,
L041,10.1093/biomet/asq010,doi,measure,no-oa-copy,measured,measured,24,128.8,0,2026-09-24T10:49:00Z,"[[""eartharxiv"", ""no-oa-copy""], [""publisher-url"", ""skipped""], [""open_access"", ""no-oa-copy""], [""opencitations"", ""no-oa-copy""], [""crossref-link"", ""blocked""], [""openalex"", ""no-oa-copy""], [""doaj"", ""unresolved""], [""openaire"", ""no-oa-copy""], [""hal"", ""unresolved""], [""osf"", ""skipped""], [""datacite"", ""skipped""], [""zenodo"", ""skipped""], [""figshare"", ""skipped""], [""ncbi-idconv"", ""no-oa-copy""], [""s2"", ""no-oa-copy"
L042,10.1109/icip55913.2025.11084679,doi,hunt,no-oa-copy;blocked,bound-unextracted,fresh-bound,21,160.36,0,2026-09-24T10:51:09Z,
L043,10.1109/tpami.2024.3498346,doi,hunt,no-oa-copy;blocked;crosswalk,bound-unextracted,fresh-bound,17,8.36,0,2026-09-24T10:53:49Z,
L044,10.1111/ectj.12097,doi,measure,no-oa-copy,measured,measured,24,167.97,0,2026-09-24T10:53:58Z,"[[""eartharxiv"", ""no-oa-copy""], [""publisher-url"", ""skipped""], [""open_access"", ""no-oa-copy""], [""opencitations"", ""no-oa-copy""], [""crossref-link"", ""blocked""], [""openalex"", ""no-oa-copy""], [""doaj"", ""unresolved""], [""openaire"", ""blocked""], [""hal"", ""unresolved""], [""osf"", ""skipped""], [""datacite"", ""skipped""], [""zenodo"", ""skipped""], [""figshare"", ""skipped""], [""ncbi-idconv"", ""no-oa-copy""], [""s2"", ""unresolved""],"
L045,10.1126/science.1148783,doi,measure,no-oa-copy,measured,measured,25,312.14,0,2026-09-24T10:56:46Z,"[[""eartharxiv"", ""no-oa-copy""], [""publisher-url"", ""skipped""], [""open_access"", ""no-oa-copy""], [""opencitations"", ""no-oa-copy""], [""crossref-link"", ""blocked""], [""openalex"", ""no-oa-copy""], [""doaj"", ""unresolved""], [""openaire"", ""no-oa-copy""], [""hal"", ""no-oa-copy""], [""osf"", ""skipped""], [""datacite"", ""skipped""], [""zenodo"", ""skipped""], [""figshare"", ""skipped""], [""ncbi-idconv"", ""no-oa-copy""], [""s2"", ""no-oa-copy"
L046,10.1137/1.9781611978032.28,doi,hunt,no-oa-copy;blocked;crosswalk,blocked,403,25,411.09,0,2026-09-24T11:01:58Z,
L047,10.1145/3347146.3359068,doi,measure,no-oa-copy,measured,measured,24,296.94,0,2026-09-24T11:08:49Z,"[[""eartharxiv"", ""no-oa-copy""], [""publisher-url"", ""blocked""], [""open_access"", ""no-oa-copy""], [""opencitations"", ""no-oa-copy""], [""crossref-link"", ""no-oa-copy""], [""openalex"", ""no-oa-copy""], [""doaj"", ""unresolved""], [""openaire"", ""no-oa-copy""], [""hal"", ""unresolved""], [""osf"", ""skipped""], [""datacite"", ""skipped""], [""zenodo"", ""skipped""], [""figshare"", ""skipped""], [""ncbi-idconv"", ""no-oa-copy""], [""s2"", ""no-oa-c"
L048,10.14778/1920841.1920904,doi,hunt,no-oa-copy;bban,blocked,403,21,533.5,0,2026-09-24T11:13:46Z,
L049,10.14778/2994509.2994535,doi,hunt,no-oa-copy;bban,blocked,403,21,614.06,0,2026-09-24T11:22:40Z,
L050,10.1007/s11192-024-05034-y,doi,measure,bad-file,measured,measured,24,23.09,0,2026-09-24T16:38:18Z,"[[""eartharxiv"", ""no-oa-copy""], [""publisher-url"", ""skipped""], [""open_access"", ""skipped""], [""crossref-link"", ""skipped""], [""opencitations"", ""no-oa-copy""], [""openalex"", ""blocked""], [""doaj"", ""unresolved""], [""openaire"", ""no-oa-copy""], [""hal"", ""unresolved""], [""osf"", ""skipped""], [""datacite"", ""skipped""], [""zenodo"", ""skipped""], [""figshare"", ""skipped""], [""ncbi-idconv"", ""no-oa-copy""], [""s2"", ""no-oa-copy""], ["""
L051,10.1007/s11192-025-05293-3,doi,measure,bad-file,measured,measured,24,40.01,0,2026-09-24T16:38:41Z,"[[""eartharxiv"", ""no-oa-copy""], [""publisher-url"", ""skipped""], [""open_access"", ""blocked""], [""opencitations"", ""no-oa-copy""], [""crossref-link"", ""blocked""], [""openalex"", ""no-oa-copy""], [""doaj"", ""unresolved""], [""openaire"", ""no-oa-copy""], [""hal"", ""unresolved""], [""osf"", ""skipped""], [""datacite"", ""skipped""], [""zenodo"", ""skipped""], [""figshare"", ""skipped""], [""ncbi-idconv"", ""no-oa-copy""], [""s2"", ""no-oa-copy""],"
L052,10.1016/j.jag.2024.103848,doi,hunt,bad-file;crosswalk,bound-unextracted,fresh-bound,17,18.83,0,2026-09-24T16:39:22Z,
L053,10.1016/j.rse.2011.04.022,doi,measure,bad-file,measured,measured,25,96.2,0,2026-09-24T16:39:41Z,"[[""eartharxiv"", ""no-oa-copy""], [""publisher-url"", ""skipped""], [""open_access"", ""bad-file""], [""opencitations"", ""no-oa-copy""], [""crossref-link"", ""no-oa-copy""], [""openalex"", ""no-oa-copy""], [""doaj"", ""unresolved""], [""openaire"", ""no-oa-copy""], [""hal"", ""unresolved""], [""osf"", ""skipped""], [""datacite"", ""skipped""], [""zenodo"", ""skipped""], [""figshare"", ""skipped""], [""ncbi-idconv"", ""no-oa-copy""], [""s2"", ""bad-file"""
L054,10.1016/j.rse.2019.111492,doi,measure,bad-file,measured,measured,25,157.0,0,2026-09-24T16:41:17Z,"[[""eartharxiv"", ""no-oa-copy""], [""publisher-url"", ""skipped""], [""open_access"", ""bad-file""], [""opencitations"", ""no-oa-copy""], [""crossref-link"", ""no-oa-copy""], [""openalex"", ""blocked""], [""doaj"", ""unresolved""], [""openaire"", ""no-oa-copy""], [""hal"", ""unresolved""], [""osf"", ""skipped""], [""datacite"", ""skipped""], [""zenodo"", ""skipped""], [""figshare"", ""skipped""], [""ncbi-idconv"", ""no-oa-copy""], [""s2"", ""no-oa-copy""]"
L055,10.1016/j.rse.2021.112308,doi,measure,bad-file,measured,measured,24,64.77,0,2026-09-24T16:43:54Z,"[[""eartharxiv"", ""no-oa-copy""], [""publisher-url"", ""skipped""], [""open_access"", ""bad-file""], [""opencitations"", ""no-oa-copy""], [""crossref-link"", ""no-oa-copy""], [""openalex"", ""no-oa-copy""], [""doaj"", ""unresolved""], [""openaire"", ""no-oa-copy""], [""hal"", ""unresolved""], [""osf"", ""skipped""], [""datacite"", ""skipped""], [""zenodo"", ""skipped""], [""figshare"", ""skipped""], [""ncbi-idconv"", ""no-oa-copy""], [""s2"", ""no-oa-cop"
L056,10.1016/j.rse.2025.115091,doi,hunt,bad-file;blocked,blocked,403,24,72.58,0,2026-09-24T16:44:59Z,
L057,10.1045/july2014-hickey,doi,hunt,bad-file;bban,api-error,route-raised,25,81.72,0,2026-09-24T16:46:12Z,
L058,10.1093/biomet/41.1-2.100,doi,measure,bad-file,measured,measured,24,119.89,0,2026-09-24T16:47:34Z,"[[""eartharxiv"", ""no-oa-copy""], [""publisher-url"", ""skipped""], [""open_access"", ""no-oa-copy""], [""opencitations"", ""no-oa-copy""], [""crossref-link"", ""blocked""], [""openalex"", ""no-oa-copy""], [""doaj"", ""unresolved""], [""openaire"", ""no-oa-copy""], [""hal"", ""unresolved""], [""osf"", ""skipped""], [""datacite"", ""skipped""], [""zenodo"", ""skipped""], [""figshare"", ""skipped""], [""ncbi-idconv"", ""no-oa-copy""], [""s2"", ""no-oa-copy"
L059,10.1109/34.192465,doi,hunt,bad-file;bban,blocked,403,25,214.12,0,2026-09-24T16:49:34Z,
L060,10.1175/aies-d-22-0055.1,doi,hunt,bad-file;blocked,bound-unextracted,fresh-bound,20,41.97,0,2026-09-24T16:53:08Z,
L061,10.13003/ief7aibi,doi,hunt,bad-file;preprint-archive-miss;crosswalk,blocked,challenge,24,123.86,0,2026-09-24T16:53:50Z,
L062,10.1371/journal.pone.0326562,doi,hunt,bad-file;blocked,bound-unextracted,fresh-bound,10,4.97,0,2026-09-24T16:55:54Z,
L063,10.64000/e6ey2-wce96,doi,hunt,bad-file;bban;preprint-archive-miss;crosswalk,bound-unextracted,fresh-bound,10,4.09,0,2026-09-24T16:55:59Z,
L064,10.64000/vgpgj-j8126,doi,hunt,bad-file;preprint-archive-miss;crosswalk,blocked,challenge,24,74.36,0,2026-09-24T16:56:03Z,
L065,10.1016/j.jag.2022.102909,doi,hunt,blocked,bound-unextracted,already-bound,0,0.14,0,2026-09-24T16:57:18Z,
L066,10.1038/s41467-020-18321-y,doi,measure,blocked,measured,measured,24,39.77,0,2026-09-24T16:57:18Z,"[[""eartharxiv"", ""no-oa-copy""], [""publisher-url"", ""skipped""], [""open_access"", ""blocked""], [""opencitations"", ""no-oa-copy""], [""crossref-link"", ""blocked""], [""openalex"", ""no-oa-copy""], [""doaj"", ""blocked""], [""openaire"", ""measured""], [""hal"", ""bad-file""], [""osf"", ""skipped""], [""datacite"", ""skipped""], [""zenodo"", ""skipped""], [""figshare"", ""skipped""], [""ncbi-idconv"", ""no-oa-copy""], [""s2"", ""no-oa-copy""], [""euro"
L067,10.1080/15481603.2018.1489446,doi,measure,blocked,measured,measured,24,106.48,0,2026-09-24T16:57:58Z,"[[""eartharxiv"", ""no-oa-copy""], [""publisher-url"", ""blocked""], [""open_access"", ""blocked""], [""opencitations"", ""no-oa-copy""], [""crossref-link"", ""no-oa-copy""], [""openalex"", ""blocked""], [""doaj"", ""blocked""], [""openaire"", ""no-oa-copy""], [""hal"", ""unresolved""], [""osf"", ""skipped""], [""datacite"", ""skipped""], [""zenodo"", ""skipped""], [""figshare"", ""skipped""], [""ncbi-idconv"", ""no-oa-copy""], [""s2"", ""no-oa-copy""], ["""
L068,10.1080/17538947.2023.2257636,doi,hunt,blocked,blocked,403,24,37.38,0,2026-09-24T16:59:44Z,
L069,10.1080/22797254.2025.2609404,doi,hunt,blocked,blocked,403,24,37.58,0,2026-09-24T17:00:22Z,
L070,10.2139/ssrn.4979539,doi,hunt,blocked;preprint-archive-miss,blocked,403,24,32.7,0,2026-09-24T17:01:00Z,
L071,10.3390/geomatics4040022,doi,hunt,blocked,blocked,403,24,42.01,0,2026-09-24T17:01:33Z,
L072,10.3390/plants14111677,doi,hunt,blocked,bound-unextracted,fresh-bound,19,25.8,0,2026-09-24T17:02:15Z,
L073,10.3390/rs15030765,doi,hunt,blocked,bound-unextracted,fresh-bound,19,20.05,0,2026-09-24T17:02:41Z,
L074,10.3390/s8042161,doi,measure,blocked,measured,measured,24,94.81,0,2026-09-24T17:03:01Z,"[[""eartharxiv"", ""no-oa-copy""], [""publisher-url"", ""skipped""], [""open_access"", ""blocked""], [""opencitations"", ""no-oa-copy""], [""crossref-link"", ""blocked""], [""openalex"", ""blocked""], [""doaj"", ""unresolved""], [""openaire"", ""measured""], [""hal"", ""unresolved""], [""osf"", ""skipped""], [""datacite"", ""skipped""], [""zenodo"", ""skipped""], [""figshare"", ""skipped""], [""ncbi-idconv"", ""no-oa-copy""], [""s2"", ""no-oa-copy""], [""eu"
L075,10.48550/arxiv.2104.08663,doi,hunt,blocked;bban;preprint-archive-miss,held,not-acquired,24,69.84,0,2026-09-24T17:04:36Z,
L076,10.1007/978-1-4757-3803-2_12,doi,hunt,bban;crosswalk,blocked,challenge,25,108.48,0,2026-09-24T17:05:46Z,
L077,10.1007/978-3-030-01252-6_6,doi,hunt,bban;crosswalk,bound-unextracted,fresh-bound,17,9.95,0,2026-09-24T17:07:35Z,
L078,10.1007/s00180-012-0311-7,doi,hunt,bban,bound-unextracted,already-bound,0,0.22,0,2026-09-24T17:07:45Z,
L079,10.1007/s00267-017-0934-0,doi,hunt,bban,api-error,route-raised,24,28.59,0,2026-09-24T17:07:45Z,
L080,10.1007/s10661-021-08898-2,doi,hunt,bban,blocked,403,25,47.2,0,2026-09-24T17:08:14Z,
L081,10.1007/s10994-013-5355-6,doi,hunt,bban;crosswalk,bound-unextracted,fresh-bound,17,6.48,0,2026-09-24T17:09:01Z,
L082,10.1007/s11009-011-9256-5,doi,hunt,bban;crosswalk,bound-unextracted,fresh-bound,10,4.12,0,2026-09-24T17:09:08Z,
L083,10.1016/j.agrformet.2011.09.009,doi,hunt,bban,blocked,403,25,43.67,0,2026-09-24T17:09:12Z,
L084,10.1016/j.cities.2014.06.012,doi,hunt,bban,blocked,403,25,42.8,0,2026-09-24T17:09:56Z,
L085,10.1016/j.compag.2008.03.009,doi,hunt,bban,blocked,403,25,41.23,0,2026-09-24T17:10:39Z,
L086,10.1016/j.ecoinf.2020.101061,doi,hunt,bban,blocked,403,25,38.83,0,2026-09-24T17:11:20Z,
L087,10.1016/j.isprsjprs.2017.06.013,doi,hunt,bban,blocked,403,25,82.95,0,2026-09-24T17:11:59Z,
L088,10.1016/j.isprsjprs.2018.11.022,doi,hunt,bban,blocked,403,25,70.53,0,2026-09-24T17:13:22Z,
L089,10.1016/j.isprsjprs.2020.07.005,doi,hunt,bban,bound-unextracted,fresh-bound,10,5.88,0,2026-09-24T17:14:33Z,
L090,10.1016/j.isprsjprs.2021.10.008,doi,hunt,bban;crosswalk,bound-unextracted,fresh-bound,10,46.2,0,2026-09-24T17:14:39Z,
L091,10.1016/j.patcog.2018.03.005,doi,hunt,bban,blocked,403,25,42.42,0,2026-09-24T17:15:25Z,
L092,10.1016/j.rse.2007.07.013,doi,hunt,bban,bound-unextracted,fresh-bound,10,9.05,0,2026-09-24T17:16:08Z,
L093,10.1016/j.rse.2009.08.014,doi,hunt,bban,blocked,403,25,42.64,0,2026-09-24T17:16:17Z,
L094,10.1016/j.rse.2014.01.011,doi,hunt,bban,blocked,403,25,43.84,0,2026-09-24T17:17:00Z,
L095,10.1016/j.rse.2014.02.015,doi,hunt,bban,blocked,403,25,45.55,0,2026-09-24T17:17:44Z,
L096,10.1016/j.rse.2015.06.027,doi,hunt,bban,blocked,403,25,43.97,0,2026-09-24T17:18:29Z,
L097,10.1016/j.rse.2016.05.028,doi,hunt,bban,blocked,403,25,96.97,0,2026-09-24T17:19:13Z,
L098,10.1016/j.rse.2017.11.015,doi,hunt,bban,blocked,403,25,41.38,0,2026-09-24T17:20:50Z,
L099,10.1016/j.rse.2017.11.024,doi,hunt,bban,blocked,403,25,45.12,0,2026-09-24T17:21:32Z,
