date,target_window,known_flight_day,frames_over_city,n_obs,max_sun_elev_deg,R1_primary_run_h,R1_primary_start,R1_primary_end,R1_primary_pass,R2_maxelim_run_h,R2_maxelim_start,R2_maxelim_end,R2_maxelim_pass,R3_lowcloud_run_h,R3_lowcloud_start,R3_lowcloud_end,R3_lowcloud_pass,SPEC_asasked_run_h,SPEC_asasked_start,SPEC_asasked_end,SPEC_asasked_pass,n_rules_passed_of_3,blk_lowcloud_hrs,blk_precip_hrs,blk_vis_hrs,worst_sky_sunhrs,R1_KPAE_run_h,R1_KPAE_pass,R1_KPAE_start,R1_KPAE_end,R1_KSEA_run_h,R1_KSEA_pass,R1_KSEA_start,R1_KSEA_end,R1_KBFI_run_h,R1_KBFI_pass,R1_KBFI_start,R1_KBFI_end,n_stations,n_stations_pass,R1_3station_verdict,R1_unanimous_flyable
2007-07-08,,2007K,15,24,64.28,11,13:53,23:53,1,11,13:53,23:53,1,13,11:53,23:53,1,4,13:53,16:53,1,3,6,0,0,BKN4600/OVC7000;BKN8000;CLR,11,1,13:53,23:53,,,,,,,,,1,1,FLYABLE,1
2007-07-09,,,,24,64.16,14,10:53,23:53,1,14,10:53,23:53,1,14,10:53,23:53,1,7,10:53,16:53,1,3,1,0,0,CLR;FEW1400;OVC1400,14,1,10:53,23:53,,,,,,,,,1,1,FLYABLE,1
2007-07-10,,2007K,36,24,64.03,24,00:53,23:53,1,24,00:53,23:53,1,24,00:53,23:53,1,9,08:53,16:53,1,3,0,0,0,CLR,24,1,00:53,23:53,,,,,,,,,1,1,FLYABLE,1
2007-07-11,,2007K,173,24,63.89,24,00:53,23:53,1,24,00:53,23:53,1,24,00:53,23:53,1,9,08:53,16:53,1,3,0,0,0,CLR,24,1,00:53,23:53,,,,,,,,,1,1,FLYABLE,1
2007-07-12,,,,24,63.75,24,00:53,23:53,1,24,00:53,23:53,1,24,00:53,23:53,1,9,08:53,16:53,1,3,0,0,0,CLR,24,1,00:53,23:53,,,,,,,,,1,1,FLYABLE,1
2007-07-13,,,,24,63.61,9,15:53,23:53,1,9,15:53,23:53,1,9,15:53,23:53,1,2,15:53,16:53,0,3,8,1,0,BKN1100/OVC1400;BKN2300;CLR,9,1,15:53,23:53,,,,,,,,,1,1,FLYABLE,1
2007-07-14,,,,24,63.46,24,00:53,23:53,1,24,00:53,23:53,1,24,00:53,23:53,1,9,08:53,16:53,1,3,0,0,0,CLR,24,1,00:53,23:53,,,,,,,,,1,1,FLYABLE,1
2007-07-15,,,,24,63.3,1,16:53,16:53,0,5,18:53,22:53,1,10,14:53,23:53,1,1,16:53,16:53,0,2,10,0,0,BKN3600/BKN7000;BKN3700/BKN4600/OVC6000;BKN6500,1,0,16:53,16:53,,,,,,,,,1,0,ELIMINATED,0
2007-07-16,,,,24,63.13,9,09:53,17:53,1,9,09:53,17:53,1,15,09:53,23:53,1,8,09:53,16:53,1,3,1,0,0,BKN3800/OVC4600;CLR;SCT4700,9,1,09:53,17:53,,,,,,,,,1,1,FLYABLE,1
2007-07-17,,,,24,62.97,10,05:53,14:53,1,2,11:53,12:53,0,10,05:53,14:53,1,7,08:53,14:53,1,2,1,0,0,BKN11000;BKN12000;BKN2200/BKN2600/OVC10000,10,1,05:53,14:53,,,,,,,,,1,1,FLYABLE,1
2007-07-18,,,,24,62.79,0,,,0,0,,,0,0,,,0,0,,,0,0,11,8,8,BKN300/OVC2700;BKN300/OVC800;BKN300/OVC8000,0,0,,,,,,,,,,,1,0,ELIMINATED,0
2007-07-19,,,,24,62.61,10,14:53,23:53,1,5,16:53,20:53,1,10,14:53,23:53,1,3,14:53,16:53,1,3,6,0,0,BKN3500/BKN4400;BKN3900/BKN4800/BKN9000;BKN9000,10,1,14:53,23:53,,,,,,,,,1,1,FLYABLE,1
2007-07-20,,,,24,62.42,8,00:53,07:53,1,3,05:53,07:53,1,8,00:53,07:53,1,1,15:53,15:53,0,3,9,7,3,BKN3200/OVC4400;BKN900/BKN3100/OVC6000;CLR,8,1,00:53,07:53,,,,,,,,,1,1,FLYABLE,1
2007-07-21,,,,24,62.23,0,,,0,0,,,0,1,15:53,15:53,0,0,,,0,0,9,2,0,BKN2700/BKN3700/OVC5500;BKN3000;BKN3000/OVC3800,0,0,,,,,,,,,,,1,0,ELIMINATED,0
2007-07-22,,,,24,62.04,4,14:53,17:53,1,0,,,0,6,14:53,19:53,1,3,14:53,16:53,1,2,6,2,2,BKN1400/OVC6000;BKN1800/BKN2300/OVC9000;BKN400/BKN1700/OVC3800,4,1,14:53,17:53,,,,,,,,,1,1,FLYABLE,1
2007-07-23,,,,24,61.83,0,,,0,0,,,0,0,,,0,0,,,0,0,11,1,8,BKN100/BKN900/OVC1200;BKN100/OVC900;BKN200/OVC500,0,0,,,,,,,,,,,1,0,ELIMINATED,0
2007-07-24,,,,24,61.63,13,11:53,23:53,1,13,11:53,23:53,1,13,11:53,23:53,1,6,11:53,16:53,1,3,1,0,0,BKN2800;CLR;FEW2600,13,1,11:53,23:53,,,,,,,,,1,1,FLYABLE,1
2007-07-25,,,,16,61.41,9,07:53,15:53,1,9,07:53,15:53,1,9,07:53,15:53,1,8,08:53,15:53,1,3,0,0,0,CLR;SCT600,9,1,07:53,15:53,,,,,,,,,1,1,FLYABLE,1
2007-07-29,,,,11,59.92,0,,,0,0,,,0,0,,,0,0,,,0,0,5,0,0,BKN3800/OVC4500;OVC3000;OVC3600,0,0,,,,,,,,,,,1,0,ELIMINATED,0
2007-07-30,,,,24,60.28,19,05:53,23:53,1,19,05:53,23:53,1,24,00:53,23:53,1,8,09:53,16:53,1,3,0,0,0,CLR,19,1,05:53,23:53,,,,,,,,,1,1,FLYABLE,1
2007-07-31,,,,24,60.04,22,00:53,21:53,1,22,00:53,21:53,1,24,00:53,23:53,1,8,09:53,16:53,1,3,0,0,0,CLR,22,1,00:53,21:53,,,,,,,,,1,1,FLYABLE,1
2007-08-01,,,,24,59.79,24,00:53,23:53,1,24,00:53,23:53,1,24,00:53,23:53,1,8,09:53,16:53,1,3,0,0,0,CLR,24,1,00:53,23:53,,,,,,,,,1,1,FLYABLE,1
2007-08-02,,,,24,59.54,21,00:53,20:53,1,21,00:53,20:53,1,22,00:53,21:53,1,8,09:53,16:53,1,3,0,0,0,CLR,21,1,00:53,20:53,,,,,,,,,1,1,FLYABLE,1
2007-08-03,,,,24,59.29,11,13:53,23:53,1,11,13:53,23:53,1,11,13:53,23:53,1,4,13:53,16:53,1,3,5,0,1,BKN400/OVC1500;BKN700/BKN1100/OVC1800;BKN700/BKN1200/OVC1800,11,1,13:53,23:53,,,,,,,,,1,1,FLYABLE,1
2007-08-04,,,,23,59.03,9,15:53,23:53,1,9,15:53,23:53,1,9,15:53,23:53,1,2,15:53,16:53,0,3,5,0,0,BKN1500;BKN1900;CLR,9,1,15:53,23:53,,,,,,,,,1,1,FLYABLE,1
2007-08-05,,,,24,58.76,12,12:53,23:53,1,12,12:53,23:53,1,12,12:53,23:53,1,5,12:53,16:53,1,3,4,0,0,CLR;FEW100/BKN500;OVC500,12,1,12:53,23:53,,,,,,,,,1,1,FLYABLE,1
2007-08-06,,,,24,58.49,4,15:53,18:53,1,4,15:53,18:53,1,4,15:53,18:53,1,2,15:53,16:53,0,3,7,0,0,BKN1700;BKN1900;CLR,4,1,15:53,18:53,,,,,,,,,1,1,FLYABLE,1
2007-08-07,,,,24,58.22,0,,,0,0,,,0,0,,,0,0,,,0,0,10,1,2,BKN1200/OVC1900;BKN1400/BKN2100/OVC2700;BKN1500/OVC2300,0,0,,,,,,,,,,,1,0,ELIMINATED,0
2007-08-08,,,,24,57.95,0,,,0,0,,,0,8,15:53,22:53,1,0,,,0,1,10,1,2,BKN1600/BKN2400/OVC3100;BKN1600/OVC2300;BKN200/BKN700/OVC1500,0,0,,,,,,,,,,,1,0,ELIMINATED,0
2007-08-09,,,,24,57.66,1,15:53,15:53,0,1,15:53,15:53,0,8,13:53,20:53,1,1,15:53,15:53,0,1,9,0,0,FEW1500/OVC5500;FEW6000;OVC5500,1,0,15:53,15:53,,,,,,,,,1,0,ELIMINATED,0
2007-08-10,,,,24,57.38,11,13:53,23:53,1,11,13:53,23:53,1,11,13:53,23:53,1,4,13:53,16:53,1,3,5,0,0,BKN1700;BKN2400/OVC3100;CLR,11,1,13:53,23:53,,,,,,,,,1,1,FLYABLE,1
2007-08-11,,,,24,57.09,15,08:53,22:53,1,15,08:53,22:53,1,15,08:53,22:53,1,8,09:53,16:53,1,3,0,0,0,CLR;SCT300,15,1,08:53,22:53,,,,,,,,,1,1,FLYABLE,1
2007-08-12,,,,24,56.8,3,14:53,16:53,1,3,14:53,16:53,1,3,14:53,16:53,1,3,14:53,16:53,1,3,6,0,0,BKN2200/OVC3200;BKN2300/OVC3000;BKN3000,3,1,14:53,16:53,,,,,,,,,1,1,FLYABLE,1
2007-08-13,,2007K,121,24,56.5,24,00:53,23:53,1,24,00:53,23:53,1,24,00:53,23:53,1,8,09:53,16:53,1,3,0,0,0,CLR,24,1,00:53,23:53,,,,,,,,,1,1,FLYABLE,1
2007-08-14,,,,24,56.2,24,00:53,23:53,1,24,00:53,23:53,1,24,00:53,23:53,1,8,09:53,16:53,1,3,0,0,0,CLR,24,1,00:53,23:53,,,,,,,,,1,1,FLYABLE,1
2007-08-15,,,,24,55.9,24,00:53,23:53,1,24,00:53,23:53,1,24,00:53,23:53,1,8,09:53,16:53,1,3,0,0,0,CLR,24,1,00:53,23:53,,,,,,,,,1,1,FLYABLE,1
2009-04-28,,,,24,56.46,8,10:53,17:53,1,6,12:53,17:53,1,10,08:53,17:53,1,7,10:53,16:53,1,3,2,0,0,BKN9000;CLR;FEW10000,8,1,10:53,17:53,,,,,,,,,1,1,FLYABLE,1
2009-04-29,,,,24,56.77,8,04:53,11:53,1,4,04:53,07:53,1,23,01:53,23:53,1,4,13:53,16:53,1,3,1,0,0,BKN5500/OVC7500;BKN8500;CLR,8,1,04:53,11:53,,,,,,,,,1,1,FLYABLE,1
2009-04-30,,,,22,57.08,13,00:53,12:53,1,9,15:53,23:53,1,13,00:53,12:53,1,4,09:53,12:53,1,3,0,0,0,CLR,13,1,00:53,12:53,,,,,,,,,1,1,FLYABLE,1
2009-05-01,,2009K,179,24,57.38,24,00:53,23:53,1,24,00:53,23:53,1,24,00:53,23:53,1,8,09:53,16:53,1,3,0,0,0,CLR,24,1,00:53,23:53,,,,,,,,,1,1,FLYABLE,1
2009-05-02,,,,24,57.68,10,00:53,09:53,1,2,08:53,09:53,0,11,00:53,10:53,1,3,14:53,16:53,1,2,5,3,0,BKN10000;BKN3900/OVC6000;BKN6000/BKN7500,10,1,00:53,09:53,,,,,,,,,1,1,FLYABLE,1
2009-05-03,,,,24,57.97,7,10:53,16:53,1,7,10:53,16:53,1,17,00:53,16:53,1,7,10:53,16:53,1,3,3,1,0,BKN4600/OVC6000;BKN5500;CLR,7,1,10:53,16:53,,,,,,,,,1,1,FLYABLE,1
2009-05-04,,,,24,58.26,15,00:53,14:53,1,13,00:53,12:53,1,15,00:53,14:53,1,6,09:53,14:53,1,3,3,3,0,CLR;FEW10000;FEW11000,15,1,00:53,14:53,,,,,,,,,1,1,FLYABLE,1
2009-05-05,,,,24,58.55,3,13:53,15:53,1,1,13:53,13:53,0,3,13:53,15:53,1,3,13:53,15:53,1,2,5,2,0,BKN2100/BKN2700/OVC8500;CLR;FEW1200/BKN1600/BKN2700,3,1,13:53,15:53,,,,,,,,,1,1,FLYABLE,1
2009-05-06,,,,24,58.83,0,,,0,0,,,0,0,,,0,0,,,0,0,11,7,0,BKN4200/OVC5000;BKN900/BKN1600/OVC6000;FEW2700/BKN3400/OVC4500,0,0,,,,,,,,,,,1,0,ELIMINATED,0
2009-05-07,,,,24,59.1,1,14:53,14:53,0,0,,,0,4,12:53,15:53,1,1,14:53,14:53,0,1,10,0,0,BKN1400/BKN1900;BKN1800;BKN2000/OVC2500,1,0,14:53,14:53,,,,,,,,,1,0,ELIMINATED,0
2009-05-08,,,,24,59.37,3,10:53,12:53,1,3,10:53,12:53,1,3,10:53,12:53,1,3,10:53,12:53,1,3,6,0,0,BKN4800;BKN5000;CLR,3,1,10:53,12:53,,,,,,,,,1,1,FLYABLE,1
2009-05-09,,2009K,121,24,59.64,16,08:53,23:53,1,16,08:53,23:53,1,16,08:53,23:53,1,9,08:53,16:53,1,3,1,0,0,CLR;OVC400;SCT400,16,1,08:53,23:53,,,,,,,,,1,1,FLYABLE,1
2009-05-10,,,,24,59.9,18,00:53,17:53,1,17,00:53,16:53,1,19,00:53,18:53,1,9,08:53,16:53,1,3,0,0,0,BKN8500;CLR;FEW6500,18,1,00:53,17:53,,,,,,,,,1,1,FLYABLE,1
2009-05-11,,,,24,60.15,2,15:53,16:53,0,2,15:53,16:53,0,2,15:53,16:53,0,2,15:53,16:53,0,0,8,0,0,BKN1000/OVC1400;BKN1000/OVC1500;BKN1900,2,0,15:53,16:53,,,,,,,,,1,0,ELIMINATED,0
2009-05-12,,,,24,60.4,1,12:53,12:53,0,1,12:53,12:53,0,6,15:53,20:53,1,1,12:53,12:53,0,1,9,2,0,BKN1200/BKN2400/OVC7500;BKN1200/OVC1900;BKN1200/OVC2200,1,0,12:53,12:53,,,,,,,,,1,0,ELIMINATED,0
2009-05-13,,,,24,60.65,9,04:53,12:53,1,4,04:53,07:53,1,9,04:53,12:53,1,5,08:53,12:53,1,3,5,4,1,BKN10000;BKN4800;BKN900/BKN1400/OVC2400,9,1,04:53,12:53,,,,,,,,,1,1,FLYABLE,1
2009-05-14,,,,24,60.89,9,14:53,22:53,1,9,14:53,22:53,1,11,12:53,22:53,1,3,14:53,16:53,1,3,7,2,2,BKN300/OVC700;BKN300/OVC800;BKN500/BKN1000/OVC1800,9,1,14:53,22:53,,,,,,,,,1,1,FLYABLE,1
2009-05-15,,,,24,61.12,14,10:53,23:53,1,14,10:53,23:53,1,14,10:53,23:53,1,7,10:53,16:53,1,3,3,0,0,CLR;OVC1100;OVC700,14,1,10:53,23:53,,,,,,,,,1,1,FLYABLE,1
2009-05-16,,2009K,172,24,61.35,24,00:53,23:53,1,24,00:53,23:53,1,24,00:53,23:53,1,9,08:53,16:53,1,3,0,0,0,CLR,24,1,00:53,23:53,,,,,,,,,1,1,FLYABLE,1
2009-05-17,,,,24,61.57,16,08:53,23:53,1,16,08:53,23:53,1,16,08:53,23:53,1,9,08:53,16:53,1,3,1,0,0,BKN5000;CLR;SCT5000,16,1,08:53,23:53,,,,,,,,,1,1,FLYABLE,1
2009-05-18,,,,24,61.79,3,11:53,13:53,1,1,11:53,11:53,0,8,11:53,18:53,1,3,11:53,13:53,1,2,8,0,0,BKN9000;FEW1000;OVC100,3,1,11:53,13:53,,,,,,,,,1,1,FLYABLE,1
2012-03-20,,,,24,42.17,7,12:53,18:53,1,4,12:53,15:53,1,8,12:53,19:53,1,4,12:53,15:53,1,3,3,0,0,BKN2100/OVC2700;BKN2200/OVC2800;CLR,7,1,12:53,18:53,,,,,,,,,1,1,FLYABLE,1
2012-03-21,,,,24,42.57,11,12:53,22:53,1,9,12:53,20:53,1,12,12:53,23:53,1,4,12:53,15:53,1,3,2,0,0,BKN1800/OVC2500;CLR;FEW4600,11,1,12:53,22:53,,,,,,,,,1,1,FLYABLE,1
2012-03-22,,,,24,42.97,2,11:53,12:53,0,2,11:53,12:53,0,2,11:53,12:53,0,2,11:53,12:53,0,0,6,0,0,BKN3900/BKN5000;BKN4500;BKN4700,2,0,11:53,12:53,,,,,,,,,1,0,ELIMINATED,0
2012-03-23,,2012K,30,24,43.37,21,03:53,23:53,1,18,06:53,23:53,1,24,00:53,23:53,1,6,10:53,15:53,1,3,0,0,0,CLR,21,1,03:53,23:53,,,,,,,,,1,1,FLYABLE,1
2012-03-24,,,,24,43.77,24,00:53,23:53,1,12,00:53,11:53,1,24,00:53,23:53,1,6,10:53,15:53,1,3,0,0,0,CLR;FEW8000/BKN9000;SCT12000,24,1,00:53,23:53,,,,,,,,,1,1,FLYABLE,1
2012-03-25,,,,24,44.16,20,00:53,19:53,1,18,00:53,17:53,1,20,00:53,19:53,1,6,10:53,15:53,1,3,0,0,0,CLR,20,1,00:53,19:53,,,,,,,,,1,1,FLYABLE,1
2012-03-26,,,,24,44.56,8,16:53,23:53,1,8,16:53,23:53,1,9,15:53,23:53,1,1,13:53,13:53,0,3,6,0,0,BKN1600/OVC7000;BKN1800/BKN2400/OVC9000;BKN2400/OVC9000,8,1,16:53,23:53,,,,,,,,,1,1,FLYABLE,1
2012-03-27,,,,24,44.96,1,15:53,15:53,0,0,,,0,3,14:53,16:53,1,1,15:53,15:53,0,1,7,1,0,BKN5000/OVC7000;BKN5500/OVC7000;BKN6000/OVC7500,1,0,15:53,15:53,,,,,,,,,1,0,ELIMINATED,0
2012-03-28,,,,24,45.35,1,10:53,10:53,0,4,05:53,08:53,1,1,10:53,10:53,0,1,10:53,10:53,0,1,7,2,0,BKN3000/BKN3500;BKN3400;BKN3800/BKN4400/BKN6000,1,0,10:53,10:53,,,,,,,,,1,0,ELIMINATED,0
2012-03-29,,,,24,45.75,0,,,0,0,,,0,0,,,0,0,,,0,0,8,8,2,BKN600/OVC1200;BKN800/BKN1400/OVC2100;BKN800/BKN1500/OVC3500,0,0,,,,,,,,,,,1,0,ELIMINATED,0
2012-03-30,,,,24,46.14,1,14:53,14:53,0,1,14:53,14:53,0,1,14:53,14:53,0,1,14:53,14:53,0,0,7,2,4,BKN2800/OVC3300;BKN400/BKN1100/OVC1700;BKN400/OVC1700,1,0,14:53,14:53,,,,,,,,,1,0,ELIMINATED,0
2012-03-31,,,,24,46.53,0,,,0,0,,,0,0,,,0,0,,,0,0,8,6,0,BKN600/OVC3600;BKN700/BKN1200/OVC2700;BKN700/OVC1100,0,0,,,,,,,,,,,1,0,ELIMINATED,0
2012-04-01,,,,24,46.92,1,08:53,08:53,0,1,08:53,08:53,0,1,08:53,08:53,0,0,,,0,0,8,0,0,BKN1600;BKN2700/BKN3200/OVC6000;BKN2700/BKN3400,1,0,08:53,08:53,,,,,,,,,1,0,ELIMINATED,0
2012-04-02,,,,24,47.31,13,11:53,23:53,1,13,11:53,23:53,1,13,11:53,23:53,1,5,11:53,15:53,1,3,2,0,0,BKN4200;BKN4800;CLR,13,1,11:53,23:53,,,,,,,,,1,1,FLYABLE,1
2012-04-03,,,,24,47.69,0,,,0,0,,,0,9,00:53,08:53,1,0,,,0,1,9,5,3,BKN1200/BKN3500;BKN300/OVC900;OVC1300,0,0,,,,,,,,,,,1,0,ELIMINATED,0
2012-04-04,,,,24,48.08,7,13:53,19:53,1,7,13:53,19:53,1,9,13:53,21:53,1,3,13:53,15:53,1,3,4,1,0,CLR;FEW1200/OVC3100;FEW4500,7,1,13:53,19:53,,,,,,,,,1,1,FLYABLE,1
2012-04-05,,,,24,48.46,8,14:53,21:53,1,8,14:53,21:53,1,9,13:53,21:53,1,2,14:53,15:53,0,3,6,1,1,BKN1800/OVC2200;SCT1200/BKN1800/BKN7000;SCT1500/BKN1800/BKN7000,8,1,14:53,21:53,,,,,,,,,1,1,FLYABLE,1
2012-04-06,,,,24,48.84,1,15:53,15:53,0,1,15:53,15:53,0,1,15:53,15:53,0,1,15:53,15:53,0,0,8,0,0,BKN1900/OVC2200;BKN2400/BKN6000;BKN2500/BKN6000,1,0,15:53,15:53,,,,,,,,,1,0,ELIMINATED,0
2012-04-07,,2012K,45,24,49.22,22,02:53,23:53,1,22,02:53,23:53,1,22,02:53,23:53,1,7,09:53,15:53,1,3,0,0,0,CLR,22,1,02:53,23:53,,,,,,,,,1,1,FLYABLE,1
2012-04-08,,,,24,49.6,24,00:53,23:53,1,7,14:53,20:53,1,24,00:53,23:53,1,7,09:53,15:53,1,3,0,0,0,BKN11000;BKN12000;CLR,24,1,00:53,23:53,,,,,,,,,1,1,FLYABLE,1
2012-04-09,,,,24,49.97,24,00:53,23:53,1,16,00:53,15:53,1,24,00:53,23:53,1,7,09:53,15:53,1,3,0,0,0,CLR;FEW12000;OVC11000,24,1,00:53,23:53,,,,,,,,,1,1,FLYABLE,1
2012-04-10,,,,24,50.35,22,00:53,21:53,1,6,12:53,17:53,1,23,00:53,22:53,1,7,09:53,15:53,1,3,0,0,0,CLR;OVC12000,22,1,00:53,21:53,,,,,,,,,1,1,FLYABLE,1
2013-05-30,,,,24,63.92,2,16:53,17:53,0,0,,,0,4,14:53,17:53,1,1,16:53,16:53,0,1,9,0,3,BKN1200/BKN1700/OVC2400;BKN2200/OVC2600;BKN3000/BKN10000,2,0,16:53,17:53,,,,,,,,,1,0,ELIMINATED,0
2013-05-31,,,,24,64.06,9,15:53,23:53,1,9,15:53,23:53,1,9,15:53,23:53,1,2,15:53,16:53,0,3,8,0,0,CLR;FEW1700/BKN2300;FEW200/BKN700/OVC1400,9,1,15:53,23:53,,,,,,,,,1,1,FLYABLE,1
2013-06-01,,,,24,64.19,4,08:53,11:53,1,4,14:53,17:53,1,24,00:53,23:53,1,4,08:53,11:53,1,3,3,0,0,BKN10000;BKN7000/BKN8500;CLR,4,1,08:53,11:53,,,,,,,,,1,1,FLYABLE,1
2013-06-02,,2013K,111,24,64.31,13,10:53,22:53,1,13,10:53,22:53,1,13,10:53,22:53,1,7,10:53,16:53,1,3,2,0,0,BKN1900;BKN700;CLR,13,1,10:53,22:53,,,,,,,,,1,1,FLYABLE,1
2013-06-03,,,,23,64.43,9,15:53,23:53,1,9,15:53,23:53,1,9,15:53,23:53,1,2,12:53,13:53,0,3,3,0,1,CLR;FEW200;OVC600,9,1,15:53,23:53,,,,,,,,,1,1,FLYABLE,1
2013-06-04,,2013K,137,24,64.54,24,00:53,23:53,1,24,00:53,23:53,1,24,00:53,23:53,1,9,08:53,16:53,1,3,0,0,0,CLR,24,1,00:53,23:53,,,,,,,,,1,1,FLYABLE,1
2013-06-05,,2013K,218,24,64.64,24,00:53,23:53,1,14,10:53,23:53,1,24,00:53,23:53,1,9,08:53,16:53,1,3,0,0,0,BKN12000;CLR;FEW11000,24,1,00:53,23:53,,,,,,,,,1,1,FLYABLE,1
2013-06-06,,2013K,222,24,64.74,13,00:53,12:53,1,13,00:53,12:53,1,13,00:53,12:53,1,5,08:53,12:53,1,3,0,0,1,CLR,13,1,00:53,12:53,,,,,,,,,1,1,FLYABLE,1
2013-06-07,,,,24,64.83,0,,,0,0,,,0,9,03:53,11:53,1,0,,,0,1,11,0,0,BKN3600/OVC4500;BKN7000;FEW4200/OVC6500,0,0,,,,,,,,,,,1,0,ELIMINATED,0
2013-06-08,,,,24,64.91,3,16:53,18:53,1,2,17:53,18:53,0,10,13:53,22:53,1,1,16:53,16:53,0,2,9,0,0,BKN3100;BKN7500;BKN8000,3,1,16:53,18:53,,,,,,,,,1,1,FLYABLE,1
2015-02-12,,,,24,28.29,1,12:53,12:53,0,0,,,0,10,01:53,10:53,1,0,,,0,1,5,1,0,BKN3300/OVC8500;BKN7500/OVC9000;FEW3800/BKN9000,1,0,12:53,12:53,,,,,,,,,1,0,ELIMINATED,0
2015-02-13,,,,24,28.62,19,01:53,19:53,1,19,01:53,19:53,1,19,01:53,19:53,1,0,,,0,3,0,0,0,CLR;SCT11000,19,1,01:53,19:53,,,,,,,,,1,1,FLYABLE,1
2015-02-14,,,,24,28.96,2,13:53,14:53,0,2,13:53,14:53,0,3,12:53,14:53,1,0,,,0,1,4,0,0,BKN500/OVC2200;BKN700/OVC2300;BKN900/OVC2300,2,0,13:53,14:53,0.0,0,,,0.0,0,,,3,0,ELIMINATED,0
2015-02-15,,2015K,5,24,29.3,18,05:53,22:53,1,18,05:53,22:53,1,18,05:53,22:53,1,0,,,0,3,0,0,0,CLR,18,1,05:53,22:53,19.0,1,05:53,23:53,24.0,1,00:53,23:53,3,3,FLYABLE,1
2015-02-16,,,,24,29.64,20,04:53,23:53,1,20,04:53,23:53,1,20,04:53,23:53,1,0,,,0,3,0,0,0,CLR,20,1,04:53,23:53,19.0,1,05:53,23:53,19.0,1,05:53,23:53,3,3,FLYABLE,1
2015-02-17,,,,24,29.99,24,00:53,23:53,1,24,00:53,23:53,1,24,00:53,23:53,1,0,,,0,3,0,0,0,CLR,24,1,00:53,23:53,24.0,1,00:53,23:53,24.0,1,00:53,23:53,3,3,FLYABLE,1
2015-02-18,,2015K,5,24,30.34,10,00:53,09:53,1,10,00:53,09:53,1,10,00:53,09:53,1,0,,,0,3,5,0,0,BKN2000/BKN3000/OVC3700;CLR;FEW3000/OVC3600,10,1,00:53,09:53,0.0,0,,,0.0,0,,,3,1,FLYABLE,0
