tracker_id,group,ref,ref_scheme,hunt_state,hunt_reason,work_key,work_id,admission_id,file_bound,attempt_statuses,registry_title,registry_first_author,registry_year,tracker_first_author,tracker_year,seconds,note
48,E24-registry,10.1109/tpami.2024.3498346,doi,blocked,403,Wang_2025_comprehensive-survey-forgetting-deep,01a0c714-db79-7a4f-b67f-78b0c00fe5cc,01a0c714-dbaa-7971-a38f-66ce4d97e088,n,"open_access=no-oa-copy; annas=not-in-archive; scihub=blocked(200,200,403,200); browser=manual-step",A Comprehensive Survey of Forgetting in Deep Learning Beyond Continual Learning,Wang,2025,Yang,2024,51.0,
49,E23-arxiv,2501.15377,arxiv,api-error,registry-transient,,,,n,,,,,Zheng,2025,0.7,"tracker says Zheng; arXiv says Bafghi et al.; 3 attempts; arXiv answered 406 every time (registry-transient), see the report's arXiv section; drop-off NOT linked (no work to link to)"
52,E24-registry,10.34133/2022/9764982,doi,bound-unextracted,fresh-bound,Yin_2022_broadband-green-red-vegetation,01a0c71f-d9b4-719c-9b33-a3740d9b256c,01a0c71f-d9bd-7dd3-8041-fcaf4ade0489,y,"open_access=ok(403,200)",A Broadband Green-Red Vegetation Index for Monitoring Gross Primary Production Phenology,Yin,2022,Nagai,2022,7.77,
55,E24-registry,10.3390/plants14111677,doi,blocked,403,Wang_2025_unmanned-aerial-vehicle-uav,01a0c71f-fc9c-7611-9549-131d1889de48,01a0c71f-fca7-75f0-851b-7d5e206dcf6e,n,"open_access=blocked(403,200,403); annas=not-in-archive; scihub=blocked(200,200,403,200); browser=manual-step",Unmanned Aerial Vehicle (UAV) Imagery for Plant Communities: Optimizing Visible Light Vegetation Index to Extract Multi-Species Coverage,Wang,2025,Li,2025,33.95,
57,E23-doi,10.1016/j.agrformet.2023.109809,doi,blocked,403,Guo_2024_tracking-photosynthetic-phenology-spectral,01a0c723-2fca-7082-aa10-ad10e4488f6b,01a0c723-2fd3-7a0c-b035-d651e0d2316c,n,"open_access=no-oa-copy; annas=not-in-archive; scihub=blocked(200,200,403,200); browser=manual-step",Tracking photosynthetic phenology using spectral indices at the leaf and canopy scales in temperate evergreen and deciduous trees,Guo,2024,Zhang,2023,55.64,tracker says Zhang 2023; registry says Guo et al. 2024
66,E24-registry,10.1007/s00267-023-01934-6,doi,blocked,403,Kropp_2024_historical-changes-tree-impervious,01a0c720-878a-75d7-b346-2766504c81e9,01a0c720-8793-76e3-b47b-1ac1a327ae55,n,"open_access=no-oa-copy; annas=not-in-archive; scihub=blocked(200,200,403,200); browser=manual-step",Historical changes in tree and impervious surface cover following urban renewal in a small postindustrial city,Kropp,2024,Berland,2024,56.97,
67,E24-registry,10.3390/geomatics4040022,doi,blocked,403,Morgan_2024_deep-learning-urban-tree,01a0c716-f0db-78b6-9d71-3c1674d7ba3e,01a0c716-f0e5-71ee-996e-35561be60ace,n,"open_access=blocked(403,403); annas=not-in-archive; scihub=blocked(200,200,403,200); browser=manual-step",Deep Learning for Urban Tree Canopy Coverage Analysis: A Comparison and Case Study,Morgan,2024,Smith,2024,28.72,
117,E23-arxiv,1906.02530,arxiv,api-error,registry-transient,,,,n,,,,,Ovadia,2019,0.66,"3 attempts; arXiv answered 406 every time (registry-transient), see the report's arXiv section; drop-off NOT linked (no work to link to)"
122,E23-arxiv,2505.24038,arxiv,api-error,registry-transient,,,,n,,,,,Andeol,2025,0.77,"3 attempts; arXiv answered 406 every time (registry-transient), see the report's arXiv section; drop-off NOT linked (no work to link to)"
131,E24-registry,10.1109/icip55913.2025.11084679,doi,blocked,403,Sosa_2025_multimae-meets-earth-observation,01a0c718-ebe7-7f13-b982-064433182068,01a0c718-ebf1-7d9d-996b-55e5caad50bc,n,"open_access=no-oa-copy; annas=not-in-archive; scihub=blocked(200,200,403,200); browser=manual-step",Multimae Meets Earth Observation: Pre-Training Multi-Modal Multi-Task Masked Autoencoders for Earth Observation Tasks,Sosa,2025,Sosa,2024,50.39,
132,E23-arxiv,2606.13896,arxiv,api-error,registry-transient,,,,n,,,,,Romero,2026,0.84,"3 attempts; arXiv answered 406 every time (registry-transient), see the report's arXiv section; drop-off NOT linked (no work to link to)"
154,E24-registry,10.1137/1.9781611978032.28,doi,blocked,403,Lu_2024_optimization-model-selection-domain,01a0c717-6674-732a-8066-1424b54bed25,01a0c717-667e-7659-8237-58d29b4b03f8,n,"open_access=no-oa-copy; annas=not-in-archive; scihub=blocked(200,200,403,200); browser=manual-step",Towards Optimization and Model Selection for Domain Generalization: A Mixup-guided Solution,Lu,2024,Wang,2024,22.58,
174,E23-arxiv,2506.03114,arxiv,api-error,registry-transient,,,,n,,,,,Chen,2025,0.7,"3 attempts; arXiv answered 406 every time (registry-transient), see the report's arXiv section; drop-off NOT linked (no work to link to)"
177,E24-swap,10.1016/j.rse.2010.07.008,doi,bound-unextracted,fresh-bound,Kennedy_2010_detecting-trends-forest-disturbance,01a0c721-6c44-76d4-a754-15d818351805,01a0c721-6c4e-74f7-8208-f929baac9021,y,open_access=no-oa-copy; annas=ok,Detecting trends in forest disturbance and recovery using yearly Landsat time series: 1. LandTrendr — Temporal segmentation algorithms,Kennedy,2010,Cohen,2010,34.53,title resolves 1.00 to this DOI; tracker DOI/URL column holds the OTHER LandTrendr DOI (swap)
178,E24-swap,10.1016/j.rse.2010.07.010,doi,bound-unextracted,fresh-bound,Cohen_2010_detecting-trends-forest-disturbance,01a0c721-f994-73bd-bd47-944ed91bd2c3,01a0c721-f99d-7ca5-b79c-63cfc5aba210,y,open_access=no-oa-copy; annas=ok,Detecting trends in forest disturbance and recovery using yearly Landsat time series: 2. TimeSync — Tools for calibration and validation,Cohen,2010,Kennedy,2010,22.69,title resolves 1.00 to this DOI; tracker DOI/URL column holds the OTHER LandTrendr DOI (swap)
186,E24-registry,10.1007/s10980-012-9719-2,doi,bound-unextracted,fresh-bound,Burnicki_2012_impact-error-landscape-pattern,01a0c719-b5c0-7121-80c9-df92d4daf529,01a0c719-b5c9-7e82-8e02-9be79fab56b4,y,open_access=no-oa-copy; annas=ok,Impact of error on landscape pattern analyses performed on land-cover change maps,Burnicki,2012,Burnicki,2012,20.14,
187,E24-datacite,10.5067/doc/ceoswgcv/lpv/lc.001,doi,blocked,403,LPVSubgroup_2025_land-cover-change-accuracy-protocol,01a0c72c-42bd-7c3d-b93e-7c6ace8ff514,01a0c72c-42c7-7d76-a3cd-1840897dcaa4,n,"open_access=no-oa-copy; annas=not-in-archive; scihub=blocked(200,200,403,200); browser=manual-step",Land Cover and Change Map Accuracy Assessment and Area Estimation Good Practices Protocol,"Land Product Validation Subgroup (Working Group on Calibration and Validation [corporate creator, DataCite]",2025,Tyukavina,2025,52.77,"DOI leg. Crossref 404 -> DataCite 200 (verified_by datacite), so the registry ladder does reach it. FIRST attempt CRASHED: state crashed / reason admit:CheckViolation, 'new row for relation ""works"" violates check constraint ""works_key_check""' - the DataCite creator is corporate ('Land Product Validation Subgroup (Working Group on Calibration and Validation') so the derived key has no [A-Za-z]+ surname segment. Re-run with an explicit --key admitted it. Defect for Kam: a corporate-creator registry record crashes key derivation; litkb hunt has no fallback."
187,E24-datacite,https://lpvs.gsfc.nasa.gov/PDF/CEOS_WGCV_LPV_Land_Cover_protocol_Nov2025_V1.1.pdf,url,refused,admission-refused,,,01a0c72d-f064-731a-8494-cf4060bef12d,n,"url fetch=200 (7,623,037 bytes, sha256 94d8fbed9c8e38d7509b0df438e0c79f9a5c0d6df5433267255dabb4dee3888f, filed _litkb_staging/filed/Tyukavina_2025_land-cover-change-map.pdf); admission=duplicate-review; follow-up acquire --from-file=duplicate-held",,,,Tyukavina,2025,20.53,"URL leg, run because the DOI leg acquired no file. PDF URL found on lpvs.gsfc.nasa.gov/documents.html, which cites 'Tyukavina et al., 2025' with this DOI - so the tracker's author claim matches the PUBLISHER page while DataCite records a corporate creator. Admission refused outcome=duplicate-review: check 2 recognised the document as the work already admitted by DOI (correct). The follow-up `acquire --key LPVSubgroup_2025_... --from-file <filed pdf>` returned outcome=duplicate-held, route browser - the known self-dedupe hazard for a *.pdf under the literature root (the base brief says pass a .download path; the .download had already been moved to filed/). NEEDS KAM/S4: the 7.6 MB PDF is on disk, unbound."
193,E23-arxiv,2601.02126,arxiv,api-error,registry-transient,,,,n,,,,,Bou,2026,0.92,"3 attempts; arXiv answered 406 every time (registry-transient), see the report's arXiv section; drop-off NOT linked (no work to link to)"
239,E24-registry,10.1109/tgrs.2023.3297077,doi,bound-unextracted,fresh-bound,Capliez_2023_multisensor-temporal-unsupervised-domain,01a0c71a-09d5-7d8c-9068-920686efbc78,01a0c71a-09e3-7b0c-9227-d1e26cceb4dc,y,"open_access=ok(404,200,200)",Multisensor Temporal Unsupervised Domain Adaptation for Land Cover Mapping With Spatial Pseudo-Labeling and Adversarial Learning,Capliez,2023,Capliez,2023,20.06,
242,E23-arxiv,2602.06503,arxiv,api-error,registry-transient,,,,n,,,,,Lai,2026,0.7,"3 attempts; arXiv answered 406 every time (registry-transient), see the report's arXiv section; drop-off NOT linked (no work to link to)"
274,E24-registry,10.1016/j.jag.2022.102909,doi,blocked,403,Li_2022_identification-undocumented-buildings-cadastral,01a0c71a-5e16-7b79-90b7-aa3eb519bbb1,01a0c71a-5e20-7f21-ac15-23354bc901e8,n,"open_access=blocked(403,403,200); annas=not-in-archive; scihub=blocked(200,200,403,200); browser=manual-step","Identification of undocumented buildings in cadastral data using remote sensing: Construction period, morphology, and landscape",Li,2022,Li,2022,61.2,
293,E24-registry,10.1175/aies-d-22-0055.1,doi,blocked,403,Appel_2024_efficient-data-driven-gap,01a0c717-c5be-7edb-b67f-675422b98244,01a0c717-c5d1-7a63-87f9-6a9cfe2aaaef,n,"open_access=bad-file(202); annas=not-in-archive; scihub=blocked(200,200,403,200); browser=manual-step",Efficient Data-Driven Gap Filling of Satellite Image Time Series Using Deep Neural Networks with Partial Convolutions,Appel,2024,Appel,2022,50.36,AMS early-release 2022 vs print 2024
194,E23-url,https://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=ortho_image15c,url,bound-unextracted,fresh-bound,Center_2015_ortho-image15c-point-gis,01a0c730-fa06-7a1d-ab72-63eead3cca5f,01a0c730-fa16-7d45-baf8-0fce8c8ad084,y,"url fetch=200 (text/html); web snapshot bound: file_id 01a0c730-fa12-7bf8-b4f0-851a2884f296, _litkb_staging/web/hunt-20260922T033750.txt, sha256 9ed3af766ca3c7b43fdcbd0027bc36906c9e28a82e2f20bdf8f7806393bee3a6",(no registry: manual proposal) page title 'ortho_image15c_point - GIS Data Catalog',(none - web source),,King County GIS Center,2015,1.08,"PREMISE FALSE, measured: the task said to read this page and hunt the specification PDF it points to. The page links NO document of any kind - its only outward links are ArcGIS Open Data, EPSG:2926, terms of use and a contact address - and it carries NO acquisition-specification text: no leaf-off wording, no flight window, nothing about snow or smoke, 'Supplemental Information: None'. A targeted web search for a Puget Sound consortium acquisition specification PDF also returned none. So the page ITSELF was hunted as a web source (HTML snapshot, supported since S3) and admitted as a manual PROPOSAL, in_main=false, visible to litkb_search only from this workstream until a SECOND session approves admission 01a0c730-fa16-7d45-baf8-0fce8c8ad084. DOUBT FOR KAM: the tracker's relevance sentence quotes 2012 leaf-off wording that is NOT on this 2015 page - it must come from a different layer's metadata, so the row's evidence and its ref disagree."
235,E23-url,https://seattle.gov/documents/Departments/OSE/Urban%20Forestry/2021%20Tree%20Canopy%20Assessment%20Report_FINAL_230227.pdf,url,refused,admission-refused,,,01a0c72e-dae5-748f-bb14-9817eb90752e; 01a0c730-2e90-745d-bad0-a54ef1c3c195,n,"url fetch=200 twice (9,769,141 bytes, sha256 1e31150a6ca6cba3a1bc133466bd5a1222787f3733f4d80394df09416a19aa6d, filed _litkb_staging/filed/Sustainability_2023_city-seattle-tree-canopy.pdf and Sustainability_2023_2021-city-seattle-tree.pdf); admission refused_at=check4_manual both times, check3_binding ratio 0.80 < 0.85",(no registry: manual proposal),(none - web source),,City of Seattle OSE / University of Vermont SAL,2023,2.30 + 2.06,"FOUND by web search: the official PDF on seattle.gov (OSE Urban Forestry). 53 pages, downloaded and filed both times. Admission refused at check4_manual - 'a manual admission needs a held file whose first page carries the title' - because check3_binding measured title ratio 0.80 against the first page's title region (read from litkb.admissions.checks, both attempts). Cause, measured: the cover prints the title down five short lines ('2 0 2 1 / CITY OF SEATTLE / TREE CANOPY / ASSESSMENT / FINAL REPORT / Findings prepared by ...', 225 chars of page-1 text) and the PDF's own /Title is EMPTY (/Author 'Julie Stein'). Two title strings were tried - 'City of Seattle Tree Canopy Assessment Final Report' and the cover's own '2021 City of Seattle Tree Canopy Assessment Final Report' - and BOTH measured 0.80; no check was weakened to get past it. NEEDS KAM/S4: admit at the CLI (`litkb admit --manual --file`) with a second session's sign-off, or fix the title-region slice."
