tracker_id,outcome_class,tracker_title,tracker_authors,tracker_year,stored_doi,tracker_doi,resolved_doi,resolved_title,title_ratio,registry_first_author,registry_year,hunt_state,hunt_reason,work_key,file_bound,attempt_statuses,verdict,candidate_vs_tracker_doi,seconds,hunt_request_id,author_passed,note
48,E24,A comprehensive survey of forgetting in deep learning beyond continual learning,"Yang, E. et al.",2024,10.1109/tpami.2024.3498346,10.1109/tpami.2024.3367329,10.1109/tpami.2024.3498346,A Comprehensive Survey of Forgetting in Deep Learning Beyond Continual Learning,1.00,Wang,2025,refused,ambiguous-title,,n,,registry-quirk,different,12.89,01a0c6b9-b02a-7b1b-9e83-2a0281b68154,Yang,"gate 0 matched the title at ratio 1.00 on the SAME doi as stored and refused on the claim: tracker first author 'Yang, E. et al.' / year 2024 vs Crossref 'Wang' / 2025 | tracker DOI/URL column holds '10.1109/tpami.2024.3367329', which is not the candidate the title resolved to; the 2026-09-15 correction to '10.1109/tpami.2024.3498346' is independently corroborated"
49,E23,Fine-tuning without catastrophic forgetting via selective low-rank adaptation,"Zheng, Y. et al.",2025,10.5220/0014640400004061,10.48550/arxiv.2501.01946,10.5220/0014640400004061,Enhancing Continual Learning for Software Vulnerability Prediction: Addressing Catastrophic Forgetting via Hybrid‑Confidence‑Aware Selective Replay for Temporal LLM Fine-Tuning,0.48,Dou,2026,refused,ambiguous-title,,n,,unresolved,different,12.88,01a0c6b9-e4c5-7b19-983f-b1857295c7d8,Zheng,"best candidate scored 0.48 < 0.85, so gate 0 says it is NOT this work; the resolved_doi column is that rejected candidate, not a resolution"
50,E23,DeepForest: fine-tuning with ~1000 annotations,"Weinstein, B.G.",2020,10.4135/9781452219011.n14,10.1111/2041-210x.13472,10.4135/9781452219011.n14,Fine-Tuning Your Presentation,0.55,,2009,refused,ambiguous-title,,n,,unresolved,different,13.53,01a0c6ba-199f-766f-bf60-ddec98f9fed4,Weinstein,"best candidate scored 0.55 < 0.85, so gate 0 says it is NOT this work; the resolved_doi column is that rejected candidate, not a resolution"
52,E24,A broadband Green-Red Vegetation Index for monitoring gross primary production phenology,"Nagai, S. et al.",2022,10.34133/2022/9764982,10.34133/2022/9764982,10.34133/2022/9764982,A Broadband Green-Red Vegetation Index for Monitoring Gross Primary Production Phenology,1.00,Yin,2022,refused,ambiguous-title,,n,,registry-quirk,same,13.0,01a0c6ba-516a-7e65-95d6-8a2f0de2440f,Nagai,"gate 0 matched the title at ratio 1.00 on the SAME doi as stored and refused on the claim: tracker first author 'Nagai, S. et al.' / year 2022 vs Crossref 'Yin' / 2022"
53,E23,Extraction of vegetation information from visible unmanned aerial vehicle images,"Wang, X. et al.",2015,10.1016/j.ecolind.2024.112516,N/A — Chinese language journal,10.3390/drones4020027,Vegetation Extraction Using Visible-Bands from Openly Licensed Unmanned Aerial Vehicle Imagery,0.59,Agapiou,2020,refused,ambiguous-title,,n,,unresolved,different,12.95,01a0c6ba-86f5-7ba3-a7d7-13bb15675d3f,Wang,"best candidate scored 0.59 < 0.85, so gate 0 says it is NOT this work; the resolved_doi column is that rejected candidate, not a resolution"
55,E24,Unmanned aerial vehicle imagery for plant communities: Optimizing visible light vegetation indices to extract multi-species coverage,"Li, Z. et al.",2025,10.3390/plants14111677,10.3390/rs17112050,10.3390/plants14111677,Unmanned Aerial Vehicle (UAV) Imagery for Plant Communities: Optimizing Visible Light Vegetation Index to Extract Multi-Species Coverage,0.97,Wang,2025,refused,ambiguous-title,,n,,registry-quirk,different,12.97,01a0c6ba-bbcf-7e4f-9ee3-ec0cb6274cfc,Li,"gate 0 matched the title at ratio 0.97 on the SAME doi as stored and refused on the claim: tracker first author 'Li, Z. et al.' / year 2025 vs Crossref 'Wang' / 2025 | tracker DOI/URL column holds '10.3390/rs17112050', which is not the candidate the title resolved to; the 2026-09-15 correction to '10.3390/plants14111677' is independently corroborated"
57,E23,Tracking photosynthetic phenology using spectral indices at leaf and canopy scales,"Zhang, J. et al.",2023,10.1016/j.agrformet.2023.109809,10.1016/j.agrformet.2023.109808,10.1016/j.agrformet.2023.109809,Tracking photosynthetic phenology using spectral indices at the leaf and canopy scales in temperate evergreen and deciduous trees,0.78,Guo,2024,refused,ambiguous-title,,n,,unresolved,different,12.95,01a0c6ba-f0cc-7cd1-bba8-f4084533646c,Zhang,"best candidate scored 0.78 < 0.85, so gate 0 says it is NOT this work; the resolved_doi column is that rejected candidate, not a resolution"
66,E24,Historical changes in tree and impervious surface cover following urban renewal in a small postindustrial city,"Berland, A. et al.",2024,10.1007/s00267-023-01934-6,10.1007/s00267-023-01934-6,10.1007/s00267-023-01934-6,Historical changes in tree and impervious surface cover following urban renewal in a small postindustrial city,1.00,Kropp,2024,refused,ambiguous-title,,n,,registry-quirk,same,12.91,01a0c6bb-25c6-7151-a2f4-cb8a77b28759,Berland,"gate 0 matched the title at ratio 1.00 on the SAME doi as stored and refused on the claim: tracker first author 'Berland, A. et al.' / year 2024 vs Crossref 'Kropp' / 2024"
67,E24,Deep learning for urban tree canopy coverage analysis: A comparison and case study,"Smith, J.P. et al.",2024,10.3390/geomatics4040022,10.3390/geohazards4040022,10.3390/geomatics4040022,Deep Learning for Urban Tree Canopy Coverage Analysis: A Comparison and Case Study,1.00,Morgan,2024,refused,ambiguous-title,,n,,registry-quirk,different,13.0,01a0c6bb-5a92-7dc3-bb8d-79900263124b,Smith,"gate 0 matched the title at ratio 1.00 on the SAME doi as stored and refused on the claim: tracker first author 'Smith, J.P. et al.' / year 2024 vs Crossref 'Morgan' / 2024 | tracker DOI/URL column holds '10.3390/geohazards4040022', which is not the candidate the title resolved to; the 2026-09-15 correction to '10.3390/geomatics4040022' is independently corroborated"
117,E23,Can you trust your model's uncertainty? Evaluating predictive uncertainty under dataset shift,"Ovadia, Y. et al.",2019,10.2139/ssrn.6178359,https://arxiv.org/abs/1906.02530,10.2139/ssrn.2351870,"You Can Have Your Trust and Calculativeness, Too: Uncertainty, Trustworthiness and the Williamson Thesis",0.44,James,2013,refused,ambiguous-title,,n,,unresolved,different,12.91,01a0c6bb-9054-7660-b71e-a793d8a3c490,Ovadia,"best candidate scored 0.44 < 0.85, so gate 0 says it is NOT this work; the resolved_doi column is that rejected candidate, not a resolution"
122,E23,Conformal object detection by sequential risk control,"Andeol, L., Mossina, L., Mazoyer, A. & Gerchinovitz, S.",2025,10.52202/085713-2355,https://arxiv.org/abs/2505.24038,10.52202/085713-2355,Conformal Risk Training: End-to-End Optimization of Conformal Risk Control,0.56,Yeh,2025,refused,ambiguous-title,,n,,unresolved,different,12.94,01a0c6bb-c59e-7f59-9407-c69b69542cb9,Andeol,"best candidate scored 0.56 < 0.85, so gate 0 says it is NOT this work; the resolved_doi column is that rejected candidate, not a resolution"
131,E24,How effective is pre-training of large masked autoencoders for downstream Earth observation tasks?,"Sosa, J. et al.",2024,10.1109/icip55913.2025.11084679,https://arxiv.org/abs/2409.18536,10.1109/icip55913.2025.11084679,Multimae Meets Earth Observation: Pre-Training Multi-Modal Multi-Task Masked Autoencoders for Earth Observation Tasks,0.67,Sosa,2025,refused,ambiguous-title,,n,,unresolved,different,13.14,01a0c6bb-fa71-7879-9f29-3a70ba660416,Sosa,"best candidate scored 0.67 < 0.85, so gate 0 says it is NOT this work; the resolved_doi column is that rejected candidate, not a resolution"
132,E23,How do self-supervised remote sensing vision models transfer to downstream tasks?,"Romero, J., Lv, Q. & Karimzadeh, M.",2026,10.1109/igarss52108.2023.10282926,https://arxiv.org/abs/2606.13896,10.1109/igarss52108.2023.10282926,Self Supervised Learning in Remote Sensing: Quantifying Approaches Effectiveness Across Downstream Tasks,0.63,Grau,2023,refused,ambiguous-title,,n,,unresolved,different,12.92,01a0c6bc-3027-73b4-94b4-7bbd2f2753d9,Romero,"best candidate scored 0.63 < 0.85, so gate 0 says it is NOT this work; the resolved_doi column is that rejected candidate, not a resolution"
154,E24,Towards optimization and model selection for domain generalization: A mixup-guided solution,"Wang, L., Wang, J., Wang, Y. & Xie, X.",2024,10.1137/1.9781611978032.28,10.1137/1.9781611978032.28,10.1137/1.9781611978032.28,Towards Optimization and Model Selection for Domain Generalization: A Mixup-guided Solution,1.00,Lu,2024,refused,ambiguous-title,,n,,registry-quirk,same,12.95,01a0c6bc-64f8-7cb1-868d-e5f7940e86ca,Wang,"gate 0 matched the title at ratio 1.00 on the SAME doi as stored and refused on the claim: tracker first author 'Wang, L., Wang, J., Wang, Y. & Xie, X.' / year 2024 vs Crossref 'Lu' / 2024"
174,E23,Zero-shot tree detection and segmentation from aerial forest imagery,"Chen, M., Russell, D., Pallavoor, A., Young, D. & Wu, J.",2025,10.1111/2041-210x.70116/v1/review1,https://arxiv.org/abs/2506.03114,10.1111/2041-210x.70116/v1/review1,"Review for ""Zero-shot shark tracking and biometrics from aerial imagery""",0.64,,2025,refused,ambiguous-title,,n,,unresolved,different,12.95,01a0c6bc-9a7b-72cb-83f7-773992f7d2dc,Chen,"best candidate scored 0.64 < 0.85, so gate 0 says it is NOT this work; the resolved_doi column is that rejected candidate, not a resolution"
177,E24,Detecting trends in forest disturbance and recovery using yearly Landsat time series: 1. LandTrendr — Temporal segmentation algorithms,"Cohen, W.B., Yang, Z. & Kennedy, R.",2010,10.1016/j.rse.2010.07.008,10.1016/j.rse.2010.07.010,10.1016/j.rse.2010.07.008,Detecting trends in forest disturbance and recovery using yearly Landsat time series: 1. LandTrendr — Temporal segmentation algorithms,1.00,Kennedy,2010,refused,ambiguous-title,,n,,registry-quirk,different,12.92,01a0c6bc-cf79-7eac-a014-df5c08c11d5a,Cohen,"gate 0 matched the title at ratio 1.00 on the SAME doi as stored and refused on the claim: tracker first author 'Cohen, W.B., Yang, Z. & Kennedy, R.' / year 2010 vs Crossref 'Kennedy' / 2010 | tracker DOI/URL column holds '10.1016/j.rse.2010.07.010', which is not the candidate the title resolved to; the 2026-09-15 correction to '10.1016/j.rse.2010.07.008' is independently corroborated"
178,E24,Detecting trends in forest disturbance and recovery using yearly Landsat time series: 2. TimeSync — Tools for calibration and validation,"Kennedy, R.E., Yang, Z. & Cohen, W.B.",2010,10.1016/j.rse.2010.07.010,10.1016/j.rse.2010.07.008,10.1016/j.rse.2010.07.010,Detecting trends in forest disturbance and recovery using yearly Landsat time series: 2. TimeSync — Tools for calibration and validation,1.00,Cohen,2010,refused,ambiguous-title,,n,,registry-quirk,different,12.91,01a0c6bd-04b0-7048-83af-ca0b8512c834,Kennedy,"gate 0 matched the title at ratio 1.00 on the SAME doi as stored and refused on the claim: tracker first author 'Kennedy, R.E., Yang, Z. & Cohen, W.B.' / year 2010 vs Crossref 'Cohen' / 2010 | tracker DOI/URL column holds '10.1016/j.rse.2010.07.008', which is not the candidate the title resolved to; the 2026-09-15 correction to '10.1016/j.rse.2010.07.010' is independently corroborated"
186,E24,Impact of error on landscape pattern analyses performed on land-cover change maps (misclassification error propagation in land cover change categorization),"Burnicki, A.C.",2012,10.1007/s10980-012-9719-2,10.1080/10095020.2012.715874,10.1007/s10980-012-9719-2,Impact of error on landscape pattern analyses performed on land-cover change maps,0.69,Burnicki,2012,refused,ambiguous-title,,n,,unresolved,different,13.03,01a0c6bd-3969-7d9b-bcce-39644289d6d8,Burnicki,"best candidate scored 0.69 < 0.85, so gate 0 says it is NOT this work; the resolved_doi column is that rejected candidate, not a resolution"
187,E24,"Land Cover and Change Map Accuracy Assessment and Area Estimation Good Practices Protocol, Version 1.1","Tyukavina, A., Stehman, S.V., Foody, G.M., Bontemps, S., See, L., Olofsson, P. et al.",2025,10.5067/doc/ceoswgcv/lpv/lc.001,10.5067/doc/ceoswgcv/lpv/lc.001,10.7717/peerj.13435/fig-3,Figure 3: Map showing the ground-truthing points used for accuracy assessment of the classified land cover image of 2020.,0.34,,,refused,ambiguous-title,,n,,unresolved,different,12.91,01a0c6bd-6f01-787f-8794-5ef8b01a4a02,Tyukavina,"best candidate scored 0.34 < 0.85, so gate 0 says it is NOT this work; the resolved_doi column is that rejected candidate, not a resolution | stored doi is NOT in Crossref (404) but IS registered in the global handle system -> ['http://lpvs.gsfc.nasa.gov/documents.html']; 'dead' would be wrong for it"
193,E23,Remote sensing change detection via weak temporal supervision,"Bou, X., Vincent, E., Facciolo, G., Grompone von Gioi, R., Morel, J.-M. & Ehret, T.",2026,10.1109/tgrs.2022.3199502,https://arxiv.org/abs/2601.02126,10.1109/tgrs.2022.3199502,Remote Sensing Change Detection via Temporal Feature Interaction and Guided Refinement,0.69,Li,2022,refused,ambiguous-title,,n,,unresolved,different,12.89,01a0c6bd-a3d2-739e-a567-d7089a8149c6,Bou,"best candidate scored 0.69 < 0.85, so gate 0 says it is NOT this work; the resolved_doi column is that rejected candidate, not a resolution"
194,E23,"Regional aerial orthoimagery acquisition specification and photo-centre index (ortho_image15c): LEAF-OFF spring acquisition, 88-participant consortium",King County GIS Center (Puget Sound regional orthophoto consortium),2015,10.3403/30376491u,https://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=ortho_image15c,10.3403/30376491u,Stationary source emissions. Data acquisition and handling systems,0.41,,,refused,ambiguous-title,,n,,unresolved,different,12.92,01a0c6bd-d8de-7edd-ae5d-40547cfb035f,King County GIS Center,"best candidate scored 0.41 < 0.85, so gate 0 says it is NOT this work; the resolved_doi column is that rejected candidate, not a resolution"
235,E23,City of Seattle Tree Canopy Assessment: Final Report (2016–2021),City of Seattle OSE / University of Vermont SAL,2023,10.2172/1885051,N/A — agency report,10.2172/1922672,Solar Canopy Expansion Project (Final Technical Report),0.49,Ahmann,2023,refused,ambiguous-title,,n,,unresolved,different,13.11,01a0c6be-0dad-7dcc-b099-c451ed29dc2d,City of Seattle OSE,"best candidate scored 0.49 < 0.85, so gate 0 says it is NOT this work; the resolved_doi column is that rejected candidate, not a resolution"
239,E24,Multisensor Temporal Unsupervised Domain Adaptation for Land Cover Mapping,"Capliez, E. et al.",2023,10.1109/tgrs.2023.3297077,10.1109/tgrs.2023.3297077,10.1109/tgrs.2023.3297077,Multisensor Temporal Unsupervised Domain Adaptation for Land Cover Mapping With Spatial Pseudo-Labeling and Adversarial Learning,0.73,Capliez,2023,refused,ambiguous-title,,n,,unresolved,same,12.89,01a0c6be-432a-7cb6-aea2-1aa5d71950db,Capliez,"best candidate scored 0.73 < 0.85, so gate 0 says it is NOT this work; the resolved_doi column is that rejected candidate, not a resolution"
242,E23,Forest canopy height estimation from satellite RGB imagery using large-scale airborne LiDAR-derived training data,"Lai, Y. et al.",2026,10.14214/sf.1405,https://arxiv.org/abs/2602.06503,10.14214/sf.1405,Tropical forest canopy cover estimation using satellite imagery and airborne lidar reference data,0.69,Korhonen,2015,refused,ambiguous-title,,n,,unresolved,different,12.91,01a0c6be-77e2-7784-be2d-f4d7ce16e6d5,Lai,"best candidate scored 0.69 < 0.85, so gate 0 says it is NOT this work; the resolved_doi column is that rejected candidate, not a resolution"
274,E24,Identification of undocumented buildings in cadastral data using remote sensing,"Li, Q., Taubenböck, H., Shi, Y., Auer, S., Roschlaub, R., Glock, C., Kruspe, A. & Zhu, X.X.",2022,10.1016/j.jag.2022.102909,10.1016/j.jag.2022.102909,10.1016/j.jag.2022.102909,"Identification of undocumented buildings in cadastral data using remote sensing: Construction period, morphology, and landscape",0.78,Li,2022,refused,ambiguous-title,,n,,unresolved,same,12.94,01a0c6be-ac92-7e04-9255-98fce16fc86f,Li,"best candidate scored 0.78 < 0.85, so gate 0 says it is NOT this work; the resolved_doi column is that rejected candidate, not a resolution"
293,E24,Efficient Data-Driven Gap Filling of Satellite Image Time Series Using Deep Neural Networks with Partial Convolutions,Appel,2022,10.1175/aies-d-22-0055.1,10.1175/aies-d-22-0055.1,10.1175/aies-d-22-0055.1,Efficient Data-Driven Gap Filling of Satellite Image Time Series Using Deep Neural Networks with Partial Convolutions,1.00,Appel,2024,refused,ambiguous-title,,n,,registry-quirk,same,12.94,01a0c6be-e18d-76c2-874d-4be339db4a56,Appel,gate 0 matched the title at ratio 1.00 on the SAME doi as stored and refused on the claim: tracker first author 'Appel' / year 2022 vs Crossref 'Appel' / 2024
369,E23,Le covariogramme géométrique des compacts convexes de R²,"Matheron, G.",1986,10.70675/26a20172zaa7bz4dafz8ae3z927831678d49,N/A — internal tech report (Centre de Géostatistique),10.70675/26a20172zaa7bz4dafz8ae3z927831678d49,Approximation géométrique d’ensembles aléatoires convexes par des zonotopes : application au modèle Booléen.,0.45,Rahmani,,refused,ambiguous-title,,n,,unresolved,different,12.95,01a0c6bf-167a-7eb0-94a7-d04548bc7430,Matheron,"best candidate scored 0.45 < 0.85, so gate 0 says it is NOT this work; the resolved_doi column is that rejected candidate, not a resolution"
E20,E20,Multi-State Survival Models for Interval-Censored Data,van den Hout,2016,10.1201/9781315374321,,10.1201/9781315374321,Multi-State Survival Models for Interval-Censored Data,,van den Hout,2016,blocked,403,VanDenHout_2016_multi-state-survival-models,n,"open_access=no-oa-copy; annas=not-in-archive; scihub=blocked(codes 200,200,403,200); browser=manual-step",not-acquired,n/a,53.36,,,"book, spend ran all three routes; Crossref record carries ISBN ['9781466568419'] (isbn-type [{'value': '9781466568419', 'type': 'electronic'}]) - MEASURED only, no identifier added; extraction deferred (OCR pipeline not ready for books)"
E21,E21,blockCV: an R package for generating spatially or environmentally separated folds for k-fold cross-validation of species distribution models,Valavi,2018,10.1101/357798,,10.1101/357798,blockCV: an R package for generating spatially or environmentally separated folds for k-fold cross-validation of species distribution models,,Valavi,2018,bound-unextracted,fresh-bound,Valavi_2018_blockcv-r-package-generating,y,open_access=ok(codes 200),acquired,n/a,3.0,,,the bioRxiv preprint is its own admitted work and acquired cleanly on the open-access route; NO duplicate refusal against the published article Valavi_2018_block-cv-r-package
E22,E22,A theory of cartographic error and its measurement,Lloyd,1976,,,10.1179/caj.1976.13.1.22,Quantisation Error in Area Measurement,0.52,Lloyd,1976,refused,ambiguous-title,,n,,unresolved,n/a,12.75,,,"title hunt of the manually admitted, identifier-less work: gate 0 DID see a Crossref candidate (Lloyd 1976 'Quantisation Error in Area Measurement', ratio 0.52) and refused it, so the expected pair is refused/ambiguous-title, NOT refused/unresolved-title; no duplicate refusal against the promoted work because gate 0 refuses before admission is reached"
