stem,codec,n_chars,sha256
Gros_2021_softseg-advantages-soft-versus-binary,cp1252,66161,c351d0a78c8ae358f5dc2efd451a3811fcc199de323bcb3ebfc2ced7b6a0450d
Guo_2018_redeveloping-urban-forest-effect,cp1252,74903,f55a77675a401fa1c4dbc4f43c5477fec8fb63700d3c48d932d99ef16a50313e
Guo_2019_city-wide-canopy-cover-decline,cp1252,67194,06ef59c9b6fec3403226eb121321792b7515d16b70af5d79f6be082c5ecd1756
Hall_1985_resampling-coverage-pattern,utf-8,35211,d47f503144134e7bc35fa3ccf59d0b8a2315a26dd44a6604cf0061270b68b20e
Hasegawa_2019_probability-deriving-yearly,cp1252,55041,f438f48a6f6359ef750a35d43c7802765955cf634a63dd9fd1ce5cae245b4cbe
Hauer_1994_street-tree-decline-construction-damage,utf-8,14188,b573ee1c8ba5dd561ab8f892d5ad9759905c519b60f26b44340f2529bfe9d7e6
Hawkes_1971_spectra-some-self-exciting-mutually,cp1252,19208,c14991f69011056a91cd2b46b074bf2229e5b74bea2dcb401a53a70b6b5b92da
Hecht_2015_automatic-identification-building-types,cp1252,75598,3f8bd9ea828453d265845429f12612c62d7e75c45d719dd4ab37c33190b50b3e
Higham_2011_pth-roots-stochastic-matrices,cp1252,57312,6e5f94c2eb8f7e104432e009797b7b0e4f451db3e447b725ca8eb20f5ed41ed9
Hilbert_2019_urban-tree-mortality-literature-review,cp1252,132071,ee068e90843fea3cee089894f330209733f90784f06aec45a8a88259d793ca3a
Hoberg_2015_conditional-random-fields-multitemporal-multiscale,cp1252,109743,cc0654ebd1c1f3efa33e187a7b069c9c214cf016a18e3c38d9d49b46396ee54b
Hood_2018_fire-tree-death-understanding-improving,cp1252,104192,3eaa184c71a5292911fa1234f1daa7ce4c30b2f8b335c6d4314f98517f3a86bf
Hughes_1999_non-homogeneous-hidden-markov-model,cp1252,47323,34d25eb8ee9d8b6d4b29989a56c8ad81e02903dd6f277305c779e58f72d8a161
Hughes_2011_autologistic-models-binary-data-lattice,cp1252,47096,b0a8ce326b81ecae4ee0644a827ce3780d8eda57e340c5e3b60aa2a1dd809de7
Hughes_2014_ngspatial-package-fitting-centered,cp1252,46094,d19348beefdac774c5b13d70f279a861456035fe1b599a62aa46241b48620736
Hui_1980_estimating-error-rates-diagnostic-tests,cp1252,21893,165bec4bfa3a73a722d6555362f34bc913baf642b23cbb93c1f2853917d3c42b
Israel_2001_finding-generators-markov-chains,cp1252,71264,fe20312a72a3edee075283788844810305832ef284e38ce95bad3aff5c1a4cd1
Jackson_2002_hidden-markov-models-onset-progression,cp1252,52537,ea6d021601efba049d9e209fc72b5a1356bbe0db245804ee0d1f1818d4037a1a
Jackson_2011_multi-state-models-panel-data,cp1252,78648,925bda5d6072a33a29b579d927d00fbb281c2d11f8b05114b66f979c76c99e52
Jaffe_2015_estimating-accuracies-multiple,cp1252,54074,1c9435527f92157b3f0a06123ed5e93546e254461804bea7fdf82bf287980c26
Kaiser_2012_goodness-fit-tests-class-markov,cp1252,69661,bbcd171f10a27cbb325819ba295919dc3d2435a3ec760ae63cfb94db779d3979
Kaiser_2017_learning-aerial-image-segmentation,cp1252,80992,f5349413c36003f5ae234ce3e613756fb0e46717fb5bad53277b506b4296be0e
Kalbfleisch_1985_analysis-panel-data-markov,utf-8,109346,21721c5bf6a019c59c98ba5567896c0acc715d191365eb6596ae80af9d4ea125
Kalinicheva_2025_super-resolved-canopy-height,cp1252,132519,86452ba240b3be85a98be671c75dc404a843b1d857bf8c6e0b06b6d29b643d5f
Kats_2019a_soft-labeling-distilling-anatomical,cp1252,16241,c216b8d06c76efbe87b3c20fdb8935c152af9afc34e15130af7dab217b25964b
Kats_2019b_soft-staple-algorithm-combined,cp1252,20392,7648446d486137d2bba2ef8a6433e7278db56b7ed35bc2897f9e78c080d6e46d
Kelejian_2007_hac-estimation-spatial-framework,cp1252,70105,b870f696d31f90f09c7ec8f1d841c9443f73e0031c2526010821402b1cc47f79
Kingman_1962_imbedding-problem-finite-markov-chains,cp1252,24175,62aacfb5f0b6de17c692a22406c8f756188bdb272d968e70074b83dbd8dda87c
Kolmogorov_2004_what-energy-functions-can-be,cp1252,12047,c0cc9f0256032814f85158a43255af31d33b677ecdfc480a7e7a7aadaa5e5814
Kolmogorov_2005_what-metrics-can-be-approximated,cp1252,36465,bca3ce30a41b3452e29ee06e1b9aeee965fc31f39cea9b2e9526d758c0b208a3
Krahenbuhl_2011_efficient-inference-fully-connected,cp1252,30074,8d971c2606a12d44d3ff650226af8955f7e49f8fe46b29adf9759dffb83a85b4
Krahenbuhl_2013_parameter-learning-convergent,cp1252,8535,459fdc9ba0973e3fd2acc54cafbb388d9fcd6804447f372c973e94d0d7cf97ba
Lahiri_2006_resampling-methods-spatial-regression,cp1252,83283,3ca36aff3499639facd16875158b5fd363e60799d17a36c51086a16846557ed2
Laurance_1998_rain-forest-fragmentation-dynamics,cp1252,52275,e05794ba8a3bdb449104a1f8215aff4d84a5be581c68d28117c165f4ac2431b0
Laurance_2011_fate-amazonian-forest-fragments-32,cp1252,110929,16057e622b943fe8d2c93758d29508a405ba16faffc6e68e205c3ab6fc7b18a2
LeFolgoc_2017_quantifying-registration-uncertainty,cp1252,84457,9bb6cb9a79023cca00c429985e9e5d2b1668ac0a7848591ec258023bc81c177d
Lee_2015_deeply-supervised-nets,cp1252,64917,aa6000e142440ddcbe1e504000ba41d46ae68d6ec4bac55ca5aa690ee6df6244
Leung_1997_point-polygon-analysis-certainty,cp1252,49736,090be3c664dd2801551ab103cf85d44a4a81123aadcc0d81e746ba12b15a0f25
Leung_1998_locational-error-model-spatial-features,cp1252,79213,83faa092e26c3259b164189c4b7627363f7e72835b260fa8b57f7d5ea82d3164
Leung_2004a_general-framework-error-analysis,cp1252,68636,165f573df0b054472dfb014544ba719947ac91c2e115601d56eaf9f7cd97d6f0
Leung_2004b_part-4-error-analysis-length,cp1252,85355,46069f89f10dda8d1a7d3bfd8a55754ef0f04503aaa215655d5deea3e933b316
Liu_2008_local-transition-probability-models-markov,cp1252,62427,8ff9d9abea5eaa720c221e9ba0152888eede48fff9af37c000f31ec0cc0147a7
Liu_2012_spatial-temporal-modeling-approach,cp1252,168562,18c7aa54f44b2f3b8c8d41e64e2cb7bf2a5e0e95923c05c64098131decf1174a
Liu_2021_spatial-temporal-hidden-markov-model,cp1252,55465,2d5818b133306a0698d61bfbb5079c10c4ddf9a50f81c0062f945fa267f98ad7
Locke_2025_sub-parcel-scale-analysis-needed,cp1252,96445,78315c0a1a55b93dad5f276401399bed4be6134652c5368fd94e54e00164c7f6
LopezPaz_2016_unifying-distillation-privileged,cp1252,41115,cb1c4d6e23391163896508444ce18f7c36194771c058cfe330116a5718dcc8b1
Lu_1999_control-charts-monitoring-mean-variance,cp1252,84989,5838818ab34bd8fb3fa6237d7232277ffad5b7420ecf02bdbd8288973b39f99b
Lu_2001_cusum-charts-monitoring-autocorrelated,cp1252,100679,f2c371b8e2221f34d68696113a2164af4354415feff3ac2d11aaf3a60d95b301
Lucas_1982_fast-initial-response-cusum-quality,utf-8,70310,c6793b52e1b4eb02cfb9825210e01b6ee7b95ddd01cf9c568b79e42c09d6fdb8
MacFaden_2012_high-resolution-tree-canopy-mapping,cp1252,87757,f7ba881f6360e2b812347e736d16d17a1fbe2230f5e4feaf767e2d5e1bf1c90b
Maragos_1989_pattern-spectrum-multiscale-shape,utf-8,101602,c1665b9d8b5173d3f4a2f5c3f41c925c62e41cf936b2ff157f31dc386658e8cd
Marsan_2008_extending-earthquakes-reach-through,cp1252,50504,4d5292e22e5e52676406cf510243957f6268264ee44d6bbd9fea6f7c8375d94e
Mei_2010_efficient-scalable-schemes-monitoring,cp1252,60890,8ba2828c066571c9bbf60535729d130b479f37d778103b004bce561730c7052e
Melgani_2003_markov-random-field-approach-spatio,cp1252,70426,d1132a22208654e3c2b6f823c460610705341b8b36d61c9aea421dd929ad7db6
Mesquita_1999_effect-surrounding-vegetation-edge,cp1252,33062,65a8a1608cd46ed886842528456fc16846e11568cb906ef9ac2660f0940bfbb3
Montgomery_1991_some-statistical-process-control,cp1252,62145,b9449e43d3b51972b579f85cbd2f2fa202b39b5309e59d2a9cef31372c1de40d
Morgenroth_2017_redevelopment-urban-forest-study,cp1252,65492,5e18e8727668f7878428d82ca34ee2eefb7557aadf7d0531ed71afba71c31ebe
Mousavi_2009_cusum-chart-monitoring-proportion,cp1252,71153,15220bb05f4afb612742bae6170799ddd5d900f4f96795c0512d166a775dc6c9
Murakami_2025_comparative-global-assessment,cp1252,97690,fb33389d63d0ea799874656d8a8b8b0698ac092ffafd1e2348a0a3387dabf89d
Nordman_2004_optimal-spatial-subsample-size,cp1252,97202,6f709e0852f8f15e3578f7b697f80fb3ef330e3f4d89d23c21daa5e59f1f10e9
Nowak_2012_tree-impervious-cover-change-u,cp1252,102471,1a571946bafc9f72b2b789302a3c7be5f1260d1c8ae0c2962f59234685fa750e
ONeilDunne_2014_versatile-production-oriented,cp1252,83444,564522373872bb587b12da3f7ad5404b52eb6ada4f5c4f2462caa2cd3ad4c721
Ock_2024_drivers-tree-canopy-loss-mid,cp1252,114050,9bc685c12d0e6cd6eb57a6f3c363bd97c74b96e32739dbbfb14f898f9a42a52c
Ogata_1988_statistical-models-earthquake,utf-8,188510,312470c0a175e7f0b0e17df22f88f6bcac7dc2157330d1f8b4e93438ba42ffbe
Olofsson_2013_making-better-use-accuracy-data,cp1252,100591,aa75757463fa76e8979f0cabda1c066fab520b301f512e07fd042e594a0c7507
Page_1954_continuous-inspection-schemes,utf-8,58781,fb9f18e9b9a9ec3ece77d6a73d3bb7e0e6c90cc6470083696f455c86526dc0e8
Papadopoulos_2024_decision-fusion-pixel-level-multi,cp1252,172904,062ef6083dcd4fe06067b505cb6d9ae2569038f4a433aacf19a3f7139fbd39f3
Parisi_2014_ranking-combining-multiple-predictors,cp1252,128756,ab7a8d5c19caa4ecae31a4641b5e0fc2a30224557442488f6033d528b8462e95
Parisot_2013_uncertainty-driven-efficiently-sampled,cp1252,45014,416df2356691c58dbcedbe5a5814f4c866e3db58866c2f9a88ca30e13a88ece3
Pauls_2025_capturing-temporal-dynamics-large-scale,cp1252,80371,8d8f0912f7316d9cbb4a0689867eac8323beffcf9c734ac7824f9db44bc0392d
Pesonen_2026_learning-image-based-tree-crown,cp1252,55429,f5567c0e713031cb583e7b662de30bdbb6a84b12cb4fce31d62a069729fe5260
Pillow_2008_spatio-temporal-correlations-visual,cp1252,59517,96a4d8e63a59e0a4906a2084bf4093fd7f2271d961cbe5e0a70c04f845f469dc
Platanios_2014_estimating-accuracy-unlabeled-data,cp1252,64113,2cf8b94a0d91d29e6c9ba212f648ceebc8226d32bb237a0d2f42951656001660
Platanios_2016_estimating-accuracy-unlabeled-data,cp1252,57983,8f523cdfe62afb726b0620d746705db560affe9961ed07fed91876c078a4da18
Psarakis_2007_spc-procedures-monitoring,cp1252,258524,b7a5f9fbc2f81c40cf470712b59eaac68bc30e1237ef2e1844940d90738710bf
Radoux_2020a_how-response-designs-class-proportions,cp1252,82947,71a66e98701aa31c83562311a453b4ede854da3ee4a610a6f53142ea0333eed9
Radoux_2020b_about-pitfall-erroneous-validation,cp1252,94396,5213f78d7ac72d445bbaae8a1de95ccc6331276ab634c8ed81735f3e2945e32d
Ratner_2017_snorkel-rapid-training-data-creation,cp1252,152519,e8e994e5811aaacf7776c6474ed2280f7fbef56206a8e0ced48666b40d5c95a8
Raykar_2010_learning-crowds,cp1252,81419,cbacd704bd24459ca3b523cc2fa2b2ae1a9d10214228f4f59bca246d0f5e5c22
Reiche_2015_bayesian-approach-combine-landsat-alos,cp1252,69482,1f320de8e343314c7b5ed380488bc667504f417658b8250d8781f89027c2a9ec
Reiche_2021_forest-disturbance-alerts-congo-basin,cp1252,61918,21c41f5d5835ea260825c70c62d512db2b14f1caa2ac798c5345742d1687788d
Reilly_2023_characterizing-postfire-delayed-tree,cp1252,56961,3db21a354a08e58699eafed1e388484ab0afc174a95dfcf23dc9bd4bdacdb9ec
Reinhart_2018_review-self-exciting-spatio-temporal,cp1252,90305,d696e9e9e7b3f5866438f9519c16815889d2ca41da08d64a94fc54f370f9e2d0
Reis_2020_avoiding-invalid-transitions-land-cover,cp1252,62268,a22f3533e5217a8cb5b2e4df0115b5050f075e850432adf4cbea05b3b237bb3c
Reynolds_1999_cusum-chart-monitoring-proportion,cp1252,125303,66e0f5fd00315a3a15223c69a3ab20395638e23e10da602fc9ab1d090093704c
Reynolds_2000_general-approach-modeling-cusum,utf-8,107645,b4db187cdd8f7b6e0979fa2c0193d2724d514882b428a14405825e613ad97ae3
Risholm_2011_probabilistic-non-rigid-registration,cp1252,24870,36fb535aff5d0d8f94fce2eb46f4e12f22f140aeaa4ae435d9f7c7ed08648de3
Roberts_2017_cross-validation-strategies-data,cp1252,114132,f54c42dfb85e2d7b11d6fde10d4c96d090cfd7d6b1d3c8733866d6c4a3589142
Roman_2022_construction-proactive-management-led,cp1252,113032,3181ed6a5083cb9a99d38b37fc87ade502c63e6ac04f60230f0456ea19858e89
Rosychuk_2003_bias-correction-two-state-latent,cp1252,56268,a036184d77568d370a345973d60a43ea59dc826da3313d243cb10c1b4907c45f
Salas_2003_perimeter-area-ratio-as-index,cp1252,29590,441f6f6c178b68146f173457af5dfae62fb1151ea8b8d8460a0eea94f17004d6
Satten_1996_markov-chains-measurement-error,utf-8,135137,d9bc8df8964aa47ba6ed10e18b7f98aa20897de2bacf3eb6e84166bd6c0ac4f2
Schneider_2008_stochastic-integral-geometry,cp1252,1350155,bf5c82b263ba8f2163d60da9b8ae0249f5040756c03570dd81eac0bade77770c
Shi_1998_generic-statistical-approach-modelling,cp1252,69898,f3a531a04134942f632421cc507ba30d902842c9c6bafdec4a8bf5a6148b5d4a
Singer_1976_representation-social-processes-markov,utf-8,106927,b4cae8428a8d6f5cfb5664c5372a29e2691cf585f85474cc5cebbe2eafcf0787
Sinop_2007_seeded-image-segmentation-framework,cp1252,9341,57a11d023c1a55d324bb2edb786ecc2562e66db41826154040d4350acb20828e
Solberg_1996_markov-random-field-model,cp1252,116866,c789de89e8f08f3924550c8afe8f110215dee96f05ed2915a02130053e599ab7
Song_2026_monocular-height-sparse-lidar-correction,cp1252,160252,ff5f18042b7ce8de3e012a780b85231885fc14ec4721ea7c709b1ec657488aaf
Steenberg_2017_influence-building-renovation-rental,cp1252,52507,bbe7e62b5304e03b42fa15b11bea20f074955309e9fb443008bf142450367583
Steenberg_2018_spatio-temporal-analysis,cp1252,57048,3ec993f860dcc55cb4afc3d28a7712488982ed1a74d066916d3394c83e997ffa
Stehman_1998_design-analysis-thematic-map-accuracy,cp1252,88523,043b92bc18be566a910c32a17d5d975d507c919db2b9ee6858ef168ccb6c18d6
Stehman_2019_key-issues-rigorous-accuracy,cp1252,237406,b05f487d8c57a66df942737dadcd0eae2a3eefa7081a7300d810baa4fa3fbc7d
Steiner_2000_monitoring-surgical-performance-risk,cp1252,42217,05852dfe8e82fa296dc4e0af81faff92e5c171c243f34d4f6406d81c995887f2
Stow_1999_reducing-effects-misregistration-pixel,cp1252,39479,b5a8f6ebc487e9c035f59d6ea49c687cd81d3f74de261c5bcf477bbde7e79b96
Sun_2022_cg-net-conditional-gis-aware,cp1252,91860,f39faf3e4d1bd16fa18001b2c30414915ac13d21b8ab3257de2e8de425a6839b
Takada_2010_derivation-yearly-transition,cp1252,68556,a17c544a3edc21fda092ee1cfd12fbf6df4304e6592755c2668aa88802362249
Tartakovsky_2008_asymptotically-optimal-quickest,cp1252,241576,806eb3aff1ef7b8e075064273a9a452d7ae773741b716370068b237087dee032
Touvron_2019_fixing-train-test-resolution,cp1252,80926,8a813ca82dbcdf2c7969b81e546ee6f079c84a4b18aa6ce969c30061122e2ad7
Townshend_1992_impact-misregistration-change,utf-8,50055,3f02209826825dc1c2e4476279f057a6e54a957b7d26887764aa307c858bdf49
Truccolo_2005_point-process-framework-relating,cp1252,135905,2ff4dac64c8399d0dfb92fecf0cdabb771b09b3adf9348592184bcef57e2f13c
Valavi_2018_blockcv-r-package-generating-spatially,utf-8,35000,61309f451624a361cf8885bcbaaae32322890810931d7ffe6bff9cf351f20463
Vapnik_2009_new-learning-paradigm-learning,cp1252,108746,59bec2d7711384a094a1115b0803589466481680e4f136bd1397d603e43f89be
VargasMunoz_2019_correcting-rural-building,cp1252,62199,56ec3aeb87d56728deede4688d268118ebc87205e8d322e2ae28212d37f9769b
Verburg_2004_method-analyse-neighbourhood,cp1252,81072,3763d74670ff85f8ff7bc5799ee37328b55357eb0fad9f03f3836f093c1e2ef1
Verbyla_2000_bias-land-cover-change-estimates,cp1252,43216,53f2a0461de1c2616993365197bf6cb3336a56814a7f47a6cfb6b9a6a302960b
Vicente_2008_graph-cut-based-image-segmentation,utf-8,9670,25aed3ed7e70c7c89e917fee0e49850574c8c88fc2838cde9e48e1e3d0c417cf
Vincent_1993_grayscale-area-openings-closings,cp1252,34173,9228433719ec52216e68f2b2e859776a3cdbcf993bc326a6cbadd330350d8b28
Vixie_2007_some-properties-minimizers-chan-esedoglu,cp1252,22588,264de9009a892750f7f1d53fa485430272626d9832019c912598227e923bdcc6
Walton_2008_difficulties-estimating-city-wide-urban,cp1252,43538,2166967778d0d758f923e32c3c10d4d611bb12aa4336d7e114d43c569b90e326
Warfield_2004_simultaneous-truth-performance-level,cp1252,120703,b1e5dbf651086e030cf6ac21ef15327f94216031549d1e3adafdb0ce6fdb0207
Wehmann_2015_spatial-temporal-contextual-markovian-kernel,cp1252,112618,0204b4430e3d391575bf178f7e93855ee5ffe2fa5a3eacf23d2531d3b62639a3
Wolters_2017a_classification-large-scale-remote,cp1252,69994,59a2b53bc70a3808ee035ff51e6cf701f37c6d7a668c1d4152332d31dd4e1331
Wolters_2017b_better-autologistic-regression,cp1252,129184,7d77c58ba1aafd383ba0bb9a0f2eaf4da0c3f01dc40c920228431faef477dffb
Wu_2017_iterative-slow-feature-change-detection,cp1252,88246,273cd0e34f14ad370830672d0b263e6326c33eb086d3cc518aff362674429363
Xie_2013_sequential-multi-sensor-change-point,cp1252,62851,ba3e483215b9d772bd0a259178852291ce217b54a57a208b09aff7b16a560caf
Yang_2020_evaluating-reliability-time-series-land,cp1252,71436,78eef12e0d90137b169023dfda08ed2dcbb8b26a412102975b1aa64879a72b03
