id,bib_block,round,authors,year,title,venue,doi,other_dois,arxiv,grade,read_status,filed_stem,txt_on_disk,pdf_on_disk,multi_work_line,source_line,superseded_by_id,best_grade_for_work
11,§4.1 — joint space and time,,"Benedek, C. & Sziranyi, T.",2009,Change Detection in Optical Aerial Images by a Multilayer Conditional Mixed Markov Model,IEEE TGRS,10.1109/TGRS.2009.2022633,,,METADATA,obtained-unread,Benedek_2009_change-detection-optical-aerial-images,yes,,,"Benedek, C. & Sziranyi, T. (2009). Change Detection in Optical Aerial Images by a Multilayer Conditional Mixed Markov Model. *IEEE TGRS* 47(10). doi:10.1109/TGRS.2009.2022633 — **METADATA** **Obtained 2026-09-12 (acquisition pass), header-verified, unread by the reviewer — grade unchanged until read",,METADATA
12,§4.1 — joint space and time,,"Benedek, C., Shadaydeh, M., Kato, Z., Sziranyi, T. & Zerubia, J.",2015,Multilayer Markov Random Field models for change detection in optical remote sensing images,ISPRS J.,10.1016/j.isprsjprs.2015.02.006,,,METADATA,obtained-unread,Benedek_2015_multilayer-markov-random-field-models,yes,,,"Benedek, C., Shadaydeh, M., Kato, Z., Sziranyi, T. & Zerubia, J. (2015). Multilayer Markov Random Field models for change detection in optical remote sensing images. *ISPRS J.* 107. doi:10.1016/j.isprsjprs.2015.02.006 — **METADATA** **Obtained 2026-09-12 (acquisition pass), header-verified, unread b",,METADATA
13,§4.1 — joint space and time,,"Hoberg, T., Rottensteiner, F., Feitosa, R.Q. & Heipke, C.",2015,Conditional Random Fields for Multitemporal and Multiscale Classification of Optical Satellite Imagery,IEEE TGRS,10.1109/TGRS.2014.2326886,,,METADATA,obtained-unread,,no,,,"Hoberg, T., Rottensteiner, F., Feitosa, R.Q. & Heipke, C. (2015). Conditional Random Fields for Multitemporal and Multiscale Classification of Optical Satellite Imagery. *IEEE TGRS* 53(2). doi:10.1109/TGRS.2014.2326886 — **METADATA** (confirmed unreadable 2026-09-11: no OA/repository copy, five Sci-",,METADATA
14,§4.1 — joint space and time,,"Hoberg, T., Rottensteiner, F. & Heipke, C.",2012,Context Models for CRF-Based Classification of Multitemporal Remote Sensing Data,ISPRS Annals,10.5194/isprsannals-I-7-129-2012,,,PRIMARY,,,no,,,"Hoberg, T., Rottensteiner, F. & Heipke, C. (2012). Context Models for CRF-Based Classification of Multitemporal Remote Sensing Data. *ISPRS Annals* I-7:129–134. doi:10.5194/isprsannals-I-7-129-2012 — **PRIMARY** (2012 precursor to the above; full text parsed 2026-09-11, §4.2)",,PRIMARY
15,§4.1 — joint space and time,,"Liu, C., Song, W., Lu, C. & Xia, J.",2021,Spatial-Temporal Hidden Markov Model for Land Cover Classification,IEEE Access,10.1109/ACCESS.2021.3080926,,,ABSTRACT,obtained-unread,Liu_2021_spatial-temporal-hidden-markov-model,yes,,,"Liu, C., Song, W., Lu, C. & Xia, J. (2021). Spatial-Temporal Hidden Markov Model for Land Cover Classification. *IEEE Access* 9. doi:10.1109/ACCESS.2021.3080926 — **ABSTRACT** **Obtained 2026-09-12 (acquisition pass), header-verified, unread by the reviewer — grade unchanged until read. Filed `Liu_2",,ABSTRACT
16,§4.1 — joint space and time,,"Martinis, S. & Twele, A.",2010,A Hierarchical Spatio-Temporal Markov Model for Improved Flood Mapping Using Multi-Temporal X-Band SAR Data,Remote Sensing,10.3390/rs2092240,,,PRIMARY,,,no,,,"Martinis, S. & Twele, A. (2010). A Hierarchical Spatio-Temporal Markov Model for Improved Flood Mapping Using Multi-Temporal X-Band SAR Data. *Remote Sensing* 2(9). doi:10.3390/rs2092240 — **PRIMARY** (full text via GFZ Potsdam repository mirror, verified 2026-09-11, §4.2)",,PRIMARY
17,§4.1 — joint space and time,,"Melgani, F. & Serpico, S.B.",2003,A Markov random field approach to spatio-temporal contextual image classification,IEEE TGRS,10.1109/TGRS.2003.817269,,,METADATA,,,yes,,,"Melgani, F. & Serpico, S.B. (2003). A Markov random field approach to spatio-temporal contextual image classification. *IEEE TGRS* 41(11). doi:10.1109/TGRS.2003.817269 — **METADATA**",244,ABSTRACT
18,"§6.1 — reshaping, segmentation, confirm-or-veto",,"Cohen, W.B., Yang, Z., Healey, S.P., Kennedy, R.E. & Gorelick, N.",2018,A LandTrendr multispectral ensemble for forest disturbance detection,RSE,10.1016/j.rse.2017.11.015,,,,,,no,,,"Cohen, W.B., Yang, Z., Healey, S.P., Kennedy, R.E. & Gorelick, N. (2018). A LandTrendr multispectral ensemble for forest disturbance detection. *RSE* 205. doi:10.1016/j.rse.2017.11.015 — **METADATA ⚠ NUMBERS**",,
19,"§6.1 — reshaping, segmentation, confirm-or-veto",,"Kennedy, R.E., Yang, Z. & Cohen, W.B.",2010,Detecting trends in forest disturbance and recovery using yearly Landsat time series: 1,,10.1016/j.rse.2010.07.008,,,PRIMARY,,,no,,,"Kennedy, R.E., Yang, Z. & Cohen, W.B. (2010). Detecting trends in forest disturbance and recovery using yearly Landsat time series: 1. LandTrendr. *RSE* 114. doi:10.1016/j.rse.2010.07.008 — **PRIMARY**",,PRIMARY
20,"§6.1 — reshaping, segmentation, confirm-or-veto",,"Murakami, T. & Tsutsumida, N.",2025,"Comparative Global Assessment and Optimization of LandTrendr, CCDC, and BFAST for Urban Land Cover Change Detection",Remote Sensing,10.3390/rs17142402,,,METADATA,obtained-unread,Murakami_2025_comparative-global-assessment,yes,,,"Murakami, T. & Tsutsumida, N. (2025). Comparative Global Assessment and Optimization of LandTrendr, CCDC, and BFAST for Urban Land Cover Change Detection. *Remote Sensing* 17(14):2402. doi:10.3390/rs17142402 — **METADATA** **Obtained 2026-09-12 (acquisition pass), header-verified, unread by the revi",,METADATA
21,"§6.1 — reshaping, segmentation, confirm-or-veto",,"Pasquarella, V.J. et al.",2022,Demystifying LandTrendr and CCDC temporal segmentation,IJAEOG,10.1016/j.jag.2022.102806,,,PRIMARY,,,no,,,"Pasquarella, V.J. et al. (2022). Demystifying LandTrendr and CCDC temporal segmentation. *IJAEOG* 110:102806. doi:10.1016/j.jag.2022.102806 — **PRIMARY**",,PRIMARY
22,"§6.1 — reshaping, segmentation, confirm-or-veto",,"Polunchenko, A.S. & Tartakovsky, A.G.",2012,State-of-the-Art in Sequential Change-Point Detection,Meth. Comput. Appl. Probab.,10.1007/s11009-011-9256-5,,,PRIMARY,,,no,,,"Polunchenko, A.S. & Tartakovsky, A.G. (2012). State-of-the-Art in Sequential Change-Point Detection. *Meth. Comput. Appl. Probab.* doi:10.1007/s11009-011-9256-5 — **PRIMARY**",,PRIMARY
23,"§6.1 — reshaping, segmentation, confirm-or-veto",,"Reiche, J., de Bruin, S., Hoekman, D., Verbesselt, J. & Herold, M.",2015,A Bayesian Approach to Combine Landsat and ALOS PALSAR Time Series for Near Real-Time Deforestation Detection,Remote Sensing,10.3390/rs70504973,,,ABSTRACT,obtained-unread,Reiche_2015_bayesian-approach-combine-landsat-alos,yes,,,"Reiche, J., de Bruin, S., Hoekman, D., Verbesselt, J. & Herold, M. (2015). A Bayesian Approach to Combine Landsat and ALOS PALSAR Time Series for Near Real-Time Deforestation Detection. *Remote Sensing* 7(5). doi:10.3390/rs70504973 — **ABSTRACT** **Obtained 2026-09-12 (acquisition pass), header-veri",,ABSTRACT
24,"§6.1 — reshaping, segmentation, confirm-or-veto",,"Reiche, J. et al.",2021,Forest disturbance alerts for the Congo Basin using Sentinel-1,ERL,10.1088/1748-9326/abd0a8,,,ABSTRACT,obtained-unread,Reiche_2021_forest-disturbance-alerts-congo-basin,yes,,,"Reiche, J. et al. (2021). Forest disturbance alerts for the Congo Basin using Sentinel-1. *ERL* 16. doi:10.1088/1748-9326/abd0a8 — **ABSTRACT** **Obtained 2026-09-12 (acquisition pass), header-verified, unread by the reviewer — grade unchanged until read. Filed `Reiche_2021_ForestDisturbanceAlerts_E",,ABSTRACT
25,"§6.1 — reshaping, segmentation, confirm-or-veto",,"Rodman, K.C., Andrus, R.A., Veblen, T.T. & Hart, S.J.",2021,"Disturbance detection in Landsat time series is influenced by tree mortality agent and severity, not by prior disturbance",RSE,10.1016/j.rse.2020.112244,,,PRIMARY,,,no,,,"Rodman, K.C., Andrus, R.A., Veblen, T.T. & Hart, S.J. (2021). Disturbance detection in Landsat time series is influenced by tree mortality agent and severity, not by prior disturbance. *RSE* 254:112244. doi:10.1016/j.rse.2020.112244 — **PRIMARY** (full text read 2026-09-11; title was previously trun",,PRIMARY
26,"§6.1 — reshaping, segmentation, confirm-or-veto",,"Verbesselt, J., Hyndman, R., Newnham, G. & Culvenor, D.",2010,Detecting trend and seasonal changes in satellite image time series,RSE,10.1016/j.rse.2009.08.014,,,PRIMARY,,,no,,,"Verbesselt, J., Hyndman, R., Newnham, G. & Culvenor, D. (2010). Detecting trend and seasonal changes in satellite image time series. *RSE* 114(1). doi:10.1016/j.rse.2009.08.014 — **PRIMARY**",,PRIMARY
27,"§6.1 — reshaping, segmentation, confirm-or-veto",,"Wendelberger, L.J., Reich, B.J., Wilson, A.G. & Gray, J.M.",2026,Detecting Deforestation Using Robust Online Bayesian Monitoring,Data Science in Science,10.1080/26941899.2026.2687150,,,METADATA,,,no,,,"Wendelberger, L.J., Reich, B.J., Wilson, A.G. & Gray, J.M. (2026). Detecting Deforestation Using Robust Online Bayesian Monitoring. *Data Science in Science*. doi:10.1080/26941899.2026.2687150 — **METADATA**",,METADATA
28,"§6.1 — reshaping, segmentation, confirm-or-veto",,"Zhu, Z. & Woodcock, C.E.",2014,Continuous change detection and classification of land cover using all available Landsat data,RSE,10.1016/j.rse.2014.01.011,,,PRIMARY,,,no,,,"Zhu, Z. & Woodcock, C.E. (2014). Continuous change detection and classification of land cover using all available Landsat data. *RSE* 144. doi:10.1016/j.rse.2014.01.011 — **PRIMARY**",,PRIMARY
29,§4.2 — ancillary and cadastral priors,,"Cardille, J.A. & Fortin, J.A.",2016,Bayesian updating of land-cover estimates in a data-rich environment,RSE,10.1016/j.rse.2016.08.021,,,,,,no,,,"Cardille, J.A. & Fortin, J.A. (2016). Bayesian updating of land-cover estimates in a data-rich environment. *RSE* 186. doi:10.1016/j.rse.2016.08.021 — **METADATA ⚠ NUMBERS**",,
30,§4.2 — ancillary and cadastral priors,,City of Seattle OSE / University of Vermont SAL,2023,*City of Seattle Tree Canopy Assessment: Final Report (2016–2021)*,,,,,PRIMARY,,,no,,,City of Seattle OSE / University of Vermont SAL (2023). *City of Seattle Tree Canopy Assessment: Final Report (2016–2021)*. Agency report — **PRIMARY**,,PRIMARY
31,§4.2 — ancillary and cadastral priors,,"Guo, T., Morgenroth, J. & Conway, T.M.",2018,Redeveloping the urban forest: the effect of redevelopment and property-scale variables on tree removal and retention,UFUG,10.1016/j.ufug.2018.08.012,,,PRIMARY,,,yes,,,"Guo, T., Morgenroth, J. & Conway, T.M. (2018). Redeveloping the urban forest: the effect of redevelopment and property-scale variables on tree removal and retention. *UFUG* 35. doi:10.1016/j.ufug.2018.08.012 — **PRIMARY** (author's PhD thesis, UC repository hdl 10092/16832, read 2026-09-11 — the 1.4",190,PRIMARY
32,§4.2 — ancillary and cadastral priors,,"Guo, T., Morgenroth, J., Conway, T.M. & Xu, C.",2019,City-wide canopy cover decline due to residential property redevelopment in Christchurch,STOTEN,10.1016/j.scitotenv.2019.05.122,,,PRIMARY,,,yes,,,"Guo, T., Morgenroth, J., Conway, T.M. & Xu, C. (2019). City-wide canopy cover decline due to residential property redevelopment in Christchurch. *STOTEN* 681. doi:10.1016/j.scitotenv.2019.05.122 — **PRIMARY** (same thesis, Ch.2, read 2026-09-11; no 1.4 m figure in this paper)",195,PRIMARY
33,§4.2 — ancillary and cadastral priors,,"Morgenroth, J., O'Neil-Dunne, J. & Apiolaza, L.A.",2017,Redevelopment and the urban forest: tree removal and retention during demolition,Applied Geography,10.1016/j.apgeog.2017.02.011,,,filed-unread,obtained-unread,,yes,,,"Morgenroth, J., O'Neil-Dunne, J. & Apiolaza, L.A. (2017). Redevelopment and the urban forest: tree removal and retention during demolition. *Applied Geography* 82. doi:10.1016/j.apgeog.2017.02.011 — **METADATA ⚠ NUMBERS** (confirmed still unreadable 2026-09-11: closed in Unpaywall and OpenAlex; the ",194,PRIMARY
34,§4.2 — ancillary and cadastral priors,,"Ossola, A. & Hopton, M.E.",2017,Measuring urban tree loss dynamics across residential landscapes,STOTEN,10.1016/j.scitotenv.2017.08.103,,,PRIMARY,,,no,,,"Ossola, A. & Hopton, M.E. (2017). Measuring urban tree loss dynamics across residential landscapes. *STOTEN*. doi:10.1016/j.scitotenv.2017.08.103 — **PRIMARY**",,PRIMARY
35,§4.2 — ancillary and cadastral priors,,"Pedley, D. & Morgenroth, J.",2025,"Green vs growth: The effect of residential intensification on urban tree canopy loss in Christchurch, New Zealand",Sustainable Cities and Society,10.1016/j.scs.2025.106678,,,PRIMARY,,,no,,,"Pedley, D. & Morgenroth, J. (2025). Green vs growth: The effect of residential intensification on urban tree canopy loss in Christchurch, New Zealand. *Sustainable Cities and Society* 130:106678. doi:10.1016/j.scs.2025.106678 — **PRIMARY** (full publisher PDF via UC repository hdl 10092/108884, read",,PRIMARY
36,§4.2 — ancillary and cadastral priors,,"Rosa, I.M.D., Purves, D., Souza, C. Jr. & Ewers, R.M.",2013,Predictive Modelling of Contagious Deforestation in the Brazilian Amazon,PLOS ONE,10.1371/journal.pone.0077231,,,PRIMARY,,,no,,,"Rosa, I.M.D., Purves, D., Souza, C. Jr. & Ewers, R.M. (2013). Predictive Modelling of Contagious Deforestation in the Brazilian Amazon. *PLOS ONE* 8(10):e77231. doi:10.1371/journal.pone.0077231 — **PRIMARY**",,PRIMARY
37,"§4.3 — privileged information, lidar as teacher, cross-year transfer",,"Capliez, E., Ienco, D., Gaetano, R., Baghdadi, N. & Hadj Salah, A.",2023,Temporal-Domain Adaptation for Satellite Image Time-Series Land-Cover Mapping,IEEE JSTARS,10.1109/JSTARS.2023.3263755,,,PRIMARY,,,no,,,"Capliez, E., Ienco, D., Gaetano, R., Baghdadi, N. & Hadj Salah, A. (2023). Temporal-Domain Adaptation for Satellite Image Time-Series Land-Cover Mapping. *IEEE JSTARS*. doi:10.1109/JSTARS.2023.3263755 — **PRIMARY** (author postprint via HAL, verified 2026-09-11 — see §4.5 correction; drop ⚠ NUMBERS)",,PRIMARY
38,"§4.3 — privileged information, lidar as teacher, cross-year transfer",,"Capliez, E. et al.",2023,Multisensor Temporal Unsupervised Domain Adaptation for Land Cover Mapping,IEEE TGRS,10.1109/TGRS.2023.3297077,,,PRIMARY,,,no,,,"Capliez, E. et al. (2023). Multisensor Temporal Unsupervised Domain Adaptation for Land Cover Mapping. *IEEE TGRS*. doi:10.1109/TGRS.2023.3297077 — **PRIMARY** (author postprint via HAL, verified 2026-09-11)",,PRIMARY
39,"§4.3 — privileged information, lidar as teacher, cross-year transfer",,"Islam, M.D. et al.",2026,High-resolution multi-temporal forest canopy height mapping in California using GEDI LiDAR and multi-sensor remote sensing,Science of Remote Sensing,10.1016/j.srs.2026.100488,,,METADATA,,,no,,,"Islam, M.D. et al. (2026). High-resolution multi-temporal forest canopy height mapping in California using GEDI LiDAR and multi-sensor remote sensing. *Science of Remote Sensing*. doi:10.1016/j.srs.2026.100488 — **METADATA**",,METADATA
40,"§4.3 — privileged information, lidar as teacher, cross-year transfer",,"Kalinicheva, E., Helen, F., Mermoz, S., Mouret, F. & Planells, M.",2025,Super-Resolved Canopy Height Mapping from Sentinel-2 Time Series Using Airborne LiDAR HD,,,,2512.11524,ABSTRACT,obtained-unread,Kalinicheva_2025_super-resolved-canopy-height,yes,,,"Kalinicheva, E., Helen, F., Mermoz, S., Mouret, F. & Planells, M. (2025). Super-Resolved Canopy Height Mapping from Sentinel-2 Time Series Using Airborne LiDAR HD. arXiv:2512.11524 — **ABSTRACT** (preprint) **Obtained 2026-09-12 (acquisition pass), header-verified, unread by the reviewer — grade unc",,ABSTRACT
41,"§4.3 — privileged information, lidar as teacher, cross-year transfer",,"Lai, Y. et al.",2026,Forest canopy height estimation from satellite RGB imagery using large-scale airborne LiDAR-derived training data,,,,2602.06503,,,,no,,,"Lai, Y. et al. (2026). Forest canopy height estimation from satellite RGB imagery using large-scale airborne LiDAR-derived training data. arXiv:2602.06503 — **ABSTRACT ⚠ NUMBERS** (preprint)",,
42,"§4.3 — privileged information, lidar as teacher, cross-year transfer",,"Lang, N., Jetz, W., Schindler, K. & Wegner, J.D.",2023,A high-resolution canopy height model of the Earth,Nature Ecology & Evolution,10.1038/s41559-023-02206-6,,,PRIMARY,,,no,,,"Lang, N., Jetz, W., Schindler, K. & Wegner, J.D. (2023). A high-resolution canopy height model of the Earth. *Nature Ecology & Evolution*. doi:10.1038/s41559-023-02206-6 — **PRIMARY**",,PRIMARY
43,"§4.3 — privileged information, lidar as teacher, cross-year transfer",,"Lopez-Paz, D., Bottou, L., Schölkopf, B. & Vapnik, V.",2016,Unifying distillation and privileged information,ICLR 2016,,,1511.03643,ABSTRACT,obtained-unread,LopezPaz_2016_unifying-distillation-privileged,yes,,,"Lopez-Paz, D., Bottou, L., Schölkopf, B. & Vapnik, V. (2016). Unifying distillation and privileged information. *ICLR 2016*; arXiv:1511.03643 — **ABSTRACT** **Obtained 2026-09-12 (acquisition pass), header-verified, unread by the reviewer — grade unchanged until read. Filed `LopezPaz_etal_2016_Unify",,ABSTRACT
44,"§4.3 — privileged information, lidar as teacher, cross-year transfer",,"Pauls, J. et al.",2025,Capturing Temporal Dynamics in Large-Scale Canopy Tree Height Estimation,,,,2501.19328,ABSTRACT,obtained-unread,Pauls_2025_capturing-temporal-dynamics-large-scale,yes,,,"Pauls, J. et al. (2025). Capturing Temporal Dynamics in Large-Scale Canopy Tree Height Estimation. arXiv:2501.19328 — **ABSTRACT** (preprint) **Obtained 2026-09-12 (acquisition pass), header-verified, unread by the reviewer — grade unchanged until read. Filed `Pauls_etal_2025_Temporal_Dynamics_Canop",,ABSTRACT
45,"§4.3 — privileged information, lidar as teacher, cross-year transfer",,"Pesonen, J. et al.",2026,Learning Image-based Tree Crown Segmentation from Enhanced Lidar-based Pseudo-labels,,,,2602.13022,ABSTRACT,obtained-unread,Pesonen_2026_learning-image-based-tree-crown,yes,,,"Pesonen, J. et al. (2026). Learning Image-based Tree Crown Segmentation from Enhanced Lidar-based Pseudo-labels. arXiv:2602.13022 — **ABSTRACT** (preprint) **Obtained 2026-09-12 (acquisition pass), header-verified, unread by the reviewer — grade unchanged until read. Filed `Pesonen_etal_2026_Tree_Cr",,ABSTRACT
46,"§4.3 — privileged information, lidar as teacher, cross-year transfer",,"Song, J., Chen, H. & Yokoya, N.",2026,Enhancing monocular height estimation via sparse LiDAR-guided correction,ISPRS J.,10.1016/j.isprsjprs.2025.12.004,,,ABSTRACT,,,no,,,"Song, J., Chen, H. & Yokoya, N. (2026). Enhancing monocular height estimation via sparse LiDAR-guided correction. *ISPRS J.* 232. doi:10.1016/j.isprsjprs.2025.12.004 — **ABSTRACT**",,ABSTRACT
47,"§4.3 — privileged information, lidar as teacher, cross-year transfer",,"Tolan, J. et al.",2024,Very high resolution canopy height maps from RGB imagery using self-supervised vision transformer and convolutional decoder trained on aerial lidar,RSE,10.1016/j.rse.2023.113888,,2304.07213,PRIMARY,,,no,,,"Tolan, J. et al. (2024). Very high resolution canopy height maps from RGB imagery using self-supervised vision transformer and convolutional decoder trained on aerial lidar. *RSE*. doi:10.1016/j.rse.2023.113888 — **PRIMARY** via the open-access preprint arXiv:2304.07213 (publisher version paywalled)",,PRIMARY
48,"§4.3 — privileged information, lidar as teacher, cross-year transfer",,"Vapnik, V. & Vashist, A.",2009,A new learning paradigm: Learning using privileged information,Neural Networks,10.1016/j.neunet.2009.06.042,,,METADATA,obtained-unread,Vapnik_2009_new-learning-paradigm-learning,yes,,,"Vapnik, V. & Vashist, A. (2009). A new learning paradigm: Learning using privileged information. *Neural Networks* 22(5–6). doi:10.1016/j.neunet.2009.06.042 — **METADATA** **Obtained 2026-09-12 (acquisition pass), header-verified, unread by the reviewer — grade unchanged until read. Filed `Vapnik_Va",,METADATA
49,"§4.3 — privileged information, lidar as teacher, cross-year transfer",,"Zhou, Q., Tollerud, H., Barber, C., Smith, K. & Zelenak, D.",2020,Training Data Selection for Annual Land Cover Classification for LCMAP,Remote Sensing,10.3390/rs12040699,,,ABSTRACT,obtained-unread,Zhou_2020_training-data-selection-annual-land,yes,,,"Zhou, Q., Tollerud, H., Barber, C., Smith, K. & Zelenak, D. (2020). Training Data Selection for Annual Land Cover Classification for LCMAP. *Remote Sensing* 12(4):699. doi:10.3390/rs12040699 — **ABSTRACT** **Obtained 2026-09-12 (acquisition pass), header-verified, unread by the reviewer — grade unch",,ABSTRACT
50,§4.4 — deep supervision and resolution,,"Brown, J. et al.",2022,Automated aerial animal detection when spatial resolution conditions are varied,Computers and Electronics in Agriculture,10.1016/j.compag.2022.106689,,,ABSTRACT,,,no,,,"Brown, J. et al. (2022). Automated aerial animal detection when spatial resolution conditions are varied. *Computers and Electronics in Agriculture*. doi:10.1016/j.compag.2022.106689 — **ABSTRACT**",,ABSTRACT
51,§4.4 — deep supervision and resolution,,"Chen, H., Yang, W., Liu, L. & Xia, G.S.",2024,Coarse-to-fine semantic segmentation of satellite images,ISPRS J.,10.1016/j.isprsjprs.2024.07.028,,,METADATA,,,no,,,"Chen, H., Yang, W., Liu, L. & Xia, G.S. (2024). Coarse-to-fine semantic segmentation of satellite images. *ISPRS J.* 217. doi:10.1016/j.isprsjprs.2024.07.028 — **METADATA**",,METADATA
52,§4.4 — deep supervision and resolution,,"Chen, K. et al.",2018,Semantic Segmentation of Aerial Imagery via Multi-Scale Shuffling CNNs with Deep Supervision,ISPRS Annals,10.5194/isprs-annals-IV-1-29-2018,,,ABSTRACT,obtained-unread,Chen_2018_semantic-segmentation-aerial-imagery,yes,,,"Chen, K. et al. (2018). Semantic Segmentation of Aerial Imagery via Multi-Scale Shuffling CNNs with Deep Supervision. *ISPRS Annals* IV-1. doi:10.5194/isprs-annals-IV-1-29-2018 — **ABSTRACT** **Obtained 2026-09-12 (acquisition pass), header-verified, unread by the reviewer — grade unchanged until re",,ABSTRACT
