ref_id,raw,parsed_title,parsed_first_author,proposed_doi,proposed_title,proposed_family,proposed_year,search_error,gate_state,gate_source,gate_reason,gate_reason_name,gate_doi,hand_verdict,hand_notes
Chrisman_1982_theory-cartographic-error-measurement::b14,"Thorpe, L.W. 1981, personal communication.",,Thorpe,10.2307/j.ctv1gt94fh,Daily Life in Ancient Egyptian Personal Correspondence,Thorpe,2021,,unresolved,crossref_raw_search,crossref_title_ratio (10.2307/j.ctv1gt94fh; ratio 0.00 < 0.85; crossref title 'Daily Life in Ancient Egyptian Personal Correspondence'),crossref_title_ratio,,incorrect,reference is an unpublished personal communication (no citable work exists); proposal is an unrelated 2021 book
Foody_2010_assessing-accuracy-land-cover-change::b52,"Khorram, S. (Ed.). (1999). Accuracy assessment of remote sensing-derived change detection. Bethesda, MD: American Society for Photogrammetry and Remote Sensing.",Accuracy assessment of remote sensing-derived change detection,,10.1016/s0924-2716(99)00023-4,Change detection assessment using fuzzy sets and remotely sensed data: an application of topographic map revision,Metternicht,1999,,unresolved,crossref_raw_search,"type_mismatch (10.1016/s0924-2716(99)00023-4; the reference is a book, publisher 'American Society for Photogrammetry and Remote Sensing'; crossref says journal-article in 'ISPRS Journal of Photogrammetry and Remote Sensing')",type_mismatch,,incorrect,"different article entirely, not the cited edited volume"
Besag_1974_spatial-interaction-statistical-analysis::b2,"--(1967). Inference and stochastic processes. J. R. Statist. Soc. A, 130, 457-477.",Inference and stochastic processes,,10.2307/2982519,Inference and Stochastic Processes,Bartlett,1967,,unresolved,crossref_raw_search,crossref_author_mismatch (10.2307/2982519; crossref first author 'Bartlett' != reference ''),crossref_author_mismatch,,correct,"exact title/year match; the true first author is Bartlett (this dash-continuation row), which GROBID's parse never recovered"
Besag_1974_spatial-interaction-statistical-analysis::b3,"--(1968). A further note on nearest neighbour models. J. R. Statist. Soc. A, 131, 579-580.",A further note on nearest neighbour models,,10.2307/2343725,A Further Note on Nearest Neighbour Models,Bartlett,1968,,unresolved,crossref_raw_search,crossref_author_mismatch (10.2307/2343725; crossref first author 'Bartlett' != reference ''),crossref_author_mismatch,,correct,"exact title/year match, Bartlett 1968"
Besag_1974_spatial-interaction-statistical-analysis::b4,"--(1971a). Physical nearest-neighbour models and non-linear time series. J. Appl. Prob., 8, 222-232.",Physical nearest-neighbour models and non-linear time series,,10.1017/s0021900200035233,Physical nearest-neighbour models and non-linear time-series,Bartlett,1971,,unresolved,crossref_raw_search,crossref_author_mismatch (10.1017/s0021900200035233; crossref first author 'Bartlett' != reference ''),crossref_author_mismatch,,correct,"exact title/year match (trivial hyphenation diff), Bartlett 1971"
Besag_1974_spatial-interaction-statistical-analysis::b6,"--(1974). The statistical analysis of spatial pattern. Presented at the Third Conference on Stochastic Processes and their Applications, Sheffield, August 1973.",The statistical analysis of spatial pattern,,10.1080/00401706.1973.10489134,"Stochastic Point Processes: Statistical Analysis, Theory, and Applications",Freeman,1973,,unresolved,crossref_raw_search,"crossref_title_ratio (10.1080/00401706.1973.10489134; ratio 0.56 < 0.85; crossref title 'Stochastic Point Processes: Statistical Analysis, Theory, and Applicat')",crossref_title_ratio,,incorrect,an unrelated 1973 book; the cited item is an unpublished conference presentation with no discoverable DOI
Besag_1974_spatial-interaction-statistical-analysis::b10,"--(1972b). On the correlation structure of some two-dimensional stationary processes. Biometrika, 59, 43-48.",On the correlation structure of some two-dimensional stationary processes,,10.1093/biomet/59.1.43,On the correlation structure of some two-dimensional stationary processes,BESAG,1972,,unresolved,crossref_raw_search,crossref_author_mismatch (10.1093/biomet/59.1.43; crossref first author 'BESAG' != reference ''),crossref_author_mismatch,,correct,"exact title/year match, Besag 1972 (design report x-check: right)"
Besag_1974_spatial-interaction-statistical-analysis::b11,"--(1972c). On the statistical analysis ofnearest-neighbour systems. Proceedings of the European Meeting of Statisticians, Budapest, August 1972 (to appear).",On the statistical analysis ofnearest-neighbour systems,,10.2307/2345225,"Progress in Statistics: European Meeting of Statisticians, Budapest, 1972, Vols I and II.",Plackett,1975,,unresolved,crossref_raw_search,"crossref_title_ratio (10.2307/2345225; ratio 0.39 < 0.85; crossref title 'Progress in Statistics: European Meeting of Statisticians, Budapest, 1')",crossref_title_ratio,,incorrect,"REAL REVIEW (Plackett, of the Budapest proceedings volume) -- design report x-check: wrong, review; fixture case in qc/test_litkb_crossref_raw_search.py"
Besag_1974_spatial-interaction-statistical-analysis::b17,"--(1972). The analysis of multivariate binary data. Appl. Statist., 21,113-120.",The analysis of multivariate binary data,,10.2307/2346482,The Analysis of Multivariate Binary Data,Cox,1972,,unresolved,crossref_raw_search,crossref_author_mismatch (10.2307/2346482; crossref first author 'Cox' != reference ''),crossref_author_mismatch,,correct,"exact title/year match, Cox 1972 (design report x-check: right)"
Besag_1974_spatial-interaction-statistical-analysis::b20,"GLEAVES, J. T. (1973). Unpublished Ph.D. Thesis, University of Liverpool.",,Gleaves,10.1177/0725513608093282,"Review: Nathalie Karagiannis and Peter Wagner (eds), Varieties of World-Making: Beyond Globalization (Liverpool: Liverpool University Press, 2007)",el-Ojeili,2008,,unresolved,crossref_raw_search,"crossref_title_ratio (10.1177/0725513608093282; ratio 0.00 < 0.85; crossref title 'Review: Nathalie Karagiannis and Peter Wagner (eds), Varieties of Worl')",crossref_title_ratio,,incorrect,"REAL REVIEW that happens to mention Liverpool (design report x-check: wrong, review)"
Besag_1974_spatial-interaction-statistical-analysis::b25,"--(1955b). An exact test for correlation between time series. Biometrika, 42, 316-326.",An exact test for correlation between time series,,10.1093/biomet/42.3-4.316,AN EXACT TEST FOR CORRELATION BETWEEN TIME SERIES,HANNAN,1955,,unresolved,crossref_raw_search,crossref_author_mismatch (10.1093/biomet/42.3-4.316; crossref first author 'HANNAN' != reference ''),crossref_author_mismatch,,correct,"exact title/year match, Hannan 1955 (design report x-check: right)"
Besag_1974_spatial-interaction-statistical-analysis::b30,"--(1967). A mathematical model for the estimation of interplant competition. Biometrics, 23, 189-205.",A mathematical model for the estimation of interplant competition,,10.2307/2528155,A Mathematical Model for the Estimation of Inter-Plant Competition,Mead,1967,,unresolved,crossref_raw_search,crossref_author_mismatch (10.2307/2528155; crossref first author 'Mead' != reference ''),crossref_author_mismatch,,correct,"near-exact title (hyphenation), year match, Mead 1967 (design report x-check: right)"
Besag_1974_spatial-interaction-statistical-analysis::b31,"--(1968). Measurement of competition between individual plants in a population. J. Ecol., 56,35-45.",Measurement of competition between individual plants in a population,,10.2307/2258065,Measurement of Competition Between Individual Plants in a Population,Mead,1968,,unresolved,crossref_raw_search,crossref_author_mismatch (10.2307/2258065; crossref first author 'Mead' != reference ''),crossref_author_mismatch,,correct,"exact title/year match, Mead 1968 (design report x-check: right)"
Besag_1974_spatial-interaction-statistical-analysis::b32,"_.-(1971). Models for interplant competition in irregularly distributed populations. Statistical Ecology, VOl. 2, pp, 13-32. Pennsylvania State University Press.",Models for interplant competition in irregularly distributed populations,,10.1126/science.176.4031.156.a,"Quantitative Approach:
            <i>Statistical Ecology. Vol. 1, Spatial Patterns and Statistical Distributions</i>
            . A symposium, New Haven, Conn., Aug. 1969. G. P. Patil, E. C. Pielou, and W. E. Waters, Eds. Pennsylvania State University Press, University Park, 1971. xxviii, 582 pp., illus. $14.50. Penn State Statistics Series.",Sokal,1972,,unresolved,crossref_raw_search,"crossref_title_ratio (10.1126/science.176.4031.156.a; ratio 0.02 < 0.85; crossref title 'Quantitative Approach: Statistical Ecology. Vol. 1, Spatial Patterns a')",crossref_title_ratio,,incorrect,"REAL REVIEW (Sokal, Science, of the cited Statistical Ecology volume) -- design report x-check: wrong, review; fixture case in qc/test_litkb_crossref_raw_search.py"
Besag_1974_spatial-interaction-statistical-analysis::b35,"--(1973b). Necessary conditions for Markovian processes on a lattice. J. Appl. Prob., 10, 605-612.",Necessary conditions for Markovian processes on a lattice,,10.1017/s0021900200118479,Necessary conditions for Markovian processes on a lattice,Moran,1973,,unresolved,crossref_raw_search,crossref_author_mismatch (10.1017/s0021900200118479; crossref first author 'Moran' != reference ''),crossref_author_mismatch,,correct,"exact title/year match, Moran 1973 (design report x-check: right)"
Besag_1974_spatial-interaction-statistical-analysis::b47,"--(1963). Stochasticprocesses in severaldimensions. Bull. Int. Statist. Inst., 40, 974--994.",Stochasticprocesses in severaldimensions,,10.1557/mrs.2015.294,MRS reports election results for 2016,,2015,,unresolved,crossref_raw_search,crossref_title_ratio (10.1557/mrs.2015.294; ratio 0.34 < 0.85; crossref title 'MRS reports election results for 2016'),crossref_title_ratio,,incorrect,unrelated 2015 materials-science society report; the 1963 Bulletin item is likely not in Crossref at all
Page_1954_continuous-inspection-schemes::b0,"ANSCOMBE, F. J. (1949). J. R. Statist. Soc. A, 62, 180.",,Anscombe,10.1088/0370-1301/62/3/303,Magnetic Behaviour of Zinc and Cadmium at Low Temperatures,Mackinnon,1949,,unresolved,crossref_raw_search,crossref_title_ratio (10.1088/0370-1301/62/3/303; ratio 0.00 < 0.85; crossref title 'Magnetic Behaviour of Zinc and Cadmium at Low Temperatures'),crossref_title_ratio,,incorrect,unrelated low-temperature-physics paper
Page_1954_continuous-inspection-schemes::b1,"ANSCOMBE, F. J., GODwiN, H. J. & PLACKETT, R. L. (1947). J. R. Statist. Soc. Suppl. 9, 198. ANSCOMBE, F. J. & PAGE, E. S. (1954). Biometrika, 41, 252.",,Anscombe,10.2307/2333020,Sequential Tests for Binomial and Exponential Populations,Anscombe,1954,,unresolved,crossref_raw_search,crossref_title_ratio (10.2307/2333020; ratio 0.00 < 0.85; crossref title 'Sequential Tests for Binomial and Exponential Populations'),crossref_title_ratio,,incorrect,raw string merges TWO citations (GROBID parse artefact); the proposal does not clearly correspond to either
Page_1954_continuous-inspection-schemes::b2,"ARMITAGE, P. (1947). J. R. Statist. Soc. Suppl. 9, 250.",,Armitage,10.2307/2984117,Some Sequential Tests of Student’s Hypothesis,Armitage,1947,,unresolved,crossref_raw_search,crossref_title_ratio (10.2307/2984117; ratio 0.00 < 0.85; crossref title 'Some Sequential Tests of Student’s Hypothesis'),crossref_title_ratio,,correct,"same author/year/topic (Armitage's sequential-test paper, JRSS Suppl 9, 1947)"
Page_1954_continuous-inspection-schemes::b3,"ARMITAGE, P. (1950). J. R. Statist. Soc. B, 12, 145.",,Armitage,10.1007/bf02589098,Editorial note,,1995,,unresolved,crossref_raw_search,crossref_title_ratio (10.1007/bf02589098; ratio 0.00 < 0.85; crossref title 'Editorial note'),crossref_title_ratio,,incorrect,wrong year (1995) and content (an editorial note)
Page_1954_continuous-inspection-schemes::b4,"AROIAN, L. A. & LEVENE, H. (1950). J. Amer. Statist. Ass. 45, 520.",,Aroian,10.2307/2280720,The Effectiveness of Quality Control Charts,Aroian,1950,,unresolved,crossref_raw_search,crossref_title_ratio (10.2307/2280720; ratio 0.00 < 0.85; crossref title 'The Effectiveness of Quality Control Charts'),crossref_title_ratio,,correct,"same author/year/topic (Aroian & Levene quality-control paper, 1950)"
Page_1954_continuous-inspection-schemes::b5,"BARNARD, G. A. (1947). J. Amer. Statist. Ass. 42, 658.",,Barnard,10.2307/2280027,Sequential Analysis.,Barnard,1947,,unresolved,crossref_raw_search,crossref_title_ratio (10.2307/2280027; ratio 0.00 < 0.85; crossref title 'Sequential Analysis.'),crossref_title_ratio,,correct,"same author/year/topic (Barnard's Sequential Analysis, 1947)"
Page_1954_continuous-inspection-schemes::b7,"BURMAN, J. P. (1946). J. R. Statist. Soc. Suppl. 8, 98.",,Burman,10.2307/2983614,Sequential Sampling Formulae for a Binomial Population,Burman,1946,,unresolved,crossref_raw_search,crossref_title_ratio (10.2307/2983614; ratio 0.00 < 0.85; crossref title 'Sequential Sampling Formulae for a Binomial Population'),crossref_title_ratio,,correct,"same author/year/topic (Burman, sequential sampling, 1946)"
Page_1954_continuous-inspection-schemes::b8,"DODGE, H. F. (1943). Ann. Math. Statist. 14, 264.",,Dodge,10.1214/aoms/1177731420,A Sampling Inspection Plan for Continuous Production,Dodge,1943,,unresolved,crossref_raw_search,crossref_title_ratio (10.1214/aoms/1177731420; ratio 0.00 < 0.85; crossref title 'A Sampling Inspection Plan for Continuous Production'),crossref_title_ratio,,correct,same author/year/topic; Dodge's continuous sampling plan is the canonical citation for a paper on continuous inspection schemes
Page_1954_continuous-inspection-schemes::b9,"DUDDING, B. P. & JENNET, W. J. (1942).",,Dudding,10.1038/149555a0,Quality Control in Manufacture,DUDDING,1942,,unresolved,crossref_raw_search,crossref_title_ratio (10.1038/149555a0; ratio 0.00 < 0.85; crossref title 'Quality Control in Manufacture'),crossref_title_ratio,,correct,"same author/year/topic (Dudding & Jennett, quality control in manufacture, 1942)"
Page_1954_continuous-inspection-schemes::b10,"British Standards Institution, B.S. 600R.",,"British Standards Institution, B.S. 600R",10.1093/ww/9780199540884.013.u251662,"Steedman, (Robert) Scott, (born 10 Sept. 1958), Director of Standards, British Standards Institution, since 2012",,2010,,unresolved,crossref_raw_search,"crossref_title_ratio (10.1093/ww/9780199540884.013.u251662; ratio 0.00 < 0.85; crossref title 'Steedman, (Robert) Scott, (born 10 Sept. 1958), Director of Standards,')",crossref_title_ratio,,incorrect,"a Who's Who obituary entry, not the BSI standard"
Page_1954_continuous-inspection-schemes::b12,"FISHER, R. A. (1952). Biometrics, 8, 183.",,Fisher,10.2307/3001546,Sequential Experimentation,Fisher,1952,,unresolved,crossref_raw_search,crossref_title_ratio (10.2307/3001546; ratio 0.00 < 0.85; crossref title 'Sequential Experimentation'),crossref_title_ratio,,correct,"same author/year/topic (Fisher, sequential experimentation, Biometrics 1952)"
Page_1954_continuous-inspection-schemes::b13,"HERNE, H. & NICKOLLS, G. D. Unpublished.",,Herne,10.1093/benz/9780199773787.article.b00130265,"Nickolls, Trevor",,2011,,unresolved,crossref_raw_search,"crossref_title_ratio (10.1093/benz/9780199773787.article.b00130265; ratio 0.00 < 0.85; crossref title 'Nickolls, Trevor')",crossref_title_ratio,,incorrect,reference is explicitly unpublished; proposal is an unrelated biographical entry
Page_1954_continuous-inspection-schemes::b14,"KENDALL, D. G. (1951). J. B. Statist. Soc. B, 13, 184.",,Kendall,10.1093/ww/9780199540884.013.u239368,"Kendall, William Henry, (died 16 Nov. 1951)",,2007,,unresolved,crossref_raw_search,"crossref_title_ratio (10.1093/ww/9780199540884.013.u239368; ratio 0.00 < 0.85; crossref title 'Kendall, William Henry, (died 16 Nov. 1951)')",crossref_title_ratio,,incorrect,"a Who's Who obituary for a same-surname person, not the cited JRSS B note"
Page_1954_continuous-inspection-schemes::b15,"LINDLEY, D. V. (1951). J. B. Statist. Soc. B, 13, 173.",,Lindley,10.1214/ss/1028905932,Decision analysis and bioequivalence trials,Lindley,1998,,unresolved,crossref_raw_search,crossref_title_ratio (10.1214/ss/1028905932; ratio 0.00 < 0.85; crossref title 'Decision analysis and bioequivalence trials'),crossref_title_ratio,,incorrect,wrong year (1998) and topic (bioequivalence trials)
Page_1954_continuous-inspection-schemes::b17,"LINDLEY, D. V. (1953). J. R. Statist. Soc. B, 15, 30.",,Lindley,10.1111/j.2517-6161.1953.tb00123.x,Statistical Inference,Lindley,1953,,unresolved,crossref_raw_search,crossref_title_ratio (10.1111/j.2517-6161.1953.tb00123.x; ratio 0.00 < 0.85; crossref title 'Statistical Inference'),crossref_title_ratio,,uncertain,"same author/year, but a generic title that does not clearly correspond to a JRSS B vol 15 p.30 discussion note"
Page_1954_continuous-inspection-schemes::b19,"PAGE, E. S. (1954). J. B. Statist. Soc. B, 16, (at Press).",,Page,10.1364/josa.44.000356,Editor’s Page,Brode,1954,,unresolved,crossref_raw_search,crossref_title_ratio (10.1364/josa.44.000356; ratio 0.00 < 0.85; crossref title 'Editor’s Page'),crossref_title_ratio,,incorrect,the word 'Page' matched the citing author's own surname; unrelated to Page's own forthcoming paper
Page_1954_continuous-inspection-schemes::b21,"SOBEL, M. & WALD, A. (1949). Ann. Math. Statist. 20, 502.",,Sobel,10.1214/aoms/1177729944,A Sequential Decision Procedure for Choosing One of Three Hypotheses Concerning the Unknown Mean of a Normal Distribution,Sobel,1949,,unresolved,crossref_raw_search,crossref_title_ratio (10.1214/aoms/1177729944; ratio 0.00 < 0.85; crossref title 'A Sequential Decision Procedure for Choosing One of Three Hypotheses C'),crossref_title_ratio,,correct,"same authors/year/topic (Sobel & Wald sequential decision procedure, Ann Math Statist 1949)"
Page_1954_continuous-inspection-schemes::b23,"WALD, A. & WOLFOWITZ, J. (1945). Ann. Math. Statist. 16, 30.",,Wald,10.1214/aoms/1177731169,Sampling Inspection Plans for Continuous Production which Insure a Prescribed Limit on the Outgoing Quality,Wald,1945,,unresolved,crossref_raw_search,crossref_title_ratio (10.1214/aoms/1177731169; ratio 0.00 < 0.85; crossref title 'Sampling Inspection Plans for Continuous Production which Insure a Pre'),crossref_title_ratio,,correct,"same authors/year/topic (Wald & Wolfowitz continuous-production sampling plans, 1945) -- directly on Page's own subject"
Page_1954_continuous-inspection-schemes::b24,"WALKER, A. M. (1950). J. R. Statist. Soc. B, 12, 301.",,Walker,10.1214/aoms/1177729850,"Errata: ""On the Kolmogorov-Smirnov Limit Theorems for Empirical Distributions""",Feller,1950,,unresolved,crossref_raw_search,"crossref_title_ratio (10.1214/aoms/1177729850; ratio 0.00 < 0.85; crossref title 'Errata: ""On the Kolmogorov-Smirnov Limit Theorems for Empirical Distri')",crossref_title_ratio,,incorrect,"wrong author (Feller, not Walker) and wrong content (an errata note)"
Burnicki_2011_spatio-temporal-errors-land-cover::b10,"CARMEL, Y. and DEAN, D.J., 2004, Performance of a spatio-temporal error model for raster data sets under complex error patterns. International Journal of Remote Sensing, 25, pp. 5283-5296.",Performance of a spatio-temporal error model for raster data sets under complex error patterns,,10.1080/01431160310001654932,Performance of a spatio-temporal error model for raster datasets under complex error patterns,Carmel,2004,,unresolved,crossref_raw_search,"review_record (10.1080/01431160310001654932; crossref author list ['carmel', 'dean'] is the reference's own list ['dean'] with exactly one extra name 'carmel' at the head — the reviewer, then the work)",review_record,,correct,"SAME PAPER (Carmel & Dean 2004, IJRS). The gate's review_record verdict is a FALSE POSITIVE: the reference's own GROBID-parsed author list dropped 'Carmel' (kept only 'Dean'), so the correct 2-author record looks like a 1-author reference with an extra name prepended. A distinct gate defect, separate from title-blindness."
Burnicki_2011_spatio-temporal-errors-land-cover::b56,"US DEPARTMENT OF COMMERCE, US CENSUS BUREAU, GEOGRAPHY DEPARTMENT, 1996, TIGER ® /Line Files, 1995. Available online at: www.census.gov/geo/www/tiger",TIGER ® /Line Files,,10.3886/icpsr09810.v1,"Census of Population and Housing, 1990 [United States]: Tiger/Census Tract Comparability File",United States Department of Commerce. Bureau of the Census,1992,,unresolved,crossref_raw_search,"crossref_title_ratio (10.3886/icpsr09810.v1; ratio 0.26 < 0.85; crossref title 'Census of Population and Housing, 1990 [United States]: Tiger/Census T')",crossref_title_ratio,,incorrect,"a related but different Census data product (1990 comparability file, not the 1995 TIGER/Line files cited)"
Steenberg_2017_influence-building-renovation-rental::b28,"Lees, L., T. Slater, and E. Wyly. 2008. Gentrification. New York: Routledge.",,Lees,10.4324/9780203940877,Gentrification,Lees,2013,,unresolved,crossref_raw_search,crossref_title_ratio (10.4324/9780203940877; ratio 0.00 < 0.85; crossref title 'Gentrification'),crossref_title_ratio,,edition,"same book (Lees/Slater/Wyly, Gentrification); Crossref's DOI is a later reissue (2013) of the 2008 edition cited"
Steenberg_2017_influence-building-renovation-rental::b41,"Statistics Canada. 2012. ""Toronto, Ontario. Census Profile (Catalogue No. 98-316-XWE)."" http:// www12.statcan.gc.ca/census-recensement/2011/dp-pd/prof/index.cfm?LangDE",Census Profile (Catalogue No. 98-316-XWE),,10.3138/9781442682108-011,Conclusion: Administering the 'Knowable Community',,2001,,unresolved,crossref_raw_search,"crossref_title_ratio (10.3138/9781442682108-011; ratio 0.28 < 0.85; crossref title ""Conclusion: Administering the 'Knowable Community'"")",crossref_title_ratio,,incorrect,"an unrelated book chapter, not the Statistics Canada census profile"
Hall_1985_resampling-coverage-pattern::b0,"Ill PI [31 [41 [51 [61 [71 PI A. Baddeley, A limit theorem for statistics of spatial data. Adv. Appl. Probab. 12 (1980) 447-461.",A limit theorem for statistics of spatial data,,10.2307/1426605,A limit theorem for statistics of spatial data,Baddeley,1980,,unresolved,crossref_raw_search,crossref_author_mismatch (10.2307/1426605; crossref first author 'Baddeley' != reference ''),crossref_author_mismatch,,correct,exact title/author/year match despite OCR garbage prefixed to the raw string
